He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
the ^ati++++=the
window ^nn++++=window
cheerful ^jj++++=cheerful
to ^to++++=to
begin ^vbi++++=begin
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
thanked ^vbd+++xvbnx+=thanked
God ^np++++=God
for ^in++++=for
it ^pp3+it+++=it
many ^ap++++=many
times ^nns++++=times
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Within ^in+strn+++=Within,
, ^zz++++=EXTRAWORD
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
dim ^jj+pred+++=dim
and ^cc+phrs+++=and
grey ^jj++++=grey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
reflected ^jj+++xvbn+=reflected
light ^jj++++=light
the ^ati++++=the
wear ^nn++++=wear
of ^in++++=of
the ^ati++++=the
furniture ^nn++++=furniture
showed ^vbd+vprv++xvbn+=showed
plainly ^rb++++=plainly.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
medicine ^nn++++=medicine
and ^cc++++=and
drink ^vb++++=drink
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
little ^jj+atrb+++=little
table ^nn++++=table,
, ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
litter ^nn++++=litter
as ^in++++=as
the ^ati++++=the
bare ^jj+atrb+++=bare
branches ^nns++++=branches
of ^in++++=of
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
grapes ^nns++++=grapes
or ^cc++++=or
the ^ati++++=the
ashes ^nns++++=ashes
of ^in++++=of
a ^at++++=a
cigar ^nn++++=cigar
upon ^in++++=upon
a ^at++++=a
green ^jj+atrb+++=green
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
day ^nn++++=day
old ^jj+atrb+++=old
evening ^nn++++=evening
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
view ^nn++++=view
outside ^jjb++++=outside
was ^vbd+bedz+vrb++=was
flooded ^jj+pred+++=flooded
with ^in++++=with
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
across ^in+pl+++=across
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
acacia ^nn+++??+=acacia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
balcony ^nn++++=balcony-railing
- ^zz++++=EXTRAWORD
railing ^nn+nom+++=EXTRAWORD
of ^in++++=of
hammered ^vbd+++xvbn+=hammered
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
foreground ^nn++++=foreground
was ^vbd+bedz+vrb++=was
the ^ati++++=the
weltering ^jj+atrb++xvbg+=weltering
silver ^nn++++=silver
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
never ^rb++++=never
quiet ^jj++++=quiet
and ^cc++++=and
yet ^rb++++=yet
never ^rb++++=never
tiresome ^jj++++=tiresome.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reedy ^jj+atrb+++=reedy
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj+atrb+++=broad
stretch ^nn++++=stretch
of ^in++++=of
meadow ^nn++++=meadow
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
dark ^jj+atrb+++=dark
line ^nn++++=line
of ^in++++=of
trees ^nns++++=trees
ending ^vwbg+++xvbg+=ending
in ^in++++=in
a ^at++++=a
group ^nn++++=group
of ^in++++=of
poplars ^nns+++??+=poplars
at ^rb++++=at
the ^ati++++=the
distant ^jj+atrb+++=distant
bend ^nn++++=bend
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
upstanding ^jj+++xvbg+=upstanding
behind ^in+pl+++=behind
them,a ^nn+++??+=them,a
square ^nn++++=square
church ^npl++++=church
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
all ^abn++++=all
day ^nn++++=day
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
things ^nns++++=things
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
a ^at++++=a
string ^nn++++=string
of ^in++++=of
barges ^nns++++=barges
drifting ^vwbg+++xvbg+=drifting
down ^rp++++=down
to ^in++++=to
London ^np++++=London,
, ^zz++++=EXTRAWORD
piled ^j+++xvbn+=piled
with ^in++++=with
lime ^nn++++=lime
or ^cc++++=or
barrels ^nns++++=barrels
of ^in++++=of
beer ^nn++++=beer;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
steam ^nn++++=steam-launch,
- ^zz++++=EXTRAWORD
launch ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
disengaging ^jj+atrb++xvbg+=disengaging
heavy ^jj+atrb+++=heavy
masses ^nns++++=masses
of ^in++++=of
black ^jj+atrb+++=black
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disturbing ^jj+++xvbg+=disturbing
the ^ati++++=the
whole ^jj+atrb+++=whole
width ^nn++++=width
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
with ^in++++=with
long ^rb++++=long
rolling ^vbg+nom++xvbg+=rolling
waves ^nns++++=waves;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
an ^at++++=an
impetuous ^jj++++=impetuous
electric ^jj++++=electric
launch ^vb++++=launch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
boatload ^nn+++??+=boatload
of ^in++++=of
pleasure ^nn++++=pleasure-seekers,
- ^zz++++=EXTRAWORD
seekers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
solitary ^jj++++=solitary
sculler ^jjr++++=sculler,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
four ^cd++++=four
from ^in++++=from
some ^dti++++=some
rowing ^jj+atrb++xvbg+=rowing
club ^nn++++=club.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
river ^nn++++=river
was ^vbd+bedz+vrb++=was
quietest ^jjt+pred+++=quietest
of ^in++++=of
a ^at++++=a
morning ^nn++++=morning
or ^cc++++=or
late ^jj++++=late
at ^rb++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
moonlight ^nn++++=moonlight
night ^nn++++=night
some ^dti++++=some
people ^nns++++=people
drifted ^vbd+++xvbn+=drifted
down ^rp++++=down
singing ^vbg+++xvbg+=singing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
zither ^nn++++=zither
playing ^vwbg+++xvbg+=playing
it ^pp3+it+++=it
sounded ^vbd+++xvbn+=sounded
very ^ql+amp+++=very
pleasantly ^rb++++=pleasantly
across ^in+pl+++=across
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
Bailey ^np++++=Bailey
began ^vbd+++xvbn+=began
to ^to++++=to
recognise ^vbi+vprv+++=recognise
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
craft ^nn++++=craft;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
week ^nn++++=week
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
intimate ^jj+atrb+++=intimate
history ^nn++++=history
of ^in++++=of
half ^abn++++=half-a-dozen.
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dozen ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
launch ^nn++++=launch
Luzon ^np+++??+=Luzon,
, ^zz++++=EXTRAWORD
from ^in++++=from
Fitzgibbon ^np+++??+=Fitzgibbon's,
's, ^nn+++??+=EXTRAWORD
two ^cd++++=two
miles ^nns++++=miles
up ^rp++++=up,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
go ^vb++++=go
fretting ^nvbg+++xvbg+=fretting
by ^in+strn+++=by,
