That ^dt+dem+++=That
night ^nn++++=night,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
mid ^jjb++++=mid-watch,
- ^zz++++=EXTRAWORD
watch ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
as ^in++++=as
his ^pp$+pp3+++=his
wont ^nn++++=wont
at ^in++++=at
intervals ^nns+nom+++=intervals
stepped ^vbd+++xvbn+=stepped
forth ^np++++=forth
from ^in++++=from
the ^ati++++=the
scuttle ^nn++++=scuttle
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
his ^pp$+pp3+++=his
pivot ^nn++++=pivot-hole,
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
thrust ^vbd+++xvbn+=thrust
out ^rp+pl+++=out
his ^pp$+pp3+++=his
face ^nn++++=face
fiercely ^rb+cnj+++=fiercely,
, ^zz++++=EXTRAWORD
snuffing ^jj+++xvbg+=snuffing
up ^rp++++=up
the ^ati++++=the
sea ^nn++++=sea
air ^nn++++=air
as ^in++++=as
a ^at++++=a
sagacious ^jj+atrb+++=sagacious
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
dog ^nn++++=dog
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
in ^in++++=in
drawing ^xvbg+++xvbg+=drawing
nigh ^rb++++=nigh
to ^in++++=to
some ^dti++++=some
barbarous ^jj+atrb+++=barbarous
isle ^nn++++=isle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
declared ^vbd+vpub++xvbnx+=declared
that ^tht+vcmp+++=that
a ^at++++=a
whale ^nn++++=whale
must ^md+nec+++=must
be ^vb+be+vrb++=be
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
that ^cs+sub+++=that
peculiar ^jj+atrb+++=peculiar
odor ^nn++++=odor,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
distance ^nn+nom+++=distance
given ^vwbn+++xvbn+=given
forth ^np++++=forth
by ^in++++=by
the ^ati++++=the
living ^jj+atrb++xvbg+=living
sperm ^nn+++??+=sperm
whale ^nn++++=whale,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
palpable ^jj+pred+++=palpable
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
watch ^nn++++=watch;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+vrb++=was
any ^dti++++=any
mariner ^nn++++=mariner
surprised ^vbd+++xvbn+=surprised
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
after ^in++++=after
inspecting ^xvbg+++xvbg+=inspecting
the ^ati++++=the
compass ^nn++++=compass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
dog ^nn++++=dog-vane,
- ^zz++++=EXTRAWORD
vane ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
ascertaining ^vbg+++xvbg+=ascertaining
the ^ati++++=the
precise ^jj++++=precise
bearing ^jj+++xvbg+=bearing
of ^in++++=of
the ^ati++++=the
odor ^nn++++=odor
as ^in++++=as
nearly ^rb+down+++=nearly
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
Ahab ^np+++??+=Ahab
rapidly ^rb++++=rapidly
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
course ^nn++++=course
to ^to++++=to
be ^vbi+vbi+aux++=be
slightly ^rb+down+splt++=slightly
altered ^vpsv++agls+xvbnx+=altered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sail ^nn++++=sail
to ^to++++=to
be ^vbi++vrb++=be
shortened ^jj+pred+++=shortened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
acute ^jj+atrb+++=acute
policy ^nn++++=policy
dictating ^nn++++=dictating
these ^dt+dem+++=these
movements ^nns+nom+++=movements
was ^vbd+bedz+vrb++=was
sufficiently ^rb++++=sufficiently
vindicated ^np++++=vindicated
at ^rb++++=at
daybreak ^nn+++??+=daybreak,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
long ^jj++++=long
sleek ^jj++++=sleek
on ^in++++=on
the ^ati++++=the
sea ^nn++++=sea
directly ^rb++++=directly
and ^cc+phrs+++=and
lengthwise ^rb++++=lengthwise
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
as ^ql++++=as
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resembling ^jj+++xvbg+=resembling
in ^in++++=in
the ^ati++++=the
pleated ^jj+atrb+++=pleated
watery ^jj+atrb+++=watery
wrinkles ^nns++++=wrinkles
bordering ^vwbg+++xvbg+=bordering
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
polished ^jj++++=polished
metallic ^jj++++=metallic-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
marks ^nns++++=marks
of ^in++++=of
some ^dti++++=some
swift ^jj+atrb+++=swift
tide ^nn++++=tide-rip,
- ^zz++++=EXTRAWORD
rip ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
a ^at++++=a
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
rapid ^jj+atrb+++=rapid
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
" ^zz++++="Man
man ^nn++++=EXTRAWORD
the ^ati++++=the
mast ^nn++++=mast-heads!
- ^zz++++=EXTRAWORD
heads ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Call ^vb++++=Call
all ^abn++++=all
hands ^nns++++=hands!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thundering ^np+++??+=Thundering
with ^in++++=with
the ^ati++++=the
butts ^nns++++=butts
of ^in++++=of
three ^cd++++=three
clubbed ^vbd+++xvbn+=clubbed
handspikes ^nns+++??+=handspikes
on ^in++++=on
the ^ati++++=the
forecastle ^nn+++??+=forecastle
deck ^nn++++=deck,
, ^zz++++=EXTRAWORD
Daggoo ^np+++??+=Daggoo
roused ^vbd+++xvbn+=roused
the ^ati++++=the
sleepers ^nns+nom+++=sleepers
with ^in++++=with
such ^abl++++=such
judgment ^nn+nom+++=judgment
claps ^nns+++??+=claps
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
exhale ^vbi+++??+=exhale
from ^in++++=from
the ^ati++++=the
scuttle ^vb++++=scuttle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
instantaneously ^rb++++=instantaneously
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
appear ^vb+seem+++=appear
with ^in++++=with
their ^pp$+pp3+++=their
clothes ^nns++++=clothes
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^do+do+aux++0=d'ye
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Ahab ^np+++??+=Ahab,
, ^zz++++=EXTRAWORD
flattening ^jj+++xvbg+=flattening
his ^pp$+pp3+++=his
face ^nn++++=face
to ^in++++=to
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing,
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sound ^nn++++=sound
hailing ^nn+nom+++=hailing
down ^in++++=down
in ^in++++=in
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="T'
t ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
gallant ^jj++++=gallant-sails!
- ^zz++++=EXTRAWORD
sails ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
stunsails ^nns+++??+=stunsails
alow ^nn+++??+=alow
and ^cc++++=and
aloft ^rb+cnj+++=aloft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
sails ^nns++++=sails
being ^xvbg+++xvbg+=being
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
cast ^jj+++xvbn+=cast
loose ^jj++++=loose
the ^ati++++=the
life ^nn++++=life-line,
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reserved ^j+++xvbn+=reserved
for ^in++++=for
swaying ^xvbg+++xvbg+=swaying
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
main ^jjb++++=main
royal ^jj++++=royal-masthead;
- ^zz++++=EXTRAWORD
masthead ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
