It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
visiting ^jj+atrb++xvbg+=visiting
cards ^nns++++=cards
sure ^jj++++=sure
enough ^qlp++++=enough
( ^zz++++=(and
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
of ^in++++0=o'
pink ^jj+atrb+++=pink
satin ^nn++++=satin
paper ^nn++++=paper)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
inny ^nn+++??+=inny
gintleman ^jj++++=gintleman
that ^dt+pdem+++=that
plases ^vbz+++??+=plases
may ^md+pos+++=may
behould ^vb+++??+=behould
the ^ati++++=the
intheristhin ^nn+++??+=intheristhin
words ^nns++++=words,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
39 ^cd++++=39
Southampton ^np++++=Southampton
Row ^nn++++=Row,
, ^zz++++=EXTRAWORD
Russell ^np++++=Russell
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
Parrish ^np++++=Parrish
of ^in++++0=o'
Bloomsbury ^np++++=Bloomsbury."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
shud ^nn+++??+=shud
ye ^pp2+pp2+++=ye
be ^vb+be+vrb++=be
wantin ^nn+++??+=wantin'
' ^zz++++=EXTRAWORD
to ^in++++=to
diskiver ^jjr++++=diskiver
who ^whp+who+++=who
is ^vbz+bez+vrb++=is
the ^ati++++=the
pink ^nn++++=pink
of ^in++++=of
purliteness ^nns+nom+++=purliteness
quite ^rb+cnj+++=quite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
laider ^nn++++=laider
of ^in++++=of
the ^ati++++=the
hot ^jj+atrb+++=hot
tun ^nn+++??+=tun
in ^in++++=in
the ^ati++++=the
houl ^nn+++??+=houl
city ^nn++++=city
of ^in++++0=o'
Lonon ^np+++??+=Lonon
- ^zz++++=-why
why ^wrb+who+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
jist ^nn++++=jist
mesilf ^nn+++??+=mesilf.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
fait ^&fw++++=fait
that ^dt+dem+++=that
same ^ap++++=same
is ^vbz+bez+aux++=is
no ^at++++=no
wonder ^vb++++=wonder
at ^rb++++=at
all ^abn++++=all
at ^in++++=at
all ^abn++++=all
( ^zz++++=(so
so ^ql++++=EXTRAWORD
be ^vb+be+aux++=be
plased ^vpsv++agls+xvbnx+=plased
to ^to++++=to
stop ^vbi++++=stop
curlin ^nn+++??+=curlin
your ^pp$+pp2+++=your
nose ^nn++++=nose),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
every ^at++++=every
inch ^nn++++=inch
of ^in++++0=o'
the ^ati++++=the
six ^cd++++=six
wakes ^nns+++??+=wakes
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
gintleman ^nn+nom+++=gintleman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+atrb++xvbn+=left
aff ^nn+++??+=aff
wid ^in++++=wid
the ^ati++++=the
bogthrothing ^jj+++xvbg+=bogthrothing
to ^to++++=to
take ^vbi++++=take
up ^rb+phrv+++=up
wid ^in++++=wid
the ^ati++++=the
Barronissy ^np+++??+=Barronissy,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
Pathrick ^np+++??+=Pathrick
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
living ^vbg+++xvbgx+=living
like ^in++++=like
a ^at++++=a
houly ^jj+atrb+++=houly
imperor ^nn++++=imperor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gitting ^nvbg+++xvbg+=gitting
the ^ati++++=the
iddication ^nn+nom+++=iddication
and ^cc++++=and
the ^ati++++=the
graces ^nns++++=graces.
. ^zz++++=EXTRAWORD
Och ^uh++++=Och!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be
a ^at++++=a
blessed ^jj+atrb++xvbn+=blessed
thing ^nn++++=thing
for ^in++++=for
your ^pp$+pp2+++=your
spirrits ^nns+++??+=spirrits
if ^cs+cnd+++=if
ye ^pp2+pp2+++=ye
cud ^nn++++=cud
lay ^vbd+++xvbn+=lay
your ^pp$+pp2+++=your
two ^cd++++=two
peepers ^nns+nom+++=peepers
jist ^nn++++=jist,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
all ^abn++++=all
riddy ^nn+++??+=riddy
drissed ^vbd+++xvbn+=drissed
for ^in++++=for
the ^ati++++=the
hopperer ^jjr++++=hopperer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stipping ^nvbg+++xvbg+=stipping
into ^in++++=into
the ^ati++++=the
Brisky ^np+++??+=Brisky
for ^in++++=for
the ^ati++++=the
drive ^nn++++=drive
into ^in++++=into
the ^ati++++=the
Hyde ^np++++=Hyde
Park ^nn++++=Park.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
illigant ^jj+atrb+++=illigant
big ^jj+atrb+++=big
figgur ^nn+++??+=figgur
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
ave ^nn+++??+=ave,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
rason ^nn+++??+=rason
of ^in++++0=o'
which ^whp+rel+pied++=which
all ^rb++++=all
the ^ati++++=the
ladies ^nns++++=ladies
fall ^nn++++=fall
in ^in++++=in
love ^nn++++=love
wid ^in++++=wid
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
my ^pp$+pp1+++=my
own ^ap++++=own
swate ^nn++++=swate
silf ^nn+++??+=silf
now ^rn+tm+++=now
that ^dt+pdem+++=that'll
'll ^md+prd+++0=EXTRAWORD
missure ^vb+++??+=missure
the ^ati++++=the
six ^cd++++=six
fut ^nn++++=fut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
three ^cd++++=three
inches ^nns++++=inches
more ^rbr++++=more
nor ^cc++neg++=nor
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
me ^pp1o+pp1+++=me
stockins ^nns+++??+=stockins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
am ^vb+bem+aux++=am
excadingly ^jj+pred+++=excadingly
will ^md+prd+++=will
proportioned ^vbd+++xvbn+=proportioned
all ^abn++++=all
over ^in++++=over
to ^to++++=to
match ^vbi++++=match?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
ralelly ^jj+pred+++=ralelly
more ^rbr++++=more
than ^in++++=than
three ^cd++++=three
fut ^nn++++=fut
and ^cc++++=and
a ^at++++=a
bit ^nn++++=bit
that ^tht+rel+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
inny ^nn+++??+=inny
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
ould ^np++++=ould
furrener ^jjr++++=furrener
Frinchman ^np+nom++??+=Frinchman
that ^tht+rel+obj++=that
lives ^nns++++=lives
jist ^nn++++=jist
over ^in++++=over
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
oggling ^nn+nom+++=oggling
and ^cc++++=and
a ^at++++=a
goggling ^nn+nom+++=goggling
the ^ati++++=the
houl ^nn+++??+=houl
day ^nn++++=day,
, ^zz++++=EXTRAWORD
( ^zz++++=(and
and ^cc++++=EXTRAWORD
bad ^jj+atrb+++=bad
luck ^nn++++=luck
to ^in++++=to
him ^pp3o+pp3+++=him,)
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
purty ^nn+++??+=purty
widdy ^nn+++??+=widdy
Misthress ^nns+nom++??+=Misthress
Tracle ^np+++??+=Tracle
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
own ^ap++++=own
nixt ^nn+++??+=nixt-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
neighbor ^nn++++=neighbor,
, ^zz++++=EXTRAWORD
( ^zz++++=(God
god ^np++++=EXTRAWORD
bliss ^nn++++=bliss
her ^pp$+pp3+++=her!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
most ^ql+emph+++=most
particuller ^jjr+atrb+++=particuller
frind ^nn+++??+=frind
and ^cc++++=and
acquaintance ^nn+nom+++=acquaintance?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
percave ^vb+++??+=percave
the ^ati++++=the
little ^ap++++=little
spalpeen ^jj+++xvbn+=spalpeen
is ^vbz+bez+vrb++=is
summat ^pn++++=summat
down ^in++++=down
in ^in++++=in
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wears ^vbz++++=wears
his ^pp$+pp3+++=his
lift ^nn++++=lift
hand ^nn++++=hand
in ^in++++=in
a ^at++++=a
sling ^nn++++=sling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
same ^ap++++=same
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
by ^in++++=by
yur ^nn+++??+=yur
lave ^nn+++??+=lave,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
good ^jj+atrb+++=good
rason ^nn+++??+=rason.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
of ^in++++=of
the ^ati++++=the
houl ^nn+++??+=houl
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
jist ^nn++++=jist
simple ^jj++++=simple
enough ^qlp++++=enough;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
very ^ql+amp+++=very
first ^rb++++=first
day ^nn++++=day
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
com ^nn+++??+=com'd
'd ^md+prd+vrb++0=EXTRAWORD
from ^in++++=from
Connaught ^np+++??+=Connaught,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showd ^nn+++??+=showd
my ^pp$+pp1+++=my
swate ^nn++++=swate
little ^ap++++=little
silf ^nn+++??+=silf
in ^in++++=in
the ^ati++++=the
strait ^nn++++=strait
to ^in++++=to
the ^ati++++=the
widdy ^nn+++??+=widdy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
through ^in++++=through
the ^ati++++=the
windy ^jj++++=windy,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
a ^at++++=a
gone ^vprf+++xvbn+=gone
case ^nn++++=case
althegither ^jjr++++=althegither
with ^in++++=with
the ^ati++++=the
heart ^nn++++=heart
of ^in++++0=o'
the ^ati++++=the
purty ^nn+++??+=purty
Misthress ^nns+nom++??+=Misthress
Tracle ^np+++??+=Tracle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
percaved ^vbd+++xvbnx+=percaved
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
all ^abn++++=all
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
First ^rb++++=First
of ^in++++=of
all ^rb++++=all
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
up ^rp++++=up
wid ^in++++=wid
the ^ati++++=the
windy ^nn++++=windy
