His ^pp$+pp3+++=His
own ^ap++++=own
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
head. ^nn+++??+=head.--_Native
-- ^--+clp+++=EXTRAWORD
_native ^jj+atrb+++=EXTRAWORD
Proverb_ ^np+++??+=Proverb_.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
messenger ^nn+nom+++=messenger,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
Presence ^nn+nom+++=Presence
be ^vb+be+aux++=be
moved ^vpsv++agls+xvbnx+=moved
to ^in++++=to
so ^ql++++=so
great ^np++++=great
favour ^nn++++=favour.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
on ^in++++=on
six ^cd++++=six
rupees ^nn++++=rupees.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
three ^cd++++=three
little ^jj+atrb+++=little
children ^nns++++=children
whose ^whp+rel+obj++=whose
stomachs ^nns++++=stomachs
are ^vb+ber+vrb++=are
always ^rb++++=always
empty ^jj+pred+++=empty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
corn ^nn++++=corn
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
but ^cc++++=but
forty ^cd++++=forty
pounds ^nns++++=pounds
to ^in++++=to
the ^ati++++=the
rupee ^nn++++=rupee.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
make ^vb++++=make
so ^rb+emph+++=so
clever ^jj++++=clever
a ^at++++=a
messenger ^np+nom+++=messenger
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
all ^abn++++=all
day ^nn++++=day
long ^rb++++=long
be ^vb+be+aux++=be
pleased ^vpsv++agls+xvbnx+=pleased
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
bestow ^vb++++=bestow
a ^at++++=a
turban ^nn++++=turban.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
all ^rb++++=all
the ^ati++++=the
roads ^nns++++=roads
of ^in++++=of
the ^ati++++=the
Station ^nn+nom+++=Station
and ^cc++++=and
many ^ap++++=many
other ^ap++++=other
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Aha ^np+++??+=Aha,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
clever ^jj+pred+++=clever.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
service ^nn++++=service.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
aforetime ^nn+++??+=aforetime
in ^in++++=in
the ^ati++++=the
Police ^nns++++=Police.
. ^zz++++=EXTRAWORD
A ^at++++=A
bad ^jj+atrb+++=bad
character ^nn+nom+++=character?
? ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
without ^in++++=without
doubt ^nn++++=doubt
an ^at++++=an
enemy ^nn++++=enemy
has ^vbz+hvz+aux++=has
told ^vprf+++xvbnx+=told
this ^dt+dem+++=this
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
was ^vbd+bedz+vrb++=was
