Puppy ^np+++??+=PUPPY
Twice ^rb++++=Twice
already ^rb++++=already
Marie ^np++++=Marie
had ^vbd+hvd+aux++=had
pointed ^vprf+++xvbnx+=pointed
out ^rp+pl+++=out
the ^ati++++=the
brilliance ^nn+nom+++=brilliance
of ^in++++=of
the ^ati++++=the
autumnal ^jj+atrb+++=autumnal
sun ^nn++++=sun
on ^in++++=on
the ^ati++++=the
perfect ^jj+atrb+++=perfect
field ^nn++++=field
of ^in++++=of
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
brilliance ^nn+nom+++=brilliance
of ^in++++=of
the ^ati++++=the
autumnal ^jj+atrb+++=autumnal
sun ^nn++++=sun
on ^in++++=on
the ^ati++++=the
perfect ^jj+atrb+++=perfect
field ^nn++++=field
of ^in++++=of
corn ^nn++++=corn
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
in ^in++++=in
mind ^nn++++=mind
of ^in++++=of
a ^at++++=a
haunted ^jj+++xvbn+=haunted
house ^npl++++=house
not ^xnot++not++=not
a ^at++++=a
haunted ^jj+++xvbn+=haunted
house ^npl++++=house
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
actually ^rb+amp+++=actually
seen ^vbd+vprv++xvbn+=seen
but ^cc++++=but
the ^ati++++=the
mythical ^jj+atrb+++=mythical
one ^cd1++++=one
that ^cs+sub+++=that
sometimes ^rb++++=sometimes
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind
( ^zz++++=(with
with ^in++++=EXTRAWORD
adjacent ^jj+atrb+++=adjacent
graveyard ^nn+++??+=graveyard
and ^cc++++=and
cat ^nn++++=cat
on ^in++++=on
a ^at++++=a
fence ^nn++++=fence)
) ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
brilliance ^nn+nom+++=brilliance
of ^in++++=of
the ^ati++++=the
autumnal ^jj+atrb+++=autumnal
sun ^nn++++=sun
on ^in++++=on
the ^ati++++=the
perfect ^jj++++=perfect
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
make ^vbi++++=make
sure ^jj++++=sure
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
kids ^nns++++=kids
had ^vb+hv+vrb++=had
a ^at++++=a
corresponding ^jj+++xvbg+=corresponding
mythical ^jj+atrb+++=mythical
haunted ^jj+++xvbn+=haunted
house ^npl++++=house
that ^tht+rel+subj++=that
appeared ^vprf+++xvbn+=appeared
in ^in++++=in
their ^pp$+pp3+++=their
minds ^nns++++=minds
whenever ^nn+nom+++=whenever
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
brilliance ^nn+nom+++=brilliance
of ^in++++=of
the ^ati++++=the
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
come ^vb++++=come
up ^rp++++=up
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
could ^md+pos+++=could
all ^rb++++=all
experience ^nn+nom+++=experience
it ^pp3+it+++=it
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
like ^in++++=like
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
like ^in++++=like
college ^npl++++=college
friends ^nns++++=friends
on ^in++++=on
a ^at++++=a
road ^npl++++=road
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
sans ^&fw++++=sans
pot ^vb++++=pot,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha
ha ^uh++++=ha
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^rb++++=no.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third
time ^nn++++=time,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Wow,
wow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
guys ^nns++++=guys,
, ^zz++++=EXTRAWORD
check ^vb+vprv+tht0++=check
that ^tht+vcmp+++=that
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abbie ^np+++??+=Abbie
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Okay,
okay ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mom ^np+++??+=Mom,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
get ^vb++++=get
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
corn ^nn++++=corn,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Josh ^np+++??+=Josh
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Mom ^np+++??+=Mom,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
Leavening ^np+++??+=Leavening
my ^pp$+pp1+++=my
Loaves ^nns++++=Loaves,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
fine ^jj+pred+++=fine
with ^in++++=with
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
problem ^nn++++=problem
with ^in++++=with
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Noble ^jj+atrb+++=Noble
Baker ^np++++=Baker
being ^vwbg+beg++xvbg+=being
preferable ^vb++++=preferable
to ^to+vcmp+++=to
Bra ^vb+++??+=Bra
Stuffer ^np+++??+=Stuffer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
game ^nn++++=game
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
asked ^vprf+++xvbnx+=asked
for ^in+ppvb+++=for.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
who ^wpr+who+whq++=who
could ^md+pos+++=could
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
have ^vb+hv+vrb++=have
any ^dti++++=any
mythical ^jj+atrb+++=mythical
vignettes ^nns+nom++??+=vignettes
in ^in++++=in
their ^pp$+pp3+++=their
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
maybe ^rb+hdg+++=maybe
the ^ati++++=the
mythical ^jj+atrb+++=mythical
vignettes ^nns+nom++??+=vignettes
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
in ^in++++=in
their ^pp$+pp3+++=their
heads ^nns++++=heads
were ^vbd+bed+vrb++=were
totally ^rb+amp+++=totally
different ^jj+pred+++=different
from ^in++++=from
the ^ati++++=the
ones ^cd1s++++=ones
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
in ^in++++=in
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
was ^vbd+bedz+aux++=was
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
after ^in++++=after
