When ^wrb+who+++=When
the ^ati++++=the
able ^jj++++=able-bodied
- ^zz++++=EXTRAWORD
bodied ^jj+atrb++xvbn+=EXTRAWORD
citizens ^nns++++=citizens
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
formed ^vbd+++xvbn+=formed
a ^at++++=a
company ^nn++++=company
and ^cc++++=and
marched ^vbd+++xvbn+=marched
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
war ^nn++++=war,
, ^zz++++=EXTRAWORD
Major ^jj+atrb+++=Major
Tom ^np++++=Tom
Boldin ^np+++??+=Boldin
assumed ^vwbn+vprv++xvbn+=assumed
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
cares ^vbz++++=cares.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
ran ^vbd+++xvbn+=ran
to ^in+ppvb+++=to
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
felt ^vbd+vprv++xvbnx+=felt
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
discuss ^vbi++++=discuss
their ^pp$+pp3+++=their
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sorrows ^nns++++=sorrows
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
were ^vbd+bed+aux++=were
dragged ^vpsv++agls+xvbnx+=dragged
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
little ^jj+atrb+++=little
bench ^nn++++=bench
at ^in++++=at
the ^ati++++=the
sunny ^jj+atrb+++=sunny
side ^nn++++=side
of ^in++++=of
Migglesville ^np+++??+=Migglesville
tavern ^nn++++=tavern
became ^vbd+++xvbn+=became
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
an ^at++++=an
open ^jj+atrb+++=open
court ^nn++++=court
where ^wrb+who+++=where
people ^nns++++=people
came ^vbd+++xvbn+=came
to ^to++++=to
speak ^vbi++++=speak
resentfully ^rb++++=resentfully
of ^in++++=of
their ^pp$+pp3+++=their
grievances ^nns+nom+++=grievances.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
accepted ^vbd+vprv+tht0+xvbnx+=accepted
his ^pp$+pp3+++=his
position ^nn+nom+++=position
and ^cc++++=and
struggled ^vbd+++xvbn+=struggled
manfully ^rb++++=manfully
under ^in++++=under
the ^ati++++=the
load ^nn++++=load.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
behoved ^vbd+++xvbn+=behoved
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
sky ^nn++++=sky
red ^jj++++=red
over ^in++++=over
the ^ati++++=the
quaint ^jj+atrb+++=quaint,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
cities ^nns++++=cities
of ^in++++=of
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
compact ^jj+atrb+++=compact
Northern ^jj+atrb+++=Northern
bayonets ^nns+++??+=bayonets
gleaming ^vwbg+++xvbg+=gleaming
on ^in++++=on
the ^ati++++=the
narrow ^jj+atrb+++=narrow
roads ^nns++++=roads.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
warm ^jj+atrb+++=warm
summer ^nn++++=summer
day ^nn++++=day
the ^ati++++=the
major ^nn++++=major
sat ^vbd+++xvbn+=sat
asleep ^jj++++=asleep
on ^in++++=on
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
bench ^nn++++=bench.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
lull ^nn++++=lull
in ^in++++=in
the ^ati++++=the
tempest ^nn++++=tempest
of ^in++++=of
discussion ^nn++++=discussion
which ^whp+rel+subj++=which
usually ^rb+down+++=usually
enveloped ^vbd+++xvbn+=enveloped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cane ^nn++++=cane,
, ^zz++++=EXTRAWORD
by ^in++++=by
use ^nn++++=use
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
make ^vb++++=make
the ^ati++++=the
most ^ql+emph+++=most
tremendous ^jj+atrb+++=tremendous
and ^cc+phrs+++=and
impressive ^jj+atrb+++=impressive
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
reposed ^j+++xvbn+=reposed
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hat ^nn++++=hat
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
old ^jj++++=old
bald ^jj++++=bald
head ^jjb++++=head
had ^vbd+hvd+aux++=had
swung ^vprf+++xvbnx+=swung
far ^rb+pl+++=far
forward ^rb++++=forward
until ^cs+sub+++=until
his ^pp$+pp3+++=his
nose ^nn++++=nose
actually ^rb+amp+++=actually
touched ^vbd+++xvbn+=touched
the ^ati++++=the
first ^od++++=first
button ^vb++++=button
of ^in++++=of
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sparrows ^nns++++=sparrows
wrangled ^vbd+++xvbn+=wrangled
desperately ^rb++++=desperately
in ^in++++=in
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
defying ^jj+atrb++xvbg+=defying
perspiration ^nn+nom+++=perspiration.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
team ^nn++++=team
went ^vbd+++xvbn+=went
jangling ^jj+++xvbg+=jangling
and ^cc+phrs+++=and
creaking ^jj++++=creaking
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
a ^at++++=a
yellow ^jj+atrb+++=yellow
blur ^nn++++=blur
of ^in++++=of
dust ^nn++++=dust
before ^in++++=before
the ^ati++++=the
soft ^jj+atrb+++=soft
tones ^nns++++=tones
of ^in++++=of
the ^ati++++=the
field ^nn++++=field
and ^cc++++=and
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
long ^jj+atrb+++=long
grass ^nn++++=grass
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
across ^in+pl+++=across
the ^ati++++=the
road ^nn++++=road
the ^ati++++=the
insects ^nns++++=insects
chirped ^vbd+++xvbn+=chirped
and ^cc+phrs+++=and
clacked ^vbd+++xvbn+=clacked
eternally ^rb++++=eternally.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
a ^at++++=a
frouzy ^nn+++??+=frouzy-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
boy ^nn++++=boy
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
roadway ^nn++++=roadway,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
feet ^nns++++=feet
pattering ^vwbg+++xvbg+=pattering
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
extremely ^rb+amp+splt++=extremely
excited ^vpsv++agls+xvbnx+=excited.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
a ^at++++=a
shrill ^jj+atrb+++=shrill
whoop ^nn+++??+=whoop
as ^ql++++=as
he ^pp3a+pp3+++=he
discovered ^vbd+vprv++xvbnx+=discovered
the ^ati++++=the
sleeping ^jj+++xvbg+=sleeping
major ^jj++++=major
and ^cc+phrs+++=and
rushed ^jj+++xvbn+=rushed
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
created ^vbd+++xvbnx+=created
a ^at++++=a
terrific ^jj+atrb+++=terrific
panic ^nn++++=panic
among ^in++++=among
some ^dti++++=some
chickens ^nns++++=chickens
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
scratching ^vbg+++xvbgx+=scratching
intently ^rb++++=intently
near ^in+pl+++=near
the ^ati++++=the
major ^jj+atrb+++=major's
's ^vbz+bez+vrb++0=EXTRAWORD
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
clamoured ^vbd+++xvbnx+=clamoured
in ^in++++=in
an ^at++++=an
insanity ^nn+nom+++=insanity
of ^in++++=of
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rushed ^vbd+++xvbn+=rushed
hither ^rb++++=hither
and ^cc+phrs+++=and
thither ^rb++++=thither
seeking ^vbg+++xvbg+=seeking
a ^at++++=a
way ^nn++++=way
of ^in++++=of
escape ^nn++++=escape,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
reality ^nn+nom+++=reality
all ^abn++++=all
ways ^nns++++=ways
lay ^vbd+++xvbn+=lay
plainly ^rb++++=plainly
open ^jj++++=open
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
tumult ^nn++++=tumult
caused ^vbd+++xvbn+=caused
the ^ati++++=the
major ^jj++++=major
to ^to++++=to
arouse ^vbi++++=arouse
with ^in++++=with
a ^at++++=a
sudden ^jj++++=sudden
little ^ap++++=little
jump ^nn++++=jump
of ^in++++=of
amazement ^nn+nom+++=amazement
and ^cc++++=and
apprehension ^nn++++=apprehension.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rubbed ^vbd+++xvbnx+=rubbed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
gazed ^vbd+++xvbn+=gazed
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
some ^dti++++=some
clever ^jj+atrb+++=clever
chicken ^nn++++=chicken
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
a ^at++++=a
passage ^nn+nom+++=passage
to ^in++++=to
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
led ^vbd+++xvbn+=led
the ^ati++++=the
flock ^nn++++=flock
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
squawked ^vbd+++xvbnx+=squawked
in ^in++++=in
sustained ^nn++++=sustained
alarm ^vb++++=alarm.
. ^zz++++=EXTRAWORD
Panting ^vbg+++xvbg+=Panting
from ^in++++=from
his ^pp$+pp3+++=his
run ^nn+++xvbn+=run
and ^cc++++=and
choked ^nn+++xvbn+=choked
with ^in++++=with
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
boy ^nn++++=boy
stood ^vbd+++xvbn+=stood
before ^in++++=before
the ^ati++++=the
major ^jj++++=major,
, ^zz++++=EXTRAWORD
struggling ^vbg+nom++xvbg+=struggling
with ^in++++=with
a ^at++++=a
tale ^nn++++=tale
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
upon ^in++++=upon
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
his ^pp$+pp3+++=his
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
" ^zz++++="Major--now--major----"
major ^jj++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
now ^rn+dspt+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
major ^jj++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
