1535 ^cd++++=1535
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
how ^wrb+who+whcl++=how
dim ^jj++++=dim
and ^cc+phrs+++=and
doubtful ^jj++++=doubtful
was ^vbd+bedz+vrb++=was
the ^ati++++=the
belief ^nn++++=belief
that ^tht+ncmp+++=that
upbore ^nn+++??+=upbore
the ^ati++++=the
grave ^nn++++=grave
and ^cc++++=and
beautiful ^jj+atrb+++=beautiful
Antigone ^np+++??+=Antigone
in ^in++++=in
her ^pp$+pp3+++=her
self ^nn++++=self-sacrifice;
- ^zz++++=EXTRAWORD
sacrifice ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^rn+pl+++=there
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
women ^nns++++=women
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
as ^ql++++=as
brave ^vb++++=brave
and ^cc+phrs+++=and
devoted ^vpsv++agls+xvbn+=devoted
in ^in++++=in
their ^pp$+pp3+++=their
care ^nn++++=care
of ^in++++=of
the ^ati++++=the
mortal ^nn++++=mortal
remains ^nns++++=remains
of ^in++++=of
their ^pp$+pp3+++=their
friends ^nns++++=friends--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
heathen ^jj++++=heathen
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
the ^ati++++=the
weal ^nn++++=weal
of ^in++++=of
the ^ati++++=the
dead ^nn++++=dead
depended ^vbd+++xvbn+=depended
on ^in++++=on
such ^abl++++=such
rites ^nns++++=rites,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
their ^pp$+pp3+++=their
earnest ^nn++++=earnest
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
fuller ^nn++++=fuller
trust ^vb+vprv+++=trust
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
Beatrix ^np+++??+=Beatrix,
, ^zz++++=EXTRAWORD
a ^at++++=a
noble ^jj++++=noble
maiden ^jjb++++=maiden
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
shared ^vbd+++xvbn+=shared
the ^ati++++=the
Christian ^jj+atrb+++=Christian
faith ^nn++++=faith
of ^in++++=of
her ^pp$+pp3+++=her
two ^cd++++=two
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
Simplicius ^np+++??+=Simplicius
and ^cc++++=and
Faustinus ^np+++??+=Faustinus,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
third ^nn++++=third
century ^nn++++=century.
. ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
years ^nns++++=years
there ^ex+pex+++=there
