The ^ati++++=The
Mission ^nn++++=Mission
House ^npl++++=House
at ^rb++++=at
Togiak ^np+++??+=Togiak
stands ^vbz++++=stands
forlornly ^jj++++=forlornly
on ^in++++=on
a ^at++++=a
wind ^nn++++=wind-swept
- ^zz++++=EXTRAWORD
swept ^vbd+++xvbn+=EXTRAWORD
Alaskan ^np+++??+=Alaskan
spit ^nn++++=spit,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
huddled ^vwbn+++xvbn+=huddled
around ^in++++=around
it ^pp3+it+++=it
a ^at++++=a
swarm ^nn++++=swarm
of ^in++++=of
dirt ^nn++++=dirt-covered
- ^zz++++=EXTRAWORD
covered ^vbd+++xvbn+=EXTRAWORD
" ^zz++++="igloos"
igloos ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
grovel ^nn+++??+=grovel
in ^in++++=in
an ^at++++=an
ecstacy ^nn+nom+++=ecstacy
of ^in++++=of
abasement ^nn+nom+++=abasement.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
natives ^nns++++=natives
crawled ^vprf+++xvbn+=crawled
out ^rp+pl+++=out
of ^in++++=of
these ^dt+pdem+++=these
and ^cc++++=and
stared ^vpsv++agls+xvbn+=stared
across ^in+pl+++=across
the ^ati++++=the
bay ^npl++++=bay
as ^ql++++=as
down ^rp++++=down
a ^at++++=a
gully ^nn++++=gully
came ^vbd+++xvbn+=came
an ^at++++=an
Arctic ^jj+atrb+++=Arctic
caravan ^nn++++=caravan,
, ^zz++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
black ^jj++++=black
against ^in+strn+++=against,
, ^zz++++=EXTRAWORD
the ^ati++++=the
deadly ^jj+atrb+++=deadly
whiteness ^nns+nom+++=whiteness.
. ^zz++++=EXTRAWORD
Ahead ^rb+pl+++=Ahead
swung ^vbd+++xvbn+=swung
the ^ati++++=the
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
straddling ^vbg+nom++xvbg+=straddling
awkwardly ^rb++++=awkwardly
on ^in++++=on
his ^pp$+pp3+++=his
five ^cd++++=five
foot ^nn++++=foot
webs ^nns++++=webs,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
straining ^nn++++=straining
pack ^vb++++=pack
pattered ^vbd+++xvbn+=pattered
at ^in++++=at
his ^pp$+pp3+++=his
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
Big ^jj+atrb+++=Big
George ^np++++=George,
, ^zz++++=EXTRAWORD
the ^ati++++=the
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
urged ^j+++xvbn+=urged
them ^pp3o+pp3+++=them
with ^in++++=with
strong ^jj+atrb+++=strong
words ^nns++++=words,
, ^zz++++=EXTRAWORD
idioms ^nns++++=idioms
of ^in++++=of
the ^ati++++=the
Northland ^np+++??+=Northland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
long ^rb++++=long
whip ^nn++++=whip
bit ^nn++++=bit
sharply ^rb++++=sharply
at ^in++++=at
