Dusk ^nn++++=Dusk
was ^vbd+bedz+vrb++=was
melting ^nn++++=melting
into ^in++++=into
darkness ^nns+nom+++=darkness
as ^in++++=as
the ^ati++++=the
two ^cd++++=two
men ^nns++++=men
slowly ^rb++++=slowly
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
dense ^jj+atrb+++=dense
forest ^nn++++=forest
of ^in++++=of
spruce ^nn++++=spruce
and ^cc++++=and
fir ^nn++++=fir
that ^tht+rel+++=that
clothed ^jj+++xvbn+=clothed
the ^ati++++=the
flanks ^nns++++=flanks
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
weary ^jj+pred+++=weary
with ^in++++=with
the ^ati++++=the
long ^rb++++=long
climb ^vb++++=climb,
, ^zz++++=EXTRAWORD
for ^in++++=for
neither ^dt++neg++=neither
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
first ^od++++=first
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
July ^nr++++=July
day ^nn++++=day
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
hot ^jj+atrb+++=hot
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
little ^ap++++=little
inn ^npl++++=inn
lay ^vbd+++xvbn+=lay
further ^jjb++++=further
in ^in++++=in
the ^ati++++=the
valley ^nn++++=valley
among ^in++++=among
the ^ati++++=the
orchards ^nns++++=orchards
that ^tht+rel+subj++=that
separated ^vbd+++xvbn+=separated
the ^ati++++=the
forest ^nn++++=forest
from ^in++++=from
the ^ati++++=the
vineyards ^nns++++=vineyards.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
of ^in++++=of
them ^pp3o+pp3+++=them
talked ^vbd+++xvbn+=talked
much ^ap++++=much.
. ^zz++++=EXTRAWORD
The ^ati++++=The
big ^jj+atrb+++=big
man ^nn++++=man
led ^vbd+++xvbn+=led
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
the ^ati++++=the
knapsack ^nn+++??+=knapsack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
shorter ^jjr++++=shorter,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
the ^ati++++=the
more ^ql++++=more
fatigued ^jj+++xvbn+=fatigued
of ^in++++=of
the ^ati++++=the
two ^cd++++=two,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed
with ^in++++=with
small ^jj+atrb+++=small
footsteps ^nns++++=footsteps.
. ^zz++++=EXTRAWORD
From ^in++++=From
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
he ^pp3a+pp3+++=he
stumbled ^vbd+++xvbnx+=stumbled
among ^in++++=among
the ^ati++++=the
loose ^jj+atrb+++=loose
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
An ^at++++=An
exceptionally ^rb++++=exceptionally
observant ^jj+atrb+++=observant
mind ^nn++++=mind
would ^md+prd+++=would
possibly ^rb++++=possibly
have ^vb+hv+aux++=have
divined ^vprf+++xvbn+=divined
that ^cs+sub+++=that
his ^pp$+pp3+++=his
stumbling ^nn+nom+++=stumbling
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
fatigue ^vb++++=fatigue,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
an ^at++++=an
absorption ^nn+nom+++=absorption
of ^in++++=of
spirit ^nn++++=spirit
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
careless ^jj++++=careless
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
' ^zz++++='All
all ^abn++++=EXTRAWORD
right ^jj++++=right
behind ^in+strn+++=behind?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
would ^md+prd+++=would
call ^vb++++=call
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
half ^abn++++=half
glancing ^jj+++xvbg+=glancing
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
' ^zz++++='Eh?
eh ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
would ^md+prd+++=would
reply ^vb++++=reply,
, ^zz++++=EXTRAWORD
startled ^j+++xvbn+=startled
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
reverie ^nn++++=reverie.
. ^zz++++=EXTRAWORD
' ^zz++++='Pace
pace ^nn++++=EXTRAWORD
too ^ql++++=too
fast ^rb++++=fast?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
once ^rb+tm+++=once
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added:
: ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
hurry ^vb++++=hurry
on ^in++++=on
and ^cc++++=and
see ^vb+vprv+++=see
to ^to+vcmp+++=to
supper ^vb++++=supper,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
like ^in++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shan't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
long ^rb++++=long
behind ^in+pl+++=behind
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
friend ^nn++++=friend
did ^vbd+dod+aux++=did
not ^xnot++not++=not
adopt ^vb++++=adopt
the ^ati++++=the
suggestion ^nn+nom+++=suggestion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
same ^ap++++=same
distance ^nn+nom+++=distance
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
out ^rp+pl+++=out
the ^ati++++=the
same ^ap++++=same
question ^nn+nom+++=question
at ^in++++=at
intervals ^nns+nom+++=intervals,
, ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
or ^cc+phrs+++=or
twice ^rb++++=twice
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
back ^jjb++++=back
too ^rb++++=too.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
way ^nn++++=way
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
at ^rb++++=at
length ^rb"++++=length
to ^in++++=to
the ^ati++++=the
skirts ^nns++++=skirts
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
A ^at++++=A
deep ^nn++++=deep
hush ^vb++++=hush
covered ^vwbn+++xvbn+=covered
all ^abn++++=all
the ^ati++++=the
valley ^nn++++=valley;
; ^zz++++=EXTRAWORD
the ^ati++++=the
limestone ^nn++++=limestone
ridges ^nns++++=ridges
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
gleamed ^vbd+++xvbn+=gleamed
down ^rp++++=down
white ^jj++++=white
and ^cc+phrs+++=and
ghostly ^jj++++=ghostly
upon ^in++++=upon
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
fading ^jj+atrb++xvbg+=fading
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Midway ^rb++++=Midway
in ^in++++=in
its ^pp$+it+++=its
journeys ^nns++++=journeys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evening ^nn++++=evening
wind ^nn++++=wind
dropped ^vbd+++xvbn+=dropped
suddenly ^rb++++=suddenly
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
the ^ati++++=the
moonlight ^nn++++=moonlight
- ^zz++++=-to
to ^to++++=EXTRAWORD
