When ^wrb+who+++=WHEN
the ^ati++++=the
wind ^nn++++=wind
is ^vbz+bez+aux++=is
blowing ^vbg+++xvbgx+=blowing
and ^cc++++=and
the ^ati++++=the
sleet ^nn++++=sleet
or ^cc++++=or
rain ^nn++++=rain
is ^vbz+bez+aux++=is
driving ^vbg+++xvbgx+=driving
against ^in++++=against
the ^ati++++=the
dark ^jj+atrb+++=dark
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^vb++++=love
to ^to+vcmp+++=to
sit ^vbi++++=sit
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
in ^in++++=in
books ^nns++++=books
of ^in++++=of
voyage ^nn++++=voyage
and ^cc++++=and
travel ^nn++++=travel.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
books ^nns++++=books
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
strong ^jj+atrb+++=strong
fascination ^nn+nom+++=fascination
for ^in++++=for
my ^pp$+pp1+++=my
mind ^nn++++=mind
from ^in++++=from
my ^pp$+pp1+++=my
earliest ^jjt+atrb+++=earliest
childhood ^nn+nom+++=childhood;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
it ^pp3+it+++=it
should ^md+nec+++=should
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^to++++=to
pass ^vbi++++=pass
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
never ^rb++++=never
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
round ^rb++++=round
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
never ^rb++++=never
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
shipwrecked ^jj++++=shipwrecked,
, ^zz++++=EXTRAWORD
ice ^nn++++=ice-environed,
- ^zz++++=EXTRAWORD
environed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
tomahawked ^j+++xvbn+=tomahawked,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
eaten ^vbd+++xvbn+=eaten.
. ^zz++++=EXTRAWORD
Sitting ^vbg+++xvbg+=Sitting
on ^in++++=on
my ^pp$+pp1+++=my
ruddy ^jj+atrb+++=ruddy
hearth ^nn++++=hearth
in ^in++++=in
the ^ati++++=the
twilight ^nn++++=twilight
of ^in++++=of
New ^jj+atrb+++=New
Year ^np++++=Year's
's ^$++++=EXTRAWORD
Eve ^nn++++=Eve,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
incidents ^nns++++=incidents
of ^in++++=of
travel ^nn++++=travel
rise ^vb++++=rise
around ^rp++++=around
me ^pp1o+pp1+++=me
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
latitudes ^nns++++=latitudes
and ^cc++++=and
longitudes ^nns++++=longitudes
of ^in++++=of
the ^ati++++=the
globe ^nn++++=globe.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
observe ^vb+vprv+++=observe
no ^at++++=no
order ^to++++=order
or ^cc++++=or
sequence ^nn+nom+++=sequence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
appear ^vb+seem+++=appear
and ^cc+phrs+++=and
vanish ^vb++++=vanish
as ^ql++++=as
they ^pp3a+pp3+++=they
will ^md+prd+++=will
' ^zz++++='come
come ^vprf+++xvbn+=EXTRAWORD
like ^in++++=like
shadows ^nps++++=shadows,
, ^zz++++=EXTRAWORD
so ^ql++++=so
depart ^vb++++=depart.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Columbus ^np+++??+=Columbus,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea
with ^in++++=with
his ^pp$+pp3+++=his
disaffected ^jj+atrb++xvbn+=disaffected
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
looks ^nns++++=looks
over ^in++++=over
the ^ati++++=the
waste ^nn++++=waste
of ^in++++=of
waters ^nns++++=waters
from ^in++++=from
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
station ^nn+nom+++=station
on ^in++++=on
the ^ati++++=the
poop ^nn+++??+=poop
of ^in++++=of
his ^pp$+pp3+++=his
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sees ^vbz+vprv+++=sees
the ^ati++++=the
first ^rb++++=first
uncertain ^jj+atrb+++=uncertain
glimmer ^nn++++=glimmer
of ^in++++=of
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
' ^zz++++='rising
rising ^nvbg+++xvbg+=EXTRAWORD
and ^cc++++=and
falling ^nvbg+++xvbg+=falling
with ^in++++=with
the ^ati++++=the
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
torch ^nn++++=torch
in ^in++++=in
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
some ^dti++++=some
fisherman ^nn+nom+++=fisherman,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
the ^ati++++=the
shining ^jj+atrb++xvbg+=shining
star ^nn++++=star
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Bruce ^np++++=Bruce
is ^vbz+bez+vrb++=is
caged ^jj+pred+++=caged
in ^in++++=in
Abyssinia ^np++++=Abyssinia,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
the ^ati++++=the
gory ^nn++++=gory
horrors ^nns++++=horrors
which ^whp+rel+subj++=which
shall ^md+prd+++=shall
often ^rb++++=often
startle ^nn+++??+=startle
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
sleep ^nn++++=sleep
at ^rb++++=at
home ^nr++++=home
when ^wrb+who+++=when
years ^nns++++=years
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
away ^rp+pl+++=away.
