By ^in++++=By
the ^ati++++=the
time ^nn++++=time
this ^dt+dem+++=this
paper ^nn++++=paper
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
for ^in++++=for
twelve ^cd++++=twelve
months;[1 ^nn+++??+=months;[1]
] ^zz++++=EXTRAWORD
and ^cc++++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
I ^pp1a+pp1+++=I
should ^md+nec+++=should
take ^vb++++=take
my ^pp$+pp1+++=my
leave ^nn++++=leave
in ^in++++=in
a ^at++++=a
formal ^jj+atrb+++=formal
and ^cc+phrs+++=and
seasonable ^jj+atrb+++=seasonable
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Valedictory ^np+++??+=Valedictory
eloquence ^nn+nom+++=eloquence
is ^vbz+bez+vrb++=is
rare ^jj+pred+++=rare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
death ^nn++++=death-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
sayings ^nns+++??+=sayings
have ^vb+hv+aux++=have
not ^xnot++not++=not
often ^rb++++=often
hit ^vbd+++xvbn+=hit
the ^ati++++=the
mark ^nn++++=mark
of ^in++++=of
the ^ati++++=the
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
Charles ^np++++=Charles
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
wit ^nn++++=wit
and ^cc++++=and
sceptic ^nn++++=sceptic,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
life ^nn++++=life
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
one ^cd1++++=one
long ^jj+atrb+++=long
lesson ^nn++++=lesson
in ^in++++=in
human ^jj+atrb+++=human
incredulity ^nn+nom+++=incredulity,
, ^zz++++=EXTRAWORD
an ^at++++=an
easy ^jj++++=easy-going
- ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=EXTRAWORD
comrade ^nn++++=comrade,
, ^zz++++=EXTRAWORD
a ^at++++=a
manoeuvring ^jj+++xvbg+=manoeuvring
king ^npt++++=king--remembered
-- ^--+clp+++=EXTRAWORD
remembered ^vpbn+vprv++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
embodied ^xvbn+++xvbn+=embodied
all ^abn++++=all
his ^pp$+pp3+++=his
wit ^nn++++=wit
and ^cc++++=and
scepticism ^nn+nom+++=scepticism
along ^in++++=along
with ^in"++++=with
more ^rbr++++=more
than ^in++++=than
his ^pp$+pp3+++=his
usual ^jj+atrb+++=usual
good ^jj+atrb+++=good
humour ^nn++++=humour
in ^in++++=in
the ^ati++++=the
famous ^jj++++=famous
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
an ^at++++=an
unconscionable ^jj+atrb+++=unconscionable
time ^nn++++=time
a ^at++++=a-dying."
- ^zz++++=EXTRAWORD
dying ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
An ^at++++=An
unconscionable ^jj+atrb+++=unconscionable
time ^nn++++=time
a-dying ^vwbg+++xvbg+=a-dying--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
picture ^nn++++=picture
( ^zz++++=("I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
gentlemen, ^nn+++??+=gentlemen,")
" ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
life ^nn++++=life
and ^cc++++=and
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sands ^npl++++=sands
run ^vbd+++xvbn+=run
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hours ^nns++++=hours
are ^vb+ber+aux++=are
" ^zz++++="numbered
numbered ^vbd+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
imputed ^vbd+++xvbn+=imputed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
days ^nns++++=days
go ^vb++++=go
by ^in+strn+++=by;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
these ^dt+pdem+++=these
finds ^vbz+vprv+++=finds
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
dying ^vwbg+++xvbg+=dying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
else ^rb+cnj+++=else?
? ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
length ^rb++++=length
is ^vbz+bez+vrb++=is
something ^pn++++=something,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
reach ^vb++++=reach
that ^dt+dem+++=that
hour ^nn++++=hour
of ^in++++=of
separation ^nn+nom+++=separation
undishonoured ^vbd+++xvbn+=undishonoured;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
have ^vbi+vbi+aux++=have
lived ^vprf+++xvbnx+=lived
at ^rb++++=at
all ^abn++++=all
is ^vbz+bez+vrb++=is
doubtless ^rb++++=doubtless
( ^zz++++=(in
in ^in++++=EXTRAWORD
the ^ati++++=the
soldierly ^jj+atrb+++=soldierly
expression ^nn++++=expression)
) ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
served ^vprf+++xvbnx+=served.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
tale ^nn++++=tale
in ^in++++=in
Tacitus ^np+++??+=Tacitus
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
veterans ^nns+nom+++=veterans
mutinied ^vbd+++xvbn+=mutinied
in ^in++++=in
the ^ati++++=the
German ^jj+atrb+++=German
wilderness ^nns+nom+++=wilderness;
; ^zz++++=EXTRAWORD
of ^in++++=of
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
mobbed ^vbd+++xvbnx+=mobbed
Germanicus ^np+++??+=Germanicus,
, ^zz++++=EXTRAWORD
clamouring ^jj+++xvbg+=clamouring
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
seizing ^vbg+++xvbg+=seizing
their ^pp$+pp3+++=their
general ^jj+atrb+++=general's
's ^vbz+bez+vrb++0=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
old ^jj++++=old,
, ^zz++++=EXTRAWORD
war ^nn++++=war-worn
- ^zz++++=EXTRAWORD
worn ^xvbn+++xvbn+=EXTRAWORD
exiles ^nns+++??+=exiles
passed ^vbd+++xvbn+=passed
his ^pp$+pp3+++=his
finger ^nn++++=finger
along ^in++++=along
their ^pp$+pp3+++=their
toothless ^jj+atrb+++=toothless
gums ^nns+++??+=gums.
. ^zz++++=EXTRAWORD
_sunt ^jj+atrb++xvbn+=_Sunt
lacrymae ^nn+++??+=lacrymae
rerum_ ^nn+++??+=rerum_:
: ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
eloquent ^jj++++=eloquent
of ^in++++=of
the ^ati++++=the
songs ^nns++++=songs
of ^in++++=of
Simeon ^np+++??+=Simeon.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
has ^vbz+hvz+aux++=has
lived ^vprf+++xvbnx+=lived
to ^in++++=to
a ^at++++=a
fair ^jj+atrb+++=fair
age ^nn++++=age,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bears ^vbz++++=bears
his ^pp$+pp3+++=his
marks ^nns++++=marks
of ^in++++=of
service ^nn++++=service.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
have ^vb+hv+aux++=have
never ^rb++splt++=never
