Before ^cs+sub+++=Before
Toinette ^np+nom++??+=Toinette
Girard ^np+++??+=Girard
made ^vbd+++xvbn+=made
up ^rp++++=up
her ^pp$+pp3+++=her
mind ^nn++++=mind
to ^to++++=to
marry ^vbi++++=marry
Prosper ^np+++??+=Prosper
Leclere, ^np+++??+=Leclere,--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
remember ^nn+nom+++=remember
the ^ati++++=the
man ^nn++++=man
at ^in++++=at
Abbeville ^np+++??+=Abbeville
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
such ^abl++++=such
a ^at++++=a
brave ^jj+atrb+++=brave
heart ^nn++++=heart
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
willing ^jj++++=willing
to ^to+jcmp+++=to
fight ^vbi++++=fight
with ^in++++=with
an ^at++++=an
old ^jj+atrb+++=old
friend, ^nn+++??+=friend,--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
Toinette ^np+nom++??+=Toinette
perceived ^vwbn+++xvbn+=perceived
and ^cc+phrs+++=and
understood ^vwbn+vprv++xvbn+=understood
how ^wrb+who+whcl++=how
brave ^jj+atrb+++=brave
Prosper ^np+++??+=Prosper
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
much ^ap++++=much
in ^in++++=in
doubt ^nn++++=doubt
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
love ^vb++++=love
some ^dti++++=some
one ^cd1++++=one
else ^rb+cnj+++=else
more ^ql++++=more
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
and ^cc++++=and
she ^pp3a+pp3+++=she
really ^rb+emph+++=really
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether,
, ^zz++++=EXTRAWORD
in ^rb++++=in
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cared ^vbd+++xvbnx+=cared
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him
enough ^qlp++++=enough
to ^to++++=to
give ^vbi++++=give
herself ^ppl+pp3+++=herself
entirely ^rb+amp+++=entirely
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married
six ^cd++++=six
weeks ^nns++++=weeks
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
doubt ^nn++++=doubt
left ^vbd+++xvbn+=left
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
one ^cd1++++=one
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
satisfied ^vbd+++xvbnx+=satisfied
her ^pp3o+pp3+++=her
to ^in++++=to
the ^ati++++=the
core ^nn++++=core--although
-- ^--+clp+++=EXTRAWORD
although ^cs+con+++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
most ^ap+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
faults ^nns++++=faults.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
simply ^rb++++=simply
could ^md+pos+++=could
not ^xnot++not++=not
imagine ^vb+vprv+tht0++=imagine
him ^pp3o+pp3+++=him
changed ^vbd+++xvbn+=changed
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
without ^in++++=without
losing ^xvbg+++xvbg+=losing
a ^at++++=a
part ^nn++++=part
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was
both ^abx++++=both
intolerable ^jj++++=intolerable
and ^cc+phrs+++=and
incredible ^jj++++=incredible
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
clung ^vbd+++xvbnx+=clung
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
became ^vbd+++xvbn+=became
one ^pn++++=one
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
ridiculous ^jj++++=ridiculous
to ^to++++=to
describe ^vbi++++=describe
a ^at++++=a
love ^nn++++=love
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certainly ^rb++++=certainly
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
explain ^vbi+vpub+tht0++=explain
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
common ^jj++++=common,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
regular ^jj++++=regular,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
altogether ^nn+nom+++=altogether
justifiable ^jj++++=justifiable
by ^in++++=by
precept ^nn++++=precept
and ^cc++++=and
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
Reason ^nn++++=Reason
is ^vbz+bez+vrb++=is
against ^in++++=against
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctors ^nns++++=doctors
of ^in++++=of
the ^ati++++=the
church ^nn++++=church
have ^vb+hv+aux++=have
always ^rb++splt++=always
spoken ^vprf+++xvbnx+=spoken
severely ^rb++++=severely
of ^in++++=of
the ^ati++++=the
indulgence ^nn+nom+++=indulgence
of ^in++++=of
any ^dti++++=any
human ^jj+atrb+++=human
affection ^nn+nom+++=affection
that ^tht+rel+obj++=that
verges ^nns++++=verges
on ^in++++=on
idolatry ^nn++++=idolatry.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
fact ^nn++++=fact
remains ^nns++++=remains
that ^tht+rel+obj++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^ap++++=a
few ^ap"++++=few
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
such ^abl++++=such
a ^at++++=a
passion ^nn++++=passion.
. ^zz++++=EXTRAWORD
Capable ^jj++++=Capable?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
created ^vpsv++agls+xvbnx+=created
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
cannot ^md+pos+not++=cannot
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
virtue ^nn++++=virtue,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
a ^at++++=a
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
whole ^jj++++=whole
being ^xvbg+++xvbg+=being
depends ^vbz++++=depends
upon ^in++++=upon
their ^pp$+pp3+++=their
love ^nn++++=love.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hang ^vb++++=hang
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
wreath ^nn++++=wreath
hangs ^vbz++++=hangs
from ^in++++=from
a ^at++++=a
nail ^nn++++=nail
in ^in++++=in
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
breaks ^vbz++++=breaks
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
holds ^vbz+vprv+tht0++=holds
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
things ^nns++++=things
interest ^nn++++=interest
them ^pp3o+pp3+++=them
and ^cc++++=and
amuse ^vb++++=amuse
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+subj++=that
really ^rb+emph+++=really
counts ^vbz++++=counts--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
love ^nn++++=love
and ^cc++++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
loved ^vpsv++agls+xvbnx+=loved.
. ^zz++++=EXTRAWORD
Toinette ^np+nom++??+=Toinette
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
that ^dt+dem+++=that
rare ^jj+atrb+++=rare
race ^nn++++=race.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
outward ^jjb+atrb+++=outward
view ^nn++++=view
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
a ^at++++=a
pretty ^rb++++=pretty
French ^jj+atrb+++=French
Canadian ^nn++++=Canadian
girl ^nn++++=girl
with ^in++++=with
an ^at++++=an
oval ^jj+atrb+++=oval
face ^nn++++=face,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
like ^in++++=like
a ^at++++=a
very ^ql+amp+++=very
dark ^jj+atrb+++=dark
topaz ^nn+++??+=topaz.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
red ^jj++++=red
and ^cc+phrs+++=and
rough ^jj++++=rough.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
rich ^jj+pred+++=rich
and ^cc+phrs+++=and
vibrant ^jj++++=vibrant,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
middle ^jjb+atrb+++=middle
notes ^nns++++=notes
of ^in++++=of
a ^at++++=a
' ^zz++++='cello,
cello ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
a ^at++++=a
dialect ^nn++++=dialect
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
as ^ql++++=as
rustic ^jj++++=rustic
as ^in++++=as
a ^at++++=a
cabbage ^nn+nom+++=cabbage.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
science ^nn+nom+++=science
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
enough ^qlp++++=enough
arithmetic ^nn++++=arithmetic
to ^to++++=to
enable ^vbi++++=enable
her ^pp$+pp3+++=her
to ^to++++=to
keep ^vbi++++=keep
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
art ^nn++++=art
to ^in++++=to
the ^ati++++=the
gift ^nn++++=gift
of ^in++++=of
singing ^xvbg+++xvbg+=singing
a ^at++++=a
very ^ql+amp+++=very
lovely ^jj+atrb+++=lovely
contralto ^nn++++=contralto
by ^in++++=by
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
notions ^nns+nom+++=notions
of ^in++++=of
history ^nn++++=history
bordered ^vwbn+++xvbn+=bordered
on ^in++++=on
the ^ati++++=the
miraculous ^nn++++=miraculous.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
obstinate ^jj+pred+++=obstinate,
, ^zz++++=EXTRAWORD
superstitious ^jj++++=superstitious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
times ^nns++++=times
quick ^jj++++=quick-tempered.
- ^zz++++=EXTRAWORD
tempered ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
positive ^jj+atrb+++=positive
genius ^nn++++=genius
for ^in++++=for
loving ^nn++++=loving.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
raised ^vwbn+++xvbn+=raised
her ^pp$+pp3+++=her
into ^in++++=into
the ^ati++++=the
first ^od++++=first
rank ^vb++++=rank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enabled ^vbd+++xvbn+=enabled
her ^pp$+pp3+++=her
to ^to++++=to
bestow ^vbi++++=bestow
as ^ql++++=as
much ^ap++++=much
happiness ^nns+nom+++=happiness
on ^in++++=on
Prosper ^np+++??+=Prosper
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
queen ^nn++++=queen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
grief ^nn++++=grief
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
children ^nns++++=children.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
grief ^nn++++=grief
did ^vbd+dod+aux++=did
not ^xnot++not++=not
destroy ^vb++++=destroy,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
even ^rb++++=even
diminish ^vb++++=diminish,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
felicity ^nn+nom+++=felicity
in ^in++++=in
each ^dt++++=each
other ^ap++++=other;
; ^zz++++=EXTRAWORD
