One ^cd1++++=One
morning ^nn++++=morning
the ^ati++++=the
old ^jj+atrb+++=old
Water ^nn++++=Water-rat
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
head ^jjb++++=head
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
bright ^jj+atrb+++=bright
beady ^jj+atrb+++=beady
eyes ^nns++++=eyes
and ^cc++++=and
stiff ^jj+atrb+++=stiff
grey ^jj+atrb+++=grey
whiskers ^nns+nom+++=whiskers
and ^cc++++=and
his ^pp$+pp3+++=his
tail ^nn++++=tail
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
long ^jj+atrb+++=long
bit ^nn++++=bit
of ^in++++=of
black ^np++++=black
india ^np++++=india-rubber.
- ^zz++++=EXTRAWORD
rubber ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
ducks ^nns++++=ducks
were ^vbd+bed+aux++=were
swimming ^vbg+++xvbgx+=swimming
about ^in++++=about
in ^in++++=in
the ^ati++++=the
pond ^nn++++=pond,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
just ^rb+emph+++=just
like ^in++++=like
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
yellow ^jj+atrb+++=yellow
canaries ^nns++++=canaries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
pure ^jj+atrb+++=pure
white ^nn++++=white
with ^in++++=with
real ^rb+emph+++=real
red ^jj+atrb+++=red
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
teach ^vbi+vsua+++=teach
them ^pp3o+pp3+++=them
how ^wrb+who+++=how
to ^to++++=to
stand ^vbi++++=stand
on ^in++++=on
their ^pp$+pp3+++=their
heads ^nns++++=heads
in ^in++++=in
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
society ^nn++++=society
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
can ^md+pos+++=can
stand ^vb++++=stand
on ^in++++=on
your ^pp$+pp2+++=your
heads ^nns++++=heads,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
saying ^vbg+++xvbg+=saying
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
showed ^vbd+vprv++xvbnx+=showed
them ^pp3o+pp3+++=them
how ^wrb+who+++=how
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
little ^jj+atrb+++=little
ducks ^nns++++=ducks
