[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
This ^dt+dem+++=This
story ^nn++++=story
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written
in ^in++++=in
collaboration ^nn+nom+++=collaboration
with ^in++++=with
Miss ^npt++++=Miss
Ina ^np++++=Ina
Lillian ^np+++??+=Lillian
Peterson ^np+++??+=Peterson,
, ^zz++++=EXTRAWORD
to ^to++++=to
whom ^whp+wpor+whq++=whom
is ^vbz+bez+aux++=is
rightly ^rb++++=rightly
due ^jj+pred+++=due
the ^ati++++=the
credit ^nn++++=credit
for ^in++++=for
whatever ^nn+nom+++=whatever
merit ^vb++++=merit
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
taught ^vbd+vsua++xvbnx+=taught
a ^rb++++=a
little ^rb"++++=little
country ^nn++++=country
school ^nn++++=school
near ^in+pl+++=near
Brownville ^np+++??+=Brownville,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
one ^cd1++++=one
knows ^vbz+vprv+++=knows
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
the ^ati++++=the
good ^jj+atrb+++=good
luck ^nn++++=luck
to ^to++++=to
live ^vbi++++=live
there ^ex+pex+++=there,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
capital ^nn++++=capital
of ^in++++=of
a ^at++++=a
considerable ^jj+atrb+++=considerable
expanse ^nn++++=expanse
of ^in++++=of
the ^ati++++=the
finest ^jjt+atrb+++=finest
scenery ^nn+nom+++=scenery
in ^in++++=in
California ^np++++=California.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
is ^vbz+bez+aux++=is
somewhat ^rb+down+splt++=somewhat
frequented ^vpsv++agls+xvbnx+=frequented
in ^in++++=in
summer ^nn++++=summer
by ^in++++=by
a ^at++++=a
class ^nn++++=class
of ^in++++=of
persons ^nns++++=persons
whom ^whp+rel+obj++=whom
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
journal ^nn++++=journal
to ^to++++=to
call ^vbi++++=call
" ^zz++++="pleasure
pleasure ^nn++++=EXTRAWORD
seekers ^nns+nom+++=seekers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc+cls+++=but
who ^whp+who+++=who
by ^in++++=by
a ^at++++=a
juster ^nn++++=juster
classification ^nn+nom+++=classification
would ^md+prd+++=would
be ^vb+be+aux++=be
known ^vpsv++agls+xvbnx+=known
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
sick ^jj++++=sick
and ^cc++++=and
those ^dt+dem+++=those
in ^in++++=in
adversity ^nn+nom+++=adversity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Brownville ^np+++??+=Brownville
itself ^ppl++++=itself
might ^md+pos+++=might
rightly ^rb++++=rightly
enough ^dt++++=enough
be ^vb+be+aux++=be
described ^vpsv++agls+xvbnx+=described,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
summer ^nn++++=summer
place ^nn++++=place
of ^in++++=of
last ^rb++++=last
resort ^nn++++=resort.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
fairly ^rb++++=fairly
well ^rb++++=well
endowed ^vbd+++xvbn+=endowed
with ^in++++=with
boarding ^nn++++=boarding-houses,
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
least ^rbt++++=least
pernicious ^jj++++=pernicious
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
performed ^vbd+++xvbnx+=performed
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day
( ^zz++++=(lunching
lunching ^vbg+++xvbg+=EXTRAWORD
at ^in++++=at
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse)
) ^zz++++=EXTRAWORD
the ^ati++++=the
humble ^jj+atrb+++=humble
rite ^nn++++=rite
of ^in++++=of
cementing ^xvbg+++xvbg+=cementing
the ^ati++++=the
alliance ^nn+nom+++=alliance
between ^in++++=between
soul ^nn++++=soul
and ^cc++++=and
body ^nn++++=body.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
" ^zz++++="hostelry"
hostelry ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(as
as ^in++++=EXTRAWORD
the ^ati++++=the
local ^jj+atrb+++=local
journal ^nn++++=journal
preferred ^vbd+++xvbn+=preferred
to ^to+vcmp+++=to
call ^vbi++++=call
it ^pp3+it+++=it
when ^wrb+who+++=when
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
it ^pp3+it+++=it
a ^at++++=a
" ^zz++++="caravanserai")
caravanserai ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse
the ^ati++++=the
distance ^nn+nom+++=distance
by ^in++++=by
the ^ati++++=the
