One ^cd1++++=One
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
wanderings ^nns++++=wanderings
with ^in++++=with
a ^at++++=a
knapsack ^nn+++??+=knapsack,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^in++++=at
luncheon ^nn++++=luncheon
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
of ^in++++=of
a ^at++++=a
wayside ^nn++++=wayside
inn ^nn++++=inn
in ^in++++=in
the ^ati++++=the
western ^jj+atrb+++=western
country ^nn++++=country,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened
and ^cc++++=and
there ^ex+pex+++=there
entered ^vprf+++xvbn+=entered
an ^at++++=an
old ^jj++++=old
rustic ^jj++++=rustic,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
crossed ^vbd+++xvbn+=crossed
close ^in+cmpx+++=close
to ^in"++++=to
my ^pp$+pp1+++=my
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
sat ^vbd+++xvbn+=sat
himself ^ppl+pp3+++=himself
down ^rp++++=down
very ^ql+amp+++=very
quietly ^rb++++=quietly
in ^in++++=in
the ^ati++++=the
seat ^nn++++=seat
by ^in++++=by
the ^ati++++=the
bow ^nn++++=bow
window ^nn++++=window.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
exchanged ^vbd+++xvbn+=exchanged
glances ^nns+nom+++=glances,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
properly ^rb++++=properly
speaking ^jj+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
nods ^nns+++??+=nods,
, ^zz++++=EXTRAWORD
for ^in++++=for
at ^in++++=at
the ^ati++++=the
moment ^nn++++=moment
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
actually ^rb+amp+++=actually
raise ^vb++++=raise
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
to ^in++++=to
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
concerned ^jj+++xvbn+=concerned
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
with ^in++++=with
the ^ati++++=the
important ^jj+atrb+++=important
business ^nns+nom+++=business
of ^in++++=of
satisfying ^xvbg+++xvbg+=satisfying
an ^at++++=an
appetite ^nn++++=appetite
gained ^vwbn+++xvbn+=gained
by ^in++++=by
tramping ^xvbg+++xvbg+=tramping
twelve ^cd++++=twelve
miles ^nns++++=miles
over ^in++++=over
a ^at++++=a
difficult ^jj+atrb+++=difficult
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fine ^jj+atrb+++=fine
warm ^jj+atrb+++=warm
rain ^nn++++=rain
of ^in++++=of
seven ^cd++++=seven
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
since ^cs+sub+++=since
risen ^vwbn+++xvbn+=risen
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
luminous ^jj+atrb+++=luminous
mist ^nn++++=mist
about ^in++++=about
the ^ati++++=the
tree ^nn++++=tree
tops ^nns++++=tops,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
floated ^vbd+++xvbn+=floated
far ^rb+pl+++=far
overhead ^jjb++++=overhead
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep
blue ^jj+atrb+++=blue
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+aux++=was
settling ^nvbg+++xvbg+=settling
down ^rp++++=down
into ^in++++=into
a ^at++++=a
blaze ^nn++++=blaze
of ^in++++=of
golden ^jj++++=golden
light ^jj++++=light.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
days ^nns++++=days
peculiar ^jj++++=peculiar
to ^in++++=to
Somerset ^np++++=Somerset
and ^cc++++=and
North ^np+pl+++=North
Devon ^np++++=Devon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
orchards ^nns++++=orchards
shine ^vb++++=shine
and ^cc++++=and
the ^ati++++=the
meadows ^nns++++=meadows
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
add ^vbi+vpub+++=add
a ^at++++=a
radiance ^nn+nom+++=radiance
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own,
, ^zz++++=EXTRAWORD
so ^ql++++=so
brilliantly ^rb++++=brilliantly
soft ^jj++++=soft
are ^vb+ber+vrb++=are
the ^ati++++=the
colourings ^nns+++??+=colourings
of ^in++++=of
grass ^nn++++=grass
and ^cc++++=and
foliage ^nn+nom+++=foliage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inn-keeper ^jjr+atrb+++=inn-keeper's
's ^vbz+bez+vrb++0=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
maiden ^jjb++++=maiden
with ^in++++=with
a ^at++++=a
simple ^jj+atrb+++=simple
country ^nn++++=country
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
presently ^rb+tm+++=presently
entered ^vbd+++xvbn+=entered
with ^in++++=with
a ^at++++=a
foaming ^jj+atrb++xvbg+=foaming
pewter ^jjr+atrb+++=pewter
mug ^nn++++=mug,
, ^zz++++=EXTRAWORD
enquired ^j+++xvbn+=enquired
after ^in++++=after
my ^pp$+pp1+++=my
welfare ^nn++++=welfare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Apparently ^rb++++=Apparently
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
noticed ^vprf+++xvbn+=noticed
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
sitting ^vwbg+++xvbg+=sitting
in ^in++++=in
the ^ati++++=the
settle ^nn++++=settle
by ^in++++=by
the ^ati++++=the
bow ^nn++++=bow
window ^nn++++=window,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
part ^nn++++=part,
, ^zz++++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
once ^cs+tm+++=once
turned ^vprf+++xvbn+=turned
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
our ^pp$+pp1+++=our
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
ordinary ^jj+atrb+++=ordinary
circumstances ^nns+nom+++=circumstances
I ^pp1a+pp1+++=I
should ^md+nec+++=should
probably ^rb++++=probably
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
no ^at++++=no
thought ^vb++++=thought
to ^to+vcmp+++=to
this ^dt+dem+++=this
other ^ap++++=other
occupant ^nn+nom+++=occupant
of ^in++++=of
the ^ati++++=the
room ^nn++++=room;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
my ^pp$+pp1+++=my
private ^jj+atrb+++=private
use ^nn++++=use,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
singular ^jj+atrb+++=singular
thing ^nn++++=thing
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
looking ^vbg+++xvbg+=looking
aimlessly ^rb++++=aimlessly
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
attempt ^nn++++=attempt
to ^to+ncmp+++=to
engage ^vbi++++=engage
me ^pp1o+pp1+++=me
in ^in++++=in
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+tm+++=once
somewhat ^rb+down+++=somewhat
curiously ^rb++++=curiously
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
soon ^rb+tm+++=soon
caught ^vbd+++xvbn+=caught
myself ^ppl+pp1+++=myself
wondering ^vbg+++xvbg+=wondering
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
so ^cs+sub+++=so
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
with ^in++++=with
averted ^vbd+++xvbn+=averted
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
a ^at++++=a
rather ^rb++++=rather
bent ^jj+atrb++xvbn+=bent
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
rustic ^jj+atrb+++=rustic
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skin ^nn++++=skin
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+aux++=was
wrinkled ^vwbn+++xvbn+=wrinkled
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
an ^at++++=an
apple ^nn++++=apple;
; ^zz++++=EXTRAWORD
corduroy ^nn++++=corduroy
trousers ^nns+nom+++=trousers
were ^vbd+bed+aux++=were
caught ^vpsv++agls+xvbnx+=caught
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
string ^nn++++=string
below ^rb++++=below
the ^ati++++=the
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
brown ^jj+atrb+++=brown
fustian ^jj+atrb+++=fustian
jacket ^nn++++=jacket
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
faded ^jj+++xvbn+=faded.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
thin ^jj+atrb+++=thin
hand ^nn++++=hand
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
a ^at++++=a
stoutish ^jj+atrb+++=stoutish
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
no ^at++++=no
hat ^nn++++=hat
and ^cc++++=and
carried ^vwbn+++xvbn+=carried
none ^pn++++=none,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
with ^in++++=with
silvery ^jj+atrb+++=silvery
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
finely ^rb++splt++=finely
shaped ^vpsv++agls+xvbnx+=shaped
and ^cc+phrs+++=and
gave ^vbd+++xvbn+=gave
the ^ati++++=the
impression ^nn++++=impression
of ^in++++=of
something ^pn++++=something
noble ^jj++++=noble.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
rather ^rb++++=rather
piqued ^vpsv++by+xvbn+=piqued
by ^in++++=by
his ^pp$+pp3+++=his
studied ^vprf+++xvbn+=studied
disregard ^vb++++=disregard
of ^in++++=of
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
probably ^rb++++=probably
had ^vb+hv+vrb++=had
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
the ^ati++++=the
little ^jj+atrb+++=little
hostel ^nn++++=hostel
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
perfect ^jj++++=perfect
right ^nn++++=right
to ^to+ncmp+++=to
use ^vbi++++=use
this ^dt+dem+++=this
room ^nn++++=room
with ^in++++=with
freedom ^nn+nom+++=freedom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
finished ^vbd+++xvbnx+=finished
my ^pp$+pp1+++=my
luncheon ^nn++++=luncheon
without ^in++++=without
breaking ^xvbg+++xvbg+=breaking
the ^ati++++=the
silence ^nn+nom+++=silence
and ^cc++++=and
then ^rn+tm+++=then
took ^vbd+++xvbn+=took
the ^ati++++=the
settle ^vb++++=settle
opposite ^jj++++=opposite
to ^in++++=to
smoke ^nn++++=smoke
a ^at++++=a
pipe ^nn++++=pipe
before ^in++++=before
going ^nn++++=going
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
came ^vbd+++xvbn+=came
the ^ati++++=the
scents ^nns++++=scents
of ^in++++=of
the ^ati++++=the
blossoming ^nn++++=blossoming
fruit ^nn++++=fruit
trees ^nns++++=trees;
; ^zz++++=EXTRAWORD
the ^ati++++=the
orchard ^nn++++=orchard
was ^vbd+bedz+aux++=was
drenched ^vpsv++agls+xvbnx+=drenched
in ^in++++=in
sunshine ^nn++++=sunshine
and ^cc++++=and
the ^ati++++=the
branches ^nns++++=branches
danced ^vbd+++xvbn+=danced
lazily ^rb++++=lazily
in ^in++++=in
the ^ati++++=the
breeze ^nn++++=breeze;
; ^zz++++=EXTRAWORD
the ^ati++++=the
grass ^nn++++=grass
below ^in+pl+++=below
fairly ^rb++++=fairly
shone ^vbd+++xvbn+=shone
with ^in++++=with
white ^jj+atrb+++=white
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
daisies ^nns++++=daisies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
red ^jj+atrb+++=red
roses ^nns++++=roses
climbing ^vwbg+++xvbg+=climbing
in ^in++++=in
profusion ^nn++++=profusion
over ^in++++=over
the ^ati++++=the
casement ^nn+nom+++=casement
mingled ^vbd+++xvbn+=mingled
their ^pp$+pp3+++=their
perfume ^nn++++=perfume
with ^in++++=with
the ^ati++++=the
sweetly ^rb++++=sweetly
penetrating ^vbg+++xvbg+=penetrating
odour ^nn++++=odour
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
