We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
built ^vprf+++xvbnx+=built
our ^pp$+pp1+++=our
house ^nn++++=house
in ^in++++=in
rather ^rb++++=rather
an ^at++++=an
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
place ^nn++++=place--on
-- ^--+clp+++=EXTRAWORD
on ^in++++=EXTRAWORD
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
a ^at++++=a
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
woods ^nns++++=woods
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
veritable ^nn++++=veritable
remain ^vb++++=remain
of ^in++++=of
quite ^rb++++=quite
an ^at++++=an
ancient ^jj+atrb+++=ancient
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
checkerberry ^nn++++=checkerberry
and ^cc++++=and
partridge ^nn+++??+=partridge-plum,
- ^zz++++=EXTRAWORD
plum ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
glossy ^jj+atrb+++=glossy
green ^nn++++=green
leaves ^nns++++=leaves
and ^cc++++=and
scarlet ^jj+atrb+++=scarlet
berries ^nns++++=berries,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
carpet ^nn++++=carpet
the ^ati++++=the
ground ^nn++++=ground
under ^in++++=under
its ^pp$+it+++=its
deep ^jj+atrb+++=deep
shadows ^nps++++=shadows;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prince ^npt++++=prince's-pine
's-pine ^nn+++??+=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
kindred ^nn++++=kindred
evergreens ^nns+++??+=evergreens
declare ^vb+vpub+++=declare
its ^pp$+it+++=its
native ^jj+atrb+++=native
wildness, ^nn+++??+=wildness,--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
children ^nns++++=children
of ^in++++=of
the ^ati++++=the
wild ^jj+atrb+++=wild
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
never ^rb++++=never
come ^vprf+++xvbn+=come
after ^cs+sub+++=after
plough ^nn++++=plough
and ^cc++++=and
harrow ^np++++=harrow
have ^vb+hv+aux++=have
once ^cs+tm+++=once
broken ^vprf+++xvbn+=broken
a ^at++++=a
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
look ^vbi++++=look
out ^rp+pl+++=out
the ^ati++++=the
spot ^nn++++=spot
for ^in++++=for
our ^pp$+pp1+++=our
house ^nn++++=house,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^md"++pmd"++=had
to ^md+nec+++=to
get ^vb++++=get
a ^at++++=a
surveyor ^nn++++=surveyor
to ^to++++=to
go ^vbi++++=go
before ^cs+sub+++=before
us ^pp1o+pp1+++=us
and ^cc++++=and
cut ^vb+++xvbn+=cut
a ^at++++=a
path ^nn++++=path
through ^in++++=through
the ^ati++++=the
dense ^jj+atrb+++=dense
underbrush ^nn+++??+=underbrush
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
laced ^vprf+++xvbn+=laced
together ^nn+nom+++=together
in ^in++++=in
a ^at++++=a
general ^jj+atrb+++=general
network ^nn++++=network
of ^in++++=of
boughs ^nns++++=boughs
and ^cc++++=and
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grew ^vbd+++xvbn+=grew
so ^ql++++=so
high ^np++++=high
as ^in++++=as
to ^in++++=to
overtop ^nn+++??+=overtop
our ^pp$+pp1+++=our
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
the ^ati++++=the
house ^npl++++=house
stands ^vbz++++=stands,
, ^zz++++=EXTRAWORD
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
great ^jj+atrb+++=great
old ^jj+atrb+++=old
oaks ^nns++++=oaks
and ^cc++++=and
chestnuts ^nns++++=chestnuts
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
cut ^vb+++xvbn+=cut
away ^rp+pl+++=away
to ^to++++=to
let ^vbi++++=let
it ^pp3+it+++=it
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
it ^pp3+it+++=it
stands ^vbz++++=stands
on ^in++++=on
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
the ^ati++++=the
edges ^nns++++=edges
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
still ^rb+atrb+++=still
overhung ^nn+++??+=overhung
with ^in++++=with
