At ^rb++++=At
five ^cd++++=five
o'clock ^rb++++=o'clock
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
the ^ati++++=the
tenth ^nn++++=tenth
of ^in++++=of
July ^nr++++=July,
, ^zz++++=EXTRAWORD
1860 ^cd+date+++=1860,
, ^zz++++=EXTRAWORD
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
of ^in++++=of
a ^at++++=a
certain ^jj+atrb+++=certain
house ^npl++++=house
on ^in++++=on
Anchor ^nn++++=Anchor
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ancient ^jj+atrb+++=ancient
seaport ^nn++++=seaport
town ^nn++++=town
of ^in++++=of
Rivermouth ^np+++??+=Rivermouth,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
to ^to++++=to
open ^vbi++++=open
with ^in++++=with
great ^jj+atrb+++=great
caution ^nn+nom+++=caution.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
door ^nn++++=door,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
least ^rbt++++=least
imaginative ^jj+atrb+++=imaginative
reader ^nn++++=reader
may ^md+pos+++=may
easily ^rb++++=easily
conjecture ^nn++++=conjecture,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
open ^vb++++=open
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
opened ^vpsv++by+xvbnx+=opened
by ^in++++=by
Miss ^npt++++=Miss
Margaret ^np++++=Margaret
Callaghan ^np+nom+++=Callaghan,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
immediately ^rb+tm+++=immediately
closed ^jj+++xvbn+=closed
it ^pp3+it+++=it
softly ^rb++++=softly
behind ^in+pl+++=behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
seconds ^nns++++=seconds
with ^in++++=with
an ^at++++=an
embarrassed ^jj+atrb++xvbn+=embarrassed
