One ^cd1++++=One
day ^nn++++=day
in ^in++++=in
July ^nr++++=July
our ^pp$+pp1+++=our
Rochester ^np+nom++??+=Rochester
club ^nn++++=club,
, ^zz++++=EXTRAWORD
leader ^nn++++=leader
in ^in++++=in
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
League ^nn++++=League,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
hotel ^npl++++=hotel
after ^in++++=after
winning ^xvbg+++xvbg+=winning
a ^at++++=a
double ^jj++++=double-header
- ^zz++++=EXTRAWORD
header ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Syracuse ^np+++??+=Syracuse
club ^nn++++=club.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
occult ^jj+atrb++xvbn+=occult
reason ^nn++++=reason
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
a ^at++++=a
lay ^vbd+++xvbn+=lay-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
next ^ap++++=next
day ^nn++++=day
and ^cc++++=and
then ^rn+tm+++=then
on ^in++++=on
the ^ati++++=the
following ^jj+++xvbg+=following
another ^dt++++=another
double ^jj++++=double-header.
- ^zz++++=EXTRAWORD
header ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
double ^jj++++=double-headers
- ^zz++++=EXTRAWORD
headers ^nns+nom+++=EXTRAWORD
we ^pp1a+pp1+++=we
hated ^vbd+++xvbn+=hated
next ^in+cmpx+++=next
to ^in++++=to
exhibition ^nn+nom+++=exhibition
games ^nns++++=games.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
a ^at++++=a
lay ^vbd+++xvbn+=lay-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
for ^in++++=for
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
Godsend ^np+++??+=Godsend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
received ^vbd+++xvbn+=received
the ^ati++++=the
news ^nn++++=news
with ^in++++=with
exclamations ^nns+nom+++=exclamations
of ^in++++=of
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
dinner ^nn++++=dinner
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
all ^abn++++=all
sitting ^jj+++xvbg+=sitting
and ^cc+phrs+++=and
smoking ^jj+++xvbg+=smoking
comfortably ^rb++++=comfortably
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
hotel ^nn++++=hotel
when ^wrb+who+++=when
our ^pp$+pp1+++=our
manager ^nn++++=manager,
, ^zz++++=EXTRAWORD
Merritt ^np+++??+=Merritt,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
hurriedly ^rb++++=hurriedly
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
lobby ^nn++++=lobby.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
struck ^vbd+++xvbn+=struck
