Sailormen ^np+++??+=Sailormen
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
their ^pp$+pp3+++=their
faults ^nns++++=faults,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
night ^nn++++=night
watchman ^nn+nom+++=watchman,
, ^zz++++=EXTRAWORD
frankly ^rb++++=frankly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
denying ^jj+++xvbg+=denying
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
to ^to++++=to
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
being ^vbg+beg++xvbg+=being
close ^jj++++=close
with ^in++++=with
their ^pp$+pp3+++=their
money ^nn++++=money
is ^vbz+bez+vrb++=is
a ^at++++=a
fault ^nn++++=fault
as ^ql++++=as
can ^md+pos+++=can
seldom ^rb++++=seldom
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saved ^vbd+++xvbnx+=saved
some ^dti++++=some
money ^nn++++=money
once ^rb+tm+++=once--two
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
golden ^jj+atrb+++=golden
sovereigns ^nns++++=sovereigns,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
a ^at++++=a
' ^zz++++='ole
ole ^np++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
another ^dt++++=another
ship ^nn++++=ship
I ^pp1a+pp1+++=I
slept ^vbd+++xvbnx+=slept
two ^cd++++=two
nights ^nns++++=nights
on ^in++++=on
a ^at++++=a
doorstep ^nn++++=doorstep
and ^cc++++=and
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
nothing ^pn++++=nothing
