We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
delighted ^jj++agls+xvbnx+=delighted
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
got ^vprf+++xvbnx+=got
in ^rb+phrv+++=in!
! ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
is ^vbz+bez+aux++=is
triumphantly ^rb++splt++=triumphantly
returned ^vpsv++agls+xvbnx+=returned
to ^to++++=to
serve ^vbi++++=serve
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
Parliament ^nn+nom+++=Parliament.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
the ^ati++++=the
honourable ^jj+atrb+++=honourable
member ^nn++++=member
for ^in++++=for
Verbosity ^np+nom++??+=Verbosity
the ^ati++++=the
best ^nn++++=best
represented ^vbd+++xvbn+=represented
place ^nn++++=place
in ^in++++=in
England ^np++++=England.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
has ^vbz+hvz+aux++=has
issued ^vprf+++xvbnx+=issued
an ^at++++=an
address ^nns+nom+++=address
of ^in++++=of
congratulation ^nn+nom+++=congratulation
to ^in++++=to
the ^ati++++=the
Electors ^nns++++=Electors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
worthy ^jj+pred+++=worthy
of ^in++++=of
that ^dt+dem+++=that
noble ^jj+atrb+++=noble
constituency ^nn++++=constituency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
pretty ^rb++++=pretty
piece ^nn++++=piece
of ^in++++=of
composition ^nn+nom+++=composition.
. ^zz++++=EXTRAWORD
In ^in++++=In
electing ^xvbg+++xvbg+=electing
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
covered ^vprf+++xvbnx+=covered
themselves ^ppls+pp3+++=themselves
with ^in++++=with
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
England ^np++++=England
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
true ^jj++++=true
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
( ^zz++++=(In
in ^in++++=EXTRAWORD
his ^pp$+pp3+++=his
preliminary ^jj+atrb+++=preliminary
address ^nns+nom+++=address
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
remarked ^vprf+++xvbnx+=remarked,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
poetical ^jj+atrb+++=poetical
quotation ^nn+nom+++=quotation
of ^in++++=of
great ^jj+atrb+++=great
rarity ^nn++++=rarity,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
nought ^vwbn+++xvbn+=nought
could ^md+pos+++=could
make ^vb++++=make
us ^pp1o+pp1+++=us
rue ^npl++++=rue,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
England ^np++++=England
to ^in++++=to
herself ^ppl+pp3+++=herself
did ^vbd+dod+aux++=did
prove ^vb+vprv+++=prove
but ^cc++++=but
true ^jj++++=true.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
delivers ^nns+nom+++=delivers
a ^at++++=a
prediction ^nn+nom+++=prediction,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
document ^nn+nom+++=document,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
feeble ^jj+atrb+++=feeble
minions ^nns++++=minions
of ^in++++=of
a ^at++++=a
faction ^nn+nom+++=faction
will ^md+prd+++=will
never ^rb++splt++=never
hold ^vb+vprv+++=hold
up ^rp++++=up
their ^pp$+pp3+++=their
heads ^nns++++=heads
any ^dti++++=any
more ^ql++++=more;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
finger ^nn++++=finger
of ^in++++=of
scorn ^nn++++=scorn
will ^md+prd+++=will
point ^vb++++=point
at ^rb++++=at
them ^pp3o+pp3+++=them
in ^in++++=in
their ^pp$+pp3+++=their
dejected ^jj+atrb+++=dejected
state ^nn++++=state,
, ^zz++++=EXTRAWORD
through ^in++++=through
countless ^jj+atrb+++=countless
ages ^nns++++=ages
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
hireling ^nn+nom+++=hireling
tools ^nns++++=tools
that ^tht+rel+subj++=that
would ^md+prd+++=would
destroy ^vb++++=destroy
the ^ati++++=the
sacred ^jj+atrb+++=sacred
bulwarks ^nns+++??+=bulwarks
of ^in++++=of
our ^pp$+pp1+++=our
nationality ^nn+nom+++=nationality
are ^vb+ber+vrb++=are
unworthy ^jj+pred+++=unworthy
of ^in++++=of
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Englishman ^nn+nom+++=Englishman;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
sea ^nn++++=sea
shall ^md+prd+++=shall
roll ^vb++++=roll
around ^rp++++=around
our ^pp$+pp1+++=our
ocean ^nn++++=ocean-girded
- ^zz++++=EXTRAWORD
girded ^vwbn+++xvbn+=EXTRAWORD
isle ^npl++++=isle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
his ^pp$+pp3+++=his
motto ^nn++++=motto
shall ^md+prd+++=shall
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
No ^at++++=No
surrender ^nn+nom+++=surrender.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
dogged ^jj+atrb+++=dogged
persons ^nns++++=persons
of ^in++++=of
low ^jj+atrb+++=low
principles ^nns++++=principles
and ^cc++++=and
no ^at++++=no
intellect ^nn++++=intellect,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
disputed ^vprf+++xvbnx+=disputed
whether ^cs+who+++=whether
anybody ^pn++++=anybody
knows ^vbz+vprv+++=knows
who ^whp+wpr+whcl++=who
the ^ati++++=the
minions ^nns++++=minions
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
the ^ati++++=the
faction ^nn+nom+++=faction
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
which ^wdt+who+whq++=which
are ^vb+ber+aux++=are
the ^ati++++=the
hireling ^nn+nom+++=hireling
tools ^nns++++=tools
and ^cc++++=and
which ^whp+rel+obj++=which
the ^ati++++=the
sacred ^jj+atrb+++=sacred
bulwarks ^nns+++??+=bulwarks,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
surrendered ^vpsv++agls+xvbnx+=surrendered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
the ^ati++++=the
member ^nn++++=member
for ^in++++=for
Verbosity ^np+nom++??+=Verbosity
knows ^vbz+vprv+++=knows
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
has ^vbz+hvz+aux++=has
sat ^vprf+++xvbnx+=sat
in ^in++++=in
several ^ap++++=several
parliaments ^nns+nom+++=parliaments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
given ^vbn+v++xvbn+=given
bushels ^nns+++??+=bushels
of ^in++++=of
votes ^nns++++=votes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
