High ^jj++++=High
above ^jjb++++=above
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
tall ^jj+atrb+++=tall
column ^nn++++=column,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
gilded ^vpsv++agls+xvbnx+=gilded
all ^abn++++=all
over ^in++++=over
with ^in++++=with
thin ^jj+atrb+++=thin
leaves ^nns++++=leaves
of ^in++++=of
fine ^jj+atrb+++=fine
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
for ^in++++=for
eyes ^nns++++=eyes
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
two ^cd++++=two
bright ^jj+atrb+++=bright
sapphires ^nns+++??+=sapphires,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
large ^jj+atrb+++=large
red ^jj+atrb+++=red
ruby ^np++++=ruby
glowed ^vbd+++xvbn+=glowed
on ^in++++=on
his ^pp$+pp3+++=his
sword ^nn++++=sword-hilt.
- ^zz++++=EXTRAWORD
hilt ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
admired ^jj+++xvbn+=admired
indeed ^qlp++++=indeed.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
as ^ql++++=as
beautiful ^jj++++=beautiful
as ^in++++=as
a ^at++++=a
weathercock ^nn+++??+=weathercock,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Town ^nn++++=Town
Councillors ^nns++++=Councillors
who ^whp+rel+subj++=who
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
gain ^vbi++++=gain
a ^at++++=a
reputation ^nn+nom+++=reputation
for ^in++++=for
having ^xvbg+++xvbg+=having
artistic ^jj+atrb+++=artistic
tastes ^nns++++=tastes;
; ^zz++++=EXTRAWORD
" ^zz++++="only
only ^rb+down+++=EXTRAWORD
not ^xnot++not++=not
quite ^abl++++=quite
so ^ql+emph+++=so
useful ^jj++++=useful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=fearing
lest ^cs+sub+++=lest
people ^nns++++=people
should ^md+nec+++=should
think ^vb+vprv+++=think
him ^pp3o+pp3+++=him
unpractical ^jj++++=unpractical,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be
like ^in++++=like
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
sensible ^jj+atrb+++=sensible
mother ^nn++++=mother
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
boy ^nn++++=boy
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
crying ^vbg+++xvbgx+=crying
for ^in++++=for
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince
never ^rb++++=never
dreams ^nps++++=dreams
of ^in++++=of
crying ^xvbg+++xvbg+=crying
for ^in++++=for
anything ^pn++++=anything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
glad ^jj+pred+++=glad
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
