Of ^in+emph+++=Of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
no ^at++++=no
man ^nn++++=man
better ^jjr++++=better
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
ghost ^nn++++=ghost
of ^in++++=of
a ^at++++=a
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
an ^at++++=an
earthly ^nn++++=earthly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
idea ^nn++++=idea
of ^in++++=of
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
preposterous ^jj+pred+++=preposterous.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
preposterous ^jj++++=preposterous
that ^cs+sub+++=that
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
perfectly ^rb+amp+splt++=perfectly
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it
if ^cs+cnd+++=if
her ^pp3o+pp3+++=her
father ^nn++++=father
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
her ^pp3o+pp3+++=her
father ^npt++++=father
chose ^vbd+++xvbn+=chose
to ^to++++=to
do ^vbi++++=do
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
perfectly ^rb+amp+splt++=perfectly
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
short ^jj++++=short
of ^in++++=of
desperation ^nn+nom+++=desperation,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
short ^jj++++=short
of ^in++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
positively ^rb++++=positively
his ^pp$+pp3+++=his
last ^rb++++=last
day ^nn++++=day
in ^in++++=in
England ^np++++=England
for ^in++++=for
God ^np++++=God
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
long ^jj++++=long,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
screwed ^vprf+++xvbnx+=screwed
him ^pp3o+pp3+++=him
up ^in+cmpx+++=up
to ^in"++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
even ^rb++++=even
now ^rn+tm+++=now
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chose ^vbd+++xvbnx+=chose
a ^at++++=a
tie ^nn++++=tie
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
a ^at++++=a
blue ^nn++++=blue
and ^cc++++=and
cream ^nn++++=cream
check ^vb+vprv+++=check
tie ^nn++++=tie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vpsv++agls+xvbn+=sat
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Supposing ^vbg+vprv+tht0+xvbg+=Supposing
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
impertinence ^nn+nom+++=impertinence!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
would ^md+prd+++=would
he ^pp3a+pp3+++=he
be ^vb+be+aux++=be
