When ^wrb+who+++=When
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
paid ^vbd+++xvbn+=paid
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
the ^ati++++=the
one ^cd1++++=one
hundred ^cd++++=hundred
dollars ^nns++++=dollars
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
for ^in++++=for
retrieving ^j++++=retrieving
the ^ati++++=the
Dragon ^np++++=Dragon's
's ^$++++=EXTRAWORD
Eye ^nn++++=Eye,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
extremely ^rb+amp+++=extremely
gracious ^jj++++=gracious.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
on ^in++++=on
account ^nn++++=account,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
grudgingly ^rb+cnj+++=grudgingly,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
only ^rb+down+++=only
brings ^vbz++++=brings
what ^wdt+who+++=what
you ^pp2+pp2+++=you
owe ^vb++++=owe
me ^pp1o+pp1+++=me
for ^in++++=for
that ^dt+dem+++=that
Utterly ^rb+amp+++=Utterly
Hopeless ^jj+atrb+++=Hopeless
Gold ^nn++++=Gold-Mine
- ^zz++++=EXTRAWORD
mine ^nn++++=EXTRAWORD
stock ^nn++++=stock
down ^rp++++=down
to ^to++++=to
eleven ^cd++++=eleven
thousand ^cd++++=thousand
nine ^cd++++=nine
hundred ^cd++++=hundred
dollars ^nns++++=dollars
and ^cc++++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++splt++=never
get ^vb++++=get
me ^pp1o+pp1+++=me
paid ^vbd+++xvbn+=paid
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
when ^wrb+who+++=when
