[ ^zz++++=[This
this ^dt+dem+++=EXTRAWORD
work ^nn++++=work
may ^md+pos+++=may
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
prose ^nn++++=prose
poem ^nn++++=poem.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
impregnated ^vpsv++agls+xvbnx+=impregnated
with ^in++++=with
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
romanticism ^nn+nom+++=romanticism,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
writing ^xvbg+++xvbg+=writing
had ^vb+hv+vrb++=had
a ^at++++=a
temporary ^jj+atrb+++=temporary
but ^cc+phrs+++=but
powerful ^jj+atrb+++=powerful
hold ^nn++++=hold
on ^in++++=on
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
Gustave ^np+++??+=Gustave
Flaubert ^np+++??+=Flaubert.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Death ^nn++++=DEATH
Speaks ^vbz++++=SPEAKS
At ^in++++=At
night ^nn++++=night,
, ^zz++++=EXTRAWORD
in ^in++++=in
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
snow ^np++++=snow-flakes
- ^zz++++=EXTRAWORD
flakes ^nns++++=EXTRAWORD
fall ^vb++++=fall
slowly ^rb++++=slowly
from ^in++++=from
heaven ^nn++++=heaven
like ^in++++=like
great ^jj+atrb+++=great
white ^jj+atrb+++=white
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raise ^vb++++=raise
my ^pp$+pp1+++=my
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
resonance ^nn+nom+++=resonance
thrills ^nns++++=thrills
the ^ati++++=the
cypress ^nns+nom+++=cypress
trees ^nns++++=trees
and ^cc++++=and
makes ^vbz++++=makes
them ^pp3o+pp3+++=them
bud ^nn++++=bud
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pause ^nn++++=pause
an ^at++++=an
instant ^nn+nom+++=instant
in ^in++++=in
my ^pp$+pp1+++=my
swift ^np++++=swift
course ^nn++++=course
over ^in++++=over
earth ^nn++++=earth;
; ^zz++++=EXTRAWORD
throw ^vb++++=throw
myself ^ppl+pp1+++=myself
down ^rp++++=down
among ^in++++=among
cold ^jj+atrb+++=cold
tombs ^nns++++=tombs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
dark ^jj++++=dark-plumaged
- ^zz++++=EXTRAWORD
plumaged ^jj+atrb++xvbn+=EXTRAWORD
birds ^nns++++=birds
rise ^nn++++=rise
suddenly ^rb++++=suddenly
in ^in++++=in
terror ^nn++++=terror
from ^in++++=from
my ^pp$+pp1+++=my
side ^nn++++=side,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
dead ^jj++++=dead
slumber ^jjr++++=slumber
peacefully ^rb+cnj+++=peacefully,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
cypress ^nns+nom+++=cypress
branches ^nns++++=branches
droop ^jj+atrb++??+=droop
low ^jj+atrb+++=low
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
my ^pp$+pp1+++=my
head ^nn++++=head,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
around ^rp++++=around
me ^pp1o+pp1+++=me
weeps ^nns+++??+=weeps
or ^cc++++=or
lies ^nns++++=lies
in ^in++++=in
deep ^jj+atrb+++=deep
repose ^nn++++=repose,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
burning ^jj+atrb++xvbg+=burning
eyes ^nns++++=eyes
rest ^nn++++=rest
on ^in++++=on
the ^ati++++=the
great ^jj+atrb+++=great
white ^jj+atrb+++=white
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
gigantic ^jj++++=gigantic
winding ^jj+++xvbg+=winding-sheets,
- ^zz++++=EXTRAWORD
sheets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unrolling ^nn+nom+++=unrolling
their ^pp$+pp3+++=their
slow ^jj++++=slow
length ^rb++++=length
across ^in+pl+++=across
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ages ^nns++++=ages
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
journeyed ^vbd+++xvbnx+=journeyed
thus ^rb+cnj+++=thus!
! ^zz++++=EXTRAWORD
A ^at++++=A
witness ^nns+nom+++=witness
of ^in++++=of
the ^ati++++=the
universal ^jj+atrb+++=universal
birth ^nn++++=birth
and ^cc++++=and
of ^in++++=of
a ^at++++=a
like ^in++++=like
decay ^nn++++=decay;
; ^zz++++=EXTRAWORD
Innumerable ^jj++++=Innumerable
are ^vb+ber+vrb++=are
the ^ati++++=the
generations ^nns+nom+++=generations
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
garnered ^vprf+++xvbnx+=garnered
with ^in++++=with
my ^pp$+pp1+++=my
scythe ^nn++++=scythe.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
God ^np++++=God,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
eternal ^jj+pred+++=eternal!
! ^zz++++=EXTRAWORD
The ^ati++++=The
nurse ^nn++++=nurse
of ^in++++=of
Earth ^nn++++=Earth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cradle ^nn++++=cradle
it ^pp3+it+++=it
each ^dt++++=each
night ^nn++++=night
upon ^in++++=upon
a ^at++++=a
bed ^nn++++=bed
both ^abx++++=both
soft ^jj++++=soft
and ^cc+phrs+++=and
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
recurring ^jj+atrb+++=recurring
feasts ^nns++++=feasts;
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
unending ^jj+atrb+++=unending
toil ^nn++++=toil!
! ^zz++++=EXTRAWORD
Each ^dt++++=Each
morning ^nn++++=morning
I ^pp1a+pp1+++=I
depart ^vb++++=depart,
, ^zz++++=EXTRAWORD
each ^dt++++=each
evening ^nn++++=evening
I ^pp1a+pp1+++=I
return ^vb++++=return,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
within ^in++++=within
my ^pp$+pp1+++=my
mantle ^nn++++=mantle's
's ^vbz+bez+vrb++0=EXTRAWORD
ample ^jj+atrb+++=ample
folds ^nns++++=folds
all ^abn++++=all
that ^dt+dem+++=that
my ^pp$+pp1+++=my
scythe ^nn++++=scythe
has ^vbz+hvz+aux++=has
gathered ^vprf+++xvbnx+=gathered.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
scatter ^nn++++=scatter
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
four ^cd++++=four
winds ^nns++++=winds
of ^in++++=of
Heaven ^nn++++=Heaven!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
high ^jj+atrb+++=high
billows ^nns+++??+=billows
run ^vbd+++xvbn+=run,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
heavens ^nns++++=heavens
weep ^nn++++=weep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shrieking ^vbg+++xvbg+=shrieking
winds ^nns++++=winds
lash ^vb++++=lash
ocean ^nn++++=ocean
into ^in++++=into
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
in ^in++++=in
the ^ati++++=the
turmoil ^nn++++=turmoil
and ^cc++++=and
the ^ati++++=the
tumult ^nn++++=tumult
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
fling ^vb++++=fling
myself ^ppl+pp1+++=myself
upon ^in++++=upon
the ^ati++++=the
surging ^nn++++=surging
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lo ^np++++=lo!
! ^zz++++=EXTRAWORD
the ^ati++++=the
tempest ^nn++++=tempest
softly ^rb++++=softly
cradles ^nns+++??+=cradles
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
her ^pp$+pp3+++=her
hammock ^nn+++??+=hammock
sways ^rb++++=sways
a ^at++++=a
queen ^nn++++=queen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
foaming ^jj+atrb++xvbg+=foaming
waters ^nns++++=waters
cool ^vb++++=cool
my ^pp$+pp1+++=my
weary ^jj+atrb+++=weary
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
burning ^jj+++xvbg+=burning
from ^in++++=from
bathing ^xvbg+++xvbg+=bathing
in ^in++++=in
the ^ati++++=the
falling ^jj+atrb++xvbg+=falling
tears ^nns++++=tears
of ^in++++=of
countless ^jj+atrb+++=countless
generations ^nns+nom+++=generations
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
clung ^vprf+++xvbnx+=clung
to ^in++++=to
them ^pp3o+pp3+++=them
in ^in++++=in
vain ^jj+atrb+++=vain
endeavour ^nn++++=endeavour
to ^in++++=to
arrest ^nn++++=arrest
my ^pp$+pp1+++=my
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
storm ^nn++++=storm
has ^vbz+hvz+aux++=has
ceased ^vprf+++xvbnx+=ceased,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
its ^pp$+it+++=its
roar ^nn++++=roar
has ^vbz+hvz+aux++=has
calmed ^vprf+++xvbnx+=calmed
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
lullaby ^nn++++=lullaby,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bow ^nn++++=bow
my ^pp$+pp1+++=my
head ^nn++++=head:
: ^zz++++=EXTRAWORD
the ^ati++++=the
hurricane ^nn++++=hurricane,
, ^zz++++=EXTRAWORD
raging ^jj+++xvbg+=raging
in ^in++++=in
fury ^nn++++=fury
but ^cc++++=but
a ^at++++=a
moment ^nn++++=moment
earlier ^jjr++++=earlier
dies ^vbz++++=dies
instantly ^rb+tm+++=instantly.
. ^zz++++=EXTRAWORD
No ^at++++=No
longer ^rbr++++=longer
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it
live ^jj++++=live,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
neither ^dt++neg++=neither
do ^vb+do+vrb++=do
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
the ^ati++++=the
navies ^nns+++??+=navies
that ^tht+rel+subj++=that
lately ^rb+tm+++=lately
sailed ^vbd+++xvbn+=sailed
upon ^in++++=upon
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
' ^zz++++='Mid
mid ^jjb++++=EXTRAWORD
all ^abn++++=all
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
and ^cc++++=and
known ^jj+++xvbn+=known,
, ^zz++++=EXTRAWORD
peoples ^nns++++=peoples
and ^cc++++=and
thrones ^nns+++??+=thrones,
, ^zz++++=EXTRAWORD
loves ^vbz++++=loves,
, ^zz++++=EXTRAWORD
glories ^nns++++=glories,
, ^zz++++=EXTRAWORD
sorrows ^nns++++=sorrows,
, ^zz++++=EXTRAWORD
virtues ^nns++++=virtues
what ^wdt+who+whq++=what
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
ever ^rb++++=ever
loved ^vbd+++xvbn+=loved?
? ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
except ^in++++=except
the ^ati++++=the
mantling ^nn+nom+++=mantling
shroud ^nn++++=shroud
that ^tht+rel+obj++=that
covers ^nns++++=covers
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
horse ^nn++++=horse!
! ^zz++++=EXTRAWORD
ah ^uh++++=ah,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
