Eight ^cd++++=Eight
years ^nns++++=years
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
friend ^nn++++=friend
off ^in+pl+++=off
at ^rb++++=at
the ^ati++++=the
North ^nr+pl+++=North
Wall ^nn++++=Wall
and ^cc++++=and
wished ^vbd+vprv++xvbn+=wished
him ^pp3o+pp3+++=him
God ^np++++=God-speed.
- ^zz++++=EXTRAWORD
speed ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gallaher ^np+nom++??+=Gallaher
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
tell ^vb++++=tell
that ^tht+vcmp+++=that
at ^rb++++=at
once ^rb"+tm+++=once
by ^in++++=by
his ^pp$+pp3+++=his
travelled ^vbd+++xvbn+=travelled
air ^nn++++=air,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
well ^rb++++=well-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
tweed ^nn++++=tweed
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fearless ^jj+atrb+++=fearless
accent ^nn++++=accent.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
fellows ^nns++++=fellows
had ^vb+hv+vrb++=had
talents ^nns++++=talents
like ^in++++=like
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fewer ^ap++++=fewer
still ^rb++++=still
could ^md+pos+++=could
remain ^vb++++=remain
unspoiled ^jj++++=unspoiled
by ^in++++=by
such ^abl++++=such
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Gallaher ^np+nom+++=Gallaher's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
right ^jj+atrb+++=right
place ^nn++++=place
and ^cc++++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
deserved ^vprf+++xvbnx+=deserved
to ^to+vcmp+++=to
win ^vbi++++=win.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
something ^pn++++=something
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
friend ^nn++++=friend
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts
ever ^rb++++=ever
since ^cs+sub+++=since
lunch ^nn++++=lunch-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
of ^in++++=of
his ^pp$+pp3+++=his
meeting ^nvbg+++xvbg+=meeting
with ^in++++=with
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
of ^in++++=of
Gallaher ^np+nom+++=Gallaher's
's ^$++++=EXTRAWORD
invitation ^nn+nom+++=invitation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city
London ^np++++=London
where ^wrb+who+++=where
Gallaher ^np+nom++??+=Gallaher
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
but ^cc++++=but
slightly ^rb+down+++=slightly
under ^in++++=under
the ^ati++++=the
average ^jj+atrb+++=average
stature ^nn++++=stature,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
one ^cd1++++=one
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
white ^jj+pred+++=white
and ^cc+phrs+++=and
small ^jj++++=small,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
frame ^nn++++=frame
was ^vbd+bedz+vrb++=was
fragile ^jj+pred+++=fragile,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet
and ^cc++++=and
his ^pp$+pp3+++=his
manners ^nns+nom+++=manners
were ^vbd+bed+aux++=were
refined ^vpsv++agls+xvbnx+=refined.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
care ^nn++++=care
of ^in++++=of
his ^pp$+pp3+++=his
fair ^jj+atrb+++=fair
silken ^jj+atrb+++=silken
hair ^nn++++=hair
and ^cc++++=and
moustache ^nn++++=moustache,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
