If ^cs+cnd+++=If
a ^at++++=a
fellow ^jjb++++=fellow
has ^vbz+hvz+vrb++=has
lots ^nns++++=lots
of ^in++++=of
money ^nn++++=money
and ^cc++++=and
lots ^nns++++=lots
of ^in++++=of
time ^nn++++=time
and ^cc++++=and
lots ^nns++++=lots
of ^in++++=of
curiosity ^nn+nom+++=curiosity
about ^in++++=about
other ^ap++++=other
fellows ^nns++++=fellows'
' ^zz++++=EXTRAWORD
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
astonishing ^jj+pred+++=astonishing,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
strange ^jj+atrb+++=strange
affairs ^nns++++=affairs
he ^pp3a+pp3+++=he
can ^md+pos+++=can
get ^vb++++=get
mixed ^jj+++xvbn+=mixed
up ^rp++++=up
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
money ^nn++++=money
and ^cc++++=and
curiosity ^nn+nom+++=curiosity
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name's
's ^$++++=EXTRAWORD
Pepper ^nn++++=Pepper--Reggie
-- ^--+clp+++=EXTRAWORD
reggie ^nn+++??+=EXTRAWORD
Pepper ^nn++++=Pepper.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle
was ^vbd+bedz+vrb++=was
the ^ati++++=the
colliery ^npl+nom+++=colliery-owner
- ^zz++++=EXTRAWORD
owner ^nn++++=EXTRAWORD
chappie ^np++++=chappie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
me ^pp1o+pp1+++=me
the ^ati++++=the
dickens ^np++++=dickens
of ^in++++=of
a ^at++++=a
pile ^nn++++=pile.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
ever ^rb++++=ever
since ^cs+sub+++=since
the ^ati++++=the
lawyer ^nn++++=lawyer
slipped ^vbd+++xvbn+=slipped
the ^ati++++=the
stuff ^nn++++=stuff
into ^in++++=into
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
whispering ^jj+++xvbg+=whispering
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
yours ^pp$$++++=yours!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
life ^nn++++=life
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
one ^cd1++++=one
thing ^nn++++=thing
after ^in++++=after
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dashed ^jj+atrb++xvbn+=dashed
rummy ^nn+++??+=rummy
case ^nn++++=case
of ^in++++=of
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
Archie ^np++++=Archie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
first ^rb++++=first
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
old ^jj+atrb+++=old
Archie ^np++++=Archie
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
studying ^vbg+++xvbgx+=studying
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
back ^jjb++++=back
to ^in++++=to
London ^np++++=London
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
me ^pp1o+pp1+++=me
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
celebrated ^vbd+++xvbn+=celebrated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
liked ^xvbn+++xvbn+=liked
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
listening ^vwbg+++xvbg+=listening
to ^in++++=to
his ^pp$+pp3+++=his
theories ^nns++++=theories
of ^in++++=of
Art ^nn++++=Art.
. ^zz++++=EXTRAWORD
For ^in++++=For
Archie ^np++++=Archie,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
artist ^nn++++=artist
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
fellows ^nns++++=fellows
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
about ^in++++=about
who ^whp+rel+pied++=who
are ^vb+ber+vrb++=are
several ^ap++++=several
years ^nns++++=years
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paint ^nn++++=paint
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing
that ^tht+rel+obj++=that
people ^nns++++=people
will ^md+prd+++=will
be ^vb+be+aux++=be
educated ^vpsv++agls+xvbnx+=educated
up ^in+cmpx+++=up
to ^in"++++=to
by ^in++++=by
about ^in++++=about
1999 ^cd+date+++=1999
or ^cc++++=or
thereabouts ^rb++++=thereabouts.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
the ^ati++++=the
club ^nn++++=club
watching ^vwbg+++xvbg+=watching
the ^ati++++=the
traffic ^nn++++=traffic
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
one ^cd1++++=one
way ^nn++++=way
and ^cc++++=and
going ^vbg+++xvbg+=going
down ^in++++=down
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking
nothing ^pn++++=nothing
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
in ^in++++=in
blew ^vbd+++xvbn+=blew
the ^ati++++=the
old ^jj+atrb+++=old
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
rather ^rb++++=rather
worried ^jj+++xvbn+=worried.
. ^zz++++=EXTRAWORD
" ^zz++++="Reggie,
reggie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
your ^pp$+pp2+++=your
advice ^nn++++=advice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="State
state ^nn++++=EXTRAWORD
your ^pp$+pp2+++=your
point ^nn++++=point,
, ^zz++++=EXTRAWORD
old ^jj++++=old
top ^jjb++++=top."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
this--i ^nn+++??+=this--I'm
'm ^vb+bem+aux++0=EXTRAWORD
engaged ^vpsv++agls+xvbnx+=engaged
to ^to++++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
scout ^nn++++=scout,
, ^zz++++=EXTRAWORD
a ^at++++=a
million ^cd++++=million
con ^np++++=con----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks
very ^ql+amp+++=very
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
listen ^vb++++=listen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
trouble ^nn++++=trouble?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
like ^in++++=like
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
kind ^rb++++=kind
of ^rb"++++=of
rapt ^jj+atrb+++=rapt
expression ^nn++++=expression
came ^vbd+++xvbn+=came
over ^in++++=over
