They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
all ^abn++++=all
known ^jj+++xvbn+=known
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
shiftless ^jj+atrb+++=shiftless,
, ^zz++++=EXTRAWORD
worthless ^jj+atrb+++=worthless
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
first ^od++++=first
entered ^xvbn+++xvbn+=entered
Redwood ^np+++??+=Redwood
Camp ^nn++++=Camp,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
his ^pp$+pp3+++=his
entire ^jjb+atrb+++=entire
effects ^nns++++=effects
in ^in++++=in
a ^at++++=a
red ^jj+atrb+++=red
handkerchief ^nn++++=handkerchief
on ^in++++=on
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
long ^jj++++=long-handled
- ^zz++++=EXTRAWORD
handled ^vbd+++xvbn+=EXTRAWORD
shovel ^nn++++=shovel,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
lazily ^rb++++=lazily
drifted ^vbd+++xvbn+=drifted
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it
on ^in++++=on
a ^at++++=a
plank ^nn++++=plank
in ^in++++=in
the ^ati++++=the
terrible ^jj+atrb+++=terrible
inundation ^nn+nom+++=inundation
of ^in++++=of
' ^zz++++='56,
56 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
never ^rb++++=never
expected ^vbd+vprv+tht0+xvbn+=expected
anything ^pn++++=anything
better ^jjr++++=better
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
community ^nn+nom+++=community
of ^in++++=of
strong ^jj+atrb+++=strong
men ^nns++++=men
with ^in++++=with
sullen ^jj+atrb+++=sullen
virtues ^nns++++=virtues
and ^cc++++=and
charmingly ^rb++++=charmingly
fascinating ^jj+atrb+++=fascinating
vices ^nns++++=vices,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
tolerated ^vpsv++agls+xvbnx+=tolerated
as ^ql++++=as
possessing ^jj+++xvbg+=possessing
neither ^dt++neg++=neither--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
even ^rb++++=even
rising ^vb+++xvbg+=rising
by ^in++++=by
any ^dti++++=any
dominant ^jj+atrb+++=dominant
human ^jj+atrb+++=human
weakness ^nns+nom+++=weakness
or ^cc++++=or
ludicrous ^jj+atrb+++=ludicrous
quality ^nn+nom+++=quality
to ^in++++=to
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
a ^at++++=a
butt ^nn++++=butt.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
dramatis ^nns+++??+=dramatis
personae ^nn+++??+=personae
of ^in++++=of
Redwood ^np+++??+=Redwood
Camp ^nn++++=Camp
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
simple ^jj++++=simple
" ^zz++++="super"--who
super" ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
who ^whp+who+whq++=EXTRAWORD
had ^vb+hv+aux++=had
only ^rb+down+++=only
passive ^jj+atrb+++=passive,
, ^zz++++=EXTRAWORD
speechless ^jj+atrb+++=speechless
roles ^nns++++=roles
in ^in++++=in
those ^dt+dem+++=those
fierce ^jj+atrb+++=fierce
dramas ^nns++++=dramas
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
sometimes ^rb++splt++=sometimes
unrolled ^vpsv++agls+xvbnx+=unrolled
beneath ^rb++++=beneath
its ^pp$+it+++=its
green ^jj++++=green-curtained
- ^zz++++=EXTRAWORD
curtained ^jj+atrb++xvbn+=EXTRAWORD
pines ^nns++++=pines.
. ^zz++++=EXTRAWORD
Nameless ^jj++++=Nameless
and ^cc+phrs+++=and
penniless ^jj++++=penniless,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
