During ^in++++=During
one ^cd1++++=one
spring ^nn++++=spring
of ^in++++=of
the ^ati++++=the
early ^jj++++=early
seventies ^cds++++=seventies
Billy ^np++++=Billy
Knapp ^np+++??+=Knapp
ran ^vbd+++xvbn+=ran
a ^at++++=a
species ^nn++++=species
of ^in++++=of
road ^nn++++=road-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
and ^cc++++=and
hotel ^npl++++=hotel
at ^rb++++=at
the ^ati++++=the
crossing ^jj+++xvbg+=crossing
of ^in++++=of
the ^ati++++=the
Deadwood ^np+++??+=Deadwood
and ^cc++++=and
Big ^jj+atrb+++=Big
Horn ^nn++++=Horn
trails ^nns++++=trails
through ^in++++=through
Custer ^np+++??+=Custer
Valley ^nn++++=Valley.
. ^zz++++=EXTRAWORD
Travellers ^nns+nom+++=Travellers
changing ^vwbg+++xvbg+=changing
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
frequently ^rb++++=frequently
stopped ^vbd+++xvbn+=stopped
there ^rn+pl+++=there
over ^rp++++=over
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sold ^vbd+++xvbnx+=sold
accommodations ^nns+nom+++=accommodations
for ^in++++=for
man ^nn++++=man
and ^cc++++=and
beast ^nn++++=beast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
former ^ap++++=former
comprising ^jj+atrb++xvbg+=comprising
plenty ^nn++++=plenty
of ^in++++=of
whiskey ^nn+++??+=whiskey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
plenty ^nn++++=plenty
of ^in++++=of
hay ^nn++++=hay.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt++++=best
anyone ^pn++++=anyone
could ^md+pos+++=could
say ^vb+vpub+++=say
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hotel ^nn++++=hotel
was ^vbd+bedz+vrb++=was
of ^in++++=of
logs ^nns++++=logs,
, ^zz++++=EXTRAWORD
two ^cd++++=two-storied,
- ^zz++++=EXTRAWORD
storied ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
partitions ^nns+nom+++=partitions
of ^in++++=of
sheeting ^nn++++=sheeting
to ^to++++=to
insure ^vbi+vpub+++=insure
a ^at++++=a
certain ^jj+atrb+++=certain
privacy ^nn+nom+++=privacy
of ^in++++=of
sight ^nn++++=sight
if ^cs+cnd+++=if
not ^xnot++not++=not
of ^in++++=of
sound ^nn++++=sound;
; ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
three ^cd++++=three
beds ^nns++++=beds
and ^cc++++=and
a ^at++++=a
number ^nn++++=number
of ^in++++=of
bunks ^nns++++=bunks;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
boasted ^vpsv++agls+xvbn+=boasted
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
cook ^nn++++=cook--one
-- ^--+clp+++=EXTRAWORD
one ^pn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
in ^in++++=in
the ^ati++++=the
Hills ^nns++++=Hills.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
did ^vbd+dod+aux++=did
not ^xnot++not++=not
run ^vb+++xvbn+=run
it ^pp3+it+++=it
long ^jj++++=long.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
restless ^jj++++=restless.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
time ^nn++++=time
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
interested ^jj+pred+++=interested
and ^cc+phrs+++=and
satisfied ^jj+++xvbn+=satisfied.
. ^zz++++=EXTRAWORD
The ^ati++++=The
personnel ^nns++++=personnel
of ^in++++=of
the ^ati++++=the
establishment ^nn+nom+++=establishment
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
Billy ^np++++=Billy
and ^cc++++=and
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
already ^rb++++=already
mentioned ^vbd+vpub++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
ancient ^jj+atrb+++=ancient
Pistol ^nn++++=Pistol
of ^in++++=of
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Charley ^np++++=Charley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
wore ^vbd+++xvbn+=wore
many ^ap++++=many
firearms ^nns++++=firearms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
to ^to+ncmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Billy ^np++++=Billy
expressed ^vbd+vpub++xvbn+=expressed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="made
made ^vprf+++xvbn+=EXTRAWORD
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
in ^in++++=in
the ^ati++++=the
West ^np+pl+++=West
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
functions ^nns+nom+++=functions
were ^vbd+bed+vrb++=were
those ^dt+dem+++=those
of ^in++++=of
general ^jj+atrb+++=general
factotum ^nn+++??+=factotum.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
Billy ^np++++=Billy
sat ^vbd+++xvbn+=sat
chair ^nn++++=chair-tilted
- ^zz++++=EXTRAWORD
tilted ^xvbn+++xvbn+=EXTRAWORD
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
hotel ^npl++++=hotel
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
stage ^nn++++=stage.
. ^zz++++=EXTRAWORD
By ^in++++=By
and ^cc++++=and
by ^in++++=by
it ^pp3+it+++=it
drew ^vbd+++xvbn+=drew
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
hobbled ^vbd+++xvbn+=hobbled
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
buckets ^nns+++??+=buckets
of ^in++++=of
water ^nn++++=water
for ^in++++=for
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
flung ^vbd+++xvbn+=flung
the ^ati++++=the
reins ^nns++++=reins
from ^in++++=from
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
lordly ^jj+atrb+++=lordly
insolence ^nn+nom+++=insolence
of ^in++++=of
his ^pp$+pp3+++=his
privileged ^jj+atrb+++=privileged
class ^nn++++=class,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swaggered ^vpsv++agls+xvbn+=swaggered
to ^in++++=to
the ^ati++++=the
bar ^nn++++=bar-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
followed ^vbd+vprv++xvbn+=followed
to ^to++++=to
serve ^vbi++++=serve
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Luck,"
luck ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crooked ^nn++++=crooked
his ^pp$+pp3+++=his
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
" ^zz++++="Anything
anything ^pn++++=EXTRAWORD
new ^jj++++=new?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
queried ^vbd+++xvbn+=queried
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="Nope."
nope ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Held
held ^vbd+vprv++xvbn+=EXTRAWORD
up ^rp++++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nope.
nope ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
Hank ^np++++=Hank's
's ^vbz+bez+vrb++0=EXTRAWORD
over ^in++++=over
in ^in++++=in
th ^zz++++=th'
' ^zz++++=EXTRAWORD
limestone ^nn++++=limestone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
exhausted ^vprf+++xvbn+=exhausted
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
men ^nns++++=men
puffed ^vbd+++xvbn+=puffed
silently ^rb++++=silently
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
at ^in++++=at
their ^pp$+pp3+++=their
pipes ^nns++++=pipes.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
instant ^nn+nom+++=instant
the ^ati++++=the
driver ^nn++++=driver
turned ^vbd+++xvbn+=turned
to ^to++++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
you ^pp2+pp2+++=you
a ^at++++=a
tenderfoot ^nn+++??+=tenderfoot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
casually ^rb++++=casually;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckon ^vb+vprv+tht0++=reckon
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
outside ^jjb++++=outside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Guess
guess ^vb++++=EXTRAWORD
I ^pp1a+pp1+++=I
ambles ^nns+++??+=ambles
forth ^np++++=forth
and ^cc++++=and
sees ^vbz+vprv+++=sees
what ^wdt+who+whcl++=what
fer ^&fw++++=fer
a ^at++++=a
tenderfoot ^nn+++??+=tenderfoot
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
hastening ^vbg+++xvbg+=hastening
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tenderfoot ^nn+++??+=tenderfoot
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
on ^in++++=on
a ^at++++=a
small ^jj+atrb+++=small
trunk ^nn++++=trunk
just ^rb+emph+++=just
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
held ^vbd+vprv+tht0+xvbnx+=held
his ^pp$+pp3+++=his
hat ^nn++++=hat
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
his ^pp$+pp3+++=his
dome ^nn++++=dome-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
bald ^jj+atrb+++=bald
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
dome ^nn++++=dome
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
pink ^jj++++=pink-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
below ^rb++++=below
that ^dt+dem+++=that
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
sloping ^vbg+++xvbg+=sloping
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
a ^at++++=a
flat ^jj+atrb+++=flat
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bandy ^nn+++??+=bandy
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
light ^nn++++=light
check ^vb+vprv+++=check
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
flannel ^nn++++=flannel
shirt ^nn++++=shirt
whose ^whp+rel+obj++=whose
collar ^nn++++=collar
was ^vbd+bedz+vrb++=was
much ^ap++++=much
too ^ql++++=too
large ^jj++++=large
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
took ^vbd+++xvbn+=took
this ^dt+dem+++=this
all ^abn++++=all
in ^in++++=in
while ^cs+sub+++=while
passing ^vbg+++xvbg+=passing.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
driver ^nn++++=driver
climbed ^vbd+++xvbn+=climbed
to ^in++++=to
the ^ati++++=the
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hotel ^nn++++=hotel-keeper
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
commented ^vbd+vpub++xvbn+=commented.
. ^zz++++=EXTRAWORD
" ^zz++++="Say,
say ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hen ^nn++++=Hen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
stuff ^vb++++=stuff
it ^pp3+it+++=it
or ^cc++++=or
put ^vb+++xvbn+=put
it ^pp3+it+++=it
under ^in++++=under
a ^at++++=a
glass ^nn++++=glass
case ^nn++++=case?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
