During ^in++++=During
the ^ati++++=the
minority ^nn+nom+++=minority
of ^in++++=of
Louis ^np++++=Louis
Xv ^np+++??+=XV.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Duke ^nn++++=Duke
of ^in++++=of
Orleans ^nns+nom++??+=Orleans
was ^vbd+bedz+vrb++=was
Regent ^npt++++=Regent
of ^in++++=of
France ^np++++=France,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
Flemish ^jj+atrb+++=Flemish
nobleman ^nn+nom+++=nobleman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Count ^nn++++=Count
Antoine ^np+++??+=Antoine
Joseph ^np++++=Joseph
Van ^&fw++++=Van
Horn ^nn++++=Horn,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
his ^pp$+pp3+++=his
sudden ^jj+atrb+++=sudden
appearance ^nn+nom+++=appearance
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
his ^pp$+pp3+++=his
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
conduct ^vb++++=conduct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
disasters ^nns+nom+++=disasters
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
involved ^vbd+++xvbn+=involved,
, ^zz++++=EXTRAWORD
created ^j+++xvbn+=created
a ^at++++=a
great ^jj+atrb+++=great
sensation ^nn+nom+++=sensation
in ^in++++=in
the ^ati++++=the
high ^jj+atrb+++=high
circles ^nns++++=circles
of ^in++++=of
the ^ati++++=the
proud ^jj+atrb+++=proud
aristocracy ^nn+nom+++=aristocracy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
about ^in++++=about
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
finely ^rb++++=finely
formed ^jj+++xvbn+=formed,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
romantic ^jj+atrb+++=romantic
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
of ^in++++=of
remarkable ^jj+atrb+++=remarkable
brilliancy ^nn+++??+=brilliancy
and ^cc++++=and
wildness ^nns+nom+++=wildness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
ancient ^jj++++=ancient
and ^cc++++=and
highly ^rb+amp+++=highly-esteemed
- ^zz++++=EXTRAWORD
esteemed ^vbd+++xvbn+=EXTRAWORD
families ^nns++++=families
of ^in++++=of
European ^jj+atrb+++=European
nobility ^nn+nom+++=nobility,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
of ^in++++=of
the ^ati++++=the
