Mme ^npt++++=Mme.
. ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
Farival ^np+++??+=Farival
never ^rb++++=never
announced ^vbd+vpub+tht0+xvbn+=announced
her ^pp$+pp3+++=her
coming ^vbg+++xvbg+=coming;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
good ^jj+atrb+++=good
nuns ^nns++++=nuns
knew ^vbd+vprv++xvbn+=knew
very ^ql+amp+++=very
well ^rb++++=well
when ^wrb+who+++=when
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
scent ^nn++++=scent
of ^in++++=of
the ^ati++++=the
lilac ^jj+atrb+++=lilac
blossoms ^nns+++??+=blossoms
began ^vbd+++xvbn+=began
to ^to++++=to
permeate ^nn+nom+++=permeate
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
would ^md+prd+++=would
turn ^vb++++=turn
many ^ap++++=many
times ^nns++++=times
during ^in++++=during
the ^ati++++=the
day ^nn++++=day
to ^in++++=to
the ^ati++++=the
window ^nn++++=window;
; ^zz++++=EXTRAWORD
upon ^in++++=upon
her ^pp$+pp3+++=her
face ^nn++++=face
the ^ati++++=the
happy ^jj+atrb+++=happy,
, ^zz++++=EXTRAWORD
beatific ^jj+atrb+++=beatific
expression ^nn++++=expression
with ^in++++=with
which ^whp+rel+pied++=which
pure ^jj+atrb+++=pure
and ^cc+phrs+++=and
simple ^jj+atrb+++=simple
souls ^nns++++=souls
watch ^nn++++=watch
for ^in++++=for
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
those ^dt+dem+++=those
they ^pp3a+pp3+++=they
love ^vb++++=love.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Sister ^nn++++=Sister
Marceline ^np+++??+=Marceline
who ^whp+rel+obj++=who
first ^od++++=first
espied ^vbd+++xvbn+=espied
her ^pp$+pp3+++=her
