By ^in++++=BY
The ^ati++++=THE
Author ^nn++++=AUTHOR
Of ^in++++=OF
The ^ati++++=THE
Sketch ^nn++++=SKETCH-BOOK.
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
cloisters ^nns+nom+++=cloisters
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Benedictine ^np+++??+=Benedictine
convent ^nn++++=convent
of ^in++++=of
San ^np++++=San
Domingo ^np+++??+=Domingo,
, ^zz++++=EXTRAWORD
at ^in++++=at
Silos ^np+++??+=Silos,
, ^zz++++=EXTRAWORD
in ^in++++=in
Castile ^np++++=Castile,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
mouldering ^jj+atrb+++=mouldering
yet ^cc+phrs+++=yet
magnificent ^jj+atrb+++=magnificent
monuments ^nns+nom+++=monuments
of ^in++++=of
the ^ati++++=the
once ^rb+tm+++=once
powerful ^jj+atrb+++=powerful
and ^cc+phrs+++=and
chivalrous ^jj+atrb+++=chivalrous
family ^nn++++=family
of ^in++++=of
Hinojosa ^np+++??+=Hinojosa.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
reclines ^nns+++??+=reclines
the ^ati++++=the
marble ^nn++++=marble
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
knight ^nn++++=knight,
, ^zz++++=EXTRAWORD
in ^in++++=in
complete ^jj+atrb+++=complete
armor ^nn++++=armor,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
hands ^nns++++=hands
pressed ^vbd+++xvbn+=pressed
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
tomb ^nn++++=tomb
is ^vbz+bez+vrb++=is
sculptured ^jj+pred+++=sculptured
in ^in++++=in
relief ^nn++++=relief
a ^at++++=a
band ^nn++++=band
of ^in++++=of
Christian ^jj+atrb+++=Christian
cavaliers ^nns+nom+++=cavaliers,
, ^zz++++=EXTRAWORD
capturing ^vbg+++xvbg+=capturing
a ^at++++=a
cavalcade ^nn+++??+=cavalcade
of ^in++++=of
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
Moors ^nn++++=Moors;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
cavaliers ^nns+nom+++=cavaliers
are ^vb+ber+aux++=are
represented ^vpsv++agls+xvbnx+=represented
kneeling ^vbg+nom++xvbg+=kneeling
before ^in++++=before
an ^at++++=an
altar ^nn++++=altar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
like ^in++++=like
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
neighboring ^jj+atrb+++=neighboring
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
in ^in++++=in
ruins ^nns++++=ruins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sculpture ^nn++++=sculpture
is ^vbz+bez+vrb++=is
nearly ^rb+down+++=nearly
unintelligible ^jj+pred+++=unintelligible,
, ^zz++++=EXTRAWORD
excepting ^in++++=excepting
to ^in++++=to
the ^ati++++=the
keen ^jj+atrb+++=keen
eye ^nn++++=eye
of ^in++++=of
the ^ati++++=the
antiquary ^nn+nom+++=antiquary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
sepulchre ^nn++++=sepulchre,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
still ^rb++splt++=still
preserved ^vpsv++agls+xvbnx+=preserved
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
Spanish ^jj+atrb+++=Spanish
chronicles ^nns++++=chronicles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
to ^in++++=to
the ^ati++++=the
following ^jj+atrb++xvbg+=following
purport ^nn++++=purport.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
In ^in++++=In
old ^jj+atrb+++=old
times ^nns++++=times,
, ^zz++++=EXTRAWORD
several ^ap++++=several
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
noble ^jj+atrb+++=noble
Castilian ^nn++++=Castilian
cavalier ^np+nom+++=cavalier,
, ^zz++++=EXTRAWORD
