There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
Delaney ^np++++=Delaney's
's ^$++++=EXTRAWORD
red ^jj++++=red-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
trio ^nn++++=trio--Red
-- ^--+clp+++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
Gilbat ^np+++??+=Gilbat,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
fielder ^jjr++++=fielder;
; ^zz++++=EXTRAWORD
Reddy ^np+++??+=Reddy
Clammer ^np+++??+=Clammer,
, ^zz++++=EXTRAWORD
right ^jj++++=right
fielder ^jjr++++=fielder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Reddie ^np+++??+=Reddie
Ray ^np++++=Ray,
, ^zz++++=EXTRAWORD
center ^jjr++++=center
fielder ^jjr++++=fielder,
, ^zz++++=EXTRAWORD
composing ^vbg+++xvbg+=composing
the ^ati++++=the
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
outfield ^nn+++??+=outfield
ever ^rb++++=ever
developed ^vbd+++xvbn+=developed
in ^in++++=in
minor ^jj+atrb+++=minor
league ^nn++++=league
baseball ^nn++++=baseball.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Delaney ^np++++=Delaney's
's ^$++++=EXTRAWORD
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
his ^pp$+pp3+++=his
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
Red ^jj+atrb+++=Red
Gilbat ^np+++??+=Gilbat
was ^vbd+bedz+vrb++=was
nutty ^nn+++??+=nutty--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
his ^pp$+pp3+++=his
batting ^nn++++=batting
average ^nn+nom+++=average
was ^vbd+bedz+vrb++=was
. ^zz++++=.371.
371 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
student ^nn++++=student
of ^in++++=of
baseball ^nn++++=baseball
could ^md+pos+++=could
weigh ^vb++++=weigh
these ^dt+dem+++=these
two ^cd++++=two
facts ^nns++++=facts
against ^in++++=against
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
understand ^vb+vprv+++=understand
something ^pn++++=something
of ^in++++=of
Delaney ^np++++=Delaney's
's ^$++++=EXTRAWORD
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
camp ^vb++++=camp
on ^in++++=on
Red ^jj+atrb+++=Red
Gilbat ^np++++=Gilbat's
's ^$++++=EXTRAWORD
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
was ^vbd+bedz+vrb++=was
a ^at++++=a
jack-o ^nn+++??+=jack-o'-lantern,
'-lantern, ^nn+++??+=EXTRAWORD
a ^at++++=a
will-o ^nn+++??+=will-o'-the-wisp,
'-the-wisp, ^nn+++??+=EXTRAWORD
a ^at++++=a
weird ^jj++++=weird,
, ^zz++++=EXTRAWORD
longlegged ^j+++xvbn+=longlegged,
, ^zz++++=EXTRAWORD
long ^jj++++=long-armed,
- ^zz++++=EXTRAWORD
armed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
red ^jj++++=red-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
illusive ^nn++++=illusive
phantom ^nn++++=phantom.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
gong ^nn++++=gong
rang ^vbd+++xvbn+=rang
at ^in++++=at
the ^ati++++=the
ball ^nn++++=ball
grounds ^nns++++=grounds
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
ten ^cd++++=ten
chances ^nns+nom+++=chances
to ^to+ncmp+++=to
one ^cd1++++=one
that ^dt+dem+++=that
Red ^jj++++=Red
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
present ^vb++++=present.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
