Into ^in++++=Into
the ^ati++++=the
granite ^nn++++=granite
city ^nn++++=city
of ^in++++=of
Teloth ^np+++??+=Teloth
wandered ^vbd+++xvbn+=wandered
the ^ati++++=the
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
vine ^nn++++=vine-crowned,
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
glistening ^jj++++=glistening
with ^in++++=with
myrrh ^nn+++??+=myrrh
and ^cc++++=and
his ^pp$+pp3+++=his
purple ^jj+atrb+++=purple
robe ^nn++++=robe
torn ^vbd+++xvbn+=torn
with ^in++++=with
briers ^nn++++=briers
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain
Sidrak ^np+++??+=Sidrak
that ^tht+rel+subj++=that
lies ^vbz++++=lies
across ^in+pl+++=across
the ^ati++++=the
antique ^jj+atrb+++=antique
bridge ^nn++++=bridge
of ^in++++=of
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
of ^in++++=of
Teloth ^np+++??+=Teloth
are ^vb+ber+vrb++=are
dark ^jj+pred+++=dark
and ^cc++++=and
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwell ^vb++++=dwell
in ^in++++=in
square ^jj+atrb+++=square
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
frowns ^nns+++??+=frowns
they ^pp3a+pp3+++=they
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
stranger ^nn+nom+++=stranger
whence ^wrb+who+++=whence
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
and ^cc+cls+++=and
what ^wdt+who+++=what
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
name ^nn++++=name
and ^cc++++=and
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
youth ^nn++++=youth
answered ^vbd+vpub++xvbn+=answered:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
from ^in+ppvb+++=from
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
a ^at++++=a
far ^rb+pl+++=far
city ^nn++++=city
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
recall ^vb+vprv+++=recall
only ^rb+down+++=only
dimly ^rb++++=dimly
but ^cc++++=but
seek ^vb++++=seek
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
singer ^nn++++=singer
of ^in++++=of
songs ^nns++++=songs
