Extract ^nn++++=Extract
from ^in++++=from
the ^ati++++=the
Memoirs ^nns++++=Memoirs
of ^in++++=of
Gabriel ^np++++=Gabriel
Foot ^nn++++=Foot,
, ^zz++++=EXTRAWORD
Highwayman ^nn+nom+++=Highwayman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
say ^vb+vpub+tht0++=say
this ^dt+pdem+++=this--speaking
-- ^--+clp+++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
as ^ql++++=as
accurately ^rb++++=accurately
as ^in++++=as
a ^at++++=a
man ^nn++++=man
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
afterwards ^rb+tm+++=afterwards--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
when ^wrb+who+++=when
first ^rb++++=first
I ^pp1a+pp1+++=I
spied ^vprf+++xvbn+=spied
the ^ati++++=the
house ^nn++++=house
it ^pp3+it+++=it
put ^vbd+++xvbn+=put
no ^at++++=no
desire ^nn++++=desire
in ^in++++=in
me ^pp1o+pp1+++=me
but ^cc++++=but
just ^rb+emph+++=just
to ^to++++=to
give ^vbi++++=give
thanks ^rb+dspt+++=thanks.
. ^zz++++=EXTRAWORD
For ^in++++=For
conceive ^vb+vprv+++=conceive
my ^pp$+pp1+++=my
case ^nn++++=case.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
mid ^jjb++++=mid-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ever ^rb++++=ever
since ^cs+sub+++=since
dusk ^nn++++=dusk
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tramping ^vbg+++xvbgx+=tramping
the ^ati++++=the
naked ^jj+atrb+++=naked
moors ^nn++++=moors,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
teeth ^nns++++=teeth
of ^in++++=of
as ^in++++=as
vicious ^jj++++=vicious
a ^at++++=a
nor ^cc++neg++=nor'-wester
'-wester ^nn+nom+++0=EXTRAWORD
as ^cs+sub+++=as
ever ^rb++++=ever
drenched ^vbd+++xvbn+=drenched
a ^at++++=a
man ^nn++++=man
to ^in++++=to
the ^ati++++=the
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
blew ^vbd+++xvbn+=blew
the ^ati++++=the
cold ^jj+atrb+++=cold
home ^nr++++=home
to ^in++++=to
his ^pp$+pp3+++=his
marrow ^nn+++??+=marrow.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
clothes ^nns++++=clothes
were ^vbd+bed+vrb++=were
sodden ^jj+pred+++=sodden;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
coat ^nn++++=coat-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
flapped ^vbd+++xvbn+=flapped
