They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
round ^rb++++=round
the ^ati++++=the
fire ^nn++++=fire
after ^in++++=after
dinner ^nn++++=dinner
not ^xnot++not++=not
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
fire ^nn++++=fire
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
fires ^nns++++=fires
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
a ^rb++++=a
little ^rb"++++=little
room ^nn++++=room
all ^rb++++=all
to ^in++++=to
itself ^ppl++++=itself
with ^in++++=with
seats ^nns++++=seats
at ^rb++++=at
each ^dt++++=each
side ^nn++++=side
of ^in++++=of
it ^pp3+it+++=it
to ^to++++=to
hold ^vbi+vprv+++=hold
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
people ^nns++++=people
or ^cc++++=or
three ^cd++++=three.
. ^zz++++=EXTRAWORD
The ^ati++++=The
big ^jj+atrb+++=big
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
was ^vbd+bedz+aux++=was
paneled ^vpsv++agls+xvbnx+=paneled
with ^in++++=with
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
was ^vbd+bedz+vrb++=was
a ^at++++=a
handsome ^jj+atrb+++=handsome
dresser ^nn++++=dresser
that ^tht+rel+subj++=that
dated ^vwbn+++xvbn+=dated
back ^jjb++++=back
for ^in++++=for
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
One ^np++++=One's
's ^$++++=EXTRAWORD
imagination ^nn+nom+++=imagination
ran ^vbd+++xvbn+=ran
riot ^nn++++=riot
when ^wrb+who+++=when
one ^cd1++++=one
pictured ^vbd+++xvbn+=pictured
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
must ^md+nec+++=must
have ^vb+hv+aux++=have
laid ^vprf+++xvbnx+=laid
those ^dt+dem+++=those
pewter ^jjr+atrb+++=pewter
plates ^nns++++=plates
on ^in++++=on
the ^ati++++=the
long ^jj++++=long,
, ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow,
, ^zz++++=EXTRAWORD
solid ^jj+atrb+++=solid
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Massive ^jj+atrb+++=Massive
medieval ^jj+atrb+++=medieval
chests ^nns++++=chests
stood ^vbd+++xvbn+=stood
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Arms ^nns++++=Arms
and ^cc++++=and
parts ^nns++++=parts
of ^in++++=of
armor ^nn++++=armor
hung ^vbd+++xvbn+=hung
against ^in++++=against
the ^ati++++=the
panelling ^nn+nom+++=panelling;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
noticed ^vbd+vprv++xvbn+=noticed
few ^ap++++=few
of ^in++++=of
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
light ^nn++++=light
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
save ^in++++=save
what ^wdt+who+++=what
the ^ati++++=the
fire ^nn++++=fire
gave ^vbd+++xvbn+=gave.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Christmas ^np++++=Christmas
Eve ^nn++++=Eve.
. ^zz++++=EXTRAWORD
Games ^nns++++=Games
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
played ^vpsv++agls+xvbnx+=played.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj++++=old
had ^vbd+hvd+aux++=had
vied ^vprf+++xvbnx+=vied
with ^in++++=with
the ^ati++++=the
young ^nn++++=young
at ^in++++=at
snatching ^xvbg+++xvbg+=snatching
raisins ^nns++++=raisins
from ^in++++=from
the ^ati++++=the
burning ^jj+atrb++xvbg+=burning
snapdragon ^nn+++??+=snapdragon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
had ^vb+hv+vrb++=had
long ^rb++++=long
since ^cs+sub+++=since
gone ^vprf+++xvbn+=gone
to ^in++++=to
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
time ^nn++++=time
their ^pp$+pp3+++=their
elders ^nns++++=elders
followed ^vbd+vprv++xvbn+=followed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
lingered ^vbd+++xvbnx+=lingered
round ^rb++++=round
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
taking ^xvbg+++xvbg+=taking
turns ^vbz++++=turns
at ^rb++++=at
telling ^vbg+nom++xvbg+=telling
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
very ^ql+amp+++=very
weird ^jj++++=weird
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told;
; ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
any ^dti++++=any
wish ^nn++++=wish
to ^to+ncmp+++=to
peep ^vb++++=peep
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
or ^cc++++=or
try ^vb++++=try
to ^to+vcmp+++=to
penetrate ^nn+nom+++=penetrate
the ^ati++++=the
darkness ^nns+nom+++=darkness
of ^in++++=of
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
room ^nn++++=room;
; ^zz++++=EXTRAWORD
the ^ati++++=the
omission ^nn++++=omission
caused ^vbd+++xvbn+=caused
a ^at++++=a
sensation ^nn+nom+++=sensation
of ^in++++=of
something ^pn++++=something
wanting ^jj+++xvbg+=wanting.
. ^zz++++=EXTRAWORD
From ^in++++=From
each ^dt++++=each
one ^cd1++++=one
there ^rn+pl+++=there
this ^dt+dem+++=this
thought ^nn+++xvbn+=thought
went ^vbd+++xvbn+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
a ^at++++=a
sudden ^nn++++=sudden
silence ^nn+nom+++=silence
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
party ^nn++++=party.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
girl ^nn++++=girl
who ^whp+rel+subj++=who
broke ^vbd+++xvbn+=broke
it ^pp3+it+++=it
a ^at++++=a
mere ^jjb+atrb+++=mere
child ^nn++++=child;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
her ^pp$+pp3+++=her
hair ^nn++++=hair
up ^rp++++=up
that ^dt+dem+++=that
night ^nn++++=night
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
give ^vbi++++=give
her ^pp3o+pp3+++=her
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
sit ^vbi++++=sit
up ^rp++++=up
so ^ql+emph+++=so
late ^jj++++=late.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Grady ^np++++=Grady
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
All ^abn++++=All
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned
to ^in++++=to
a ^at++++=a
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep
armchair ^nn++++=armchair
placed ^vwbn+++xvbn+=placed
straight ^jj++++=straight
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
be ^vbi++vrb++=be
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
bald ^jj+atrb+++=bald
head ^nn++++=head
and ^cc++++=and
a ^at++++=a
pointed ^jj+atrb++xvbn+=pointed
beard ^nn++++=beard
like ^in++++=like
the ^ati++++=the
beards ^nns+++??+=beards
that ^tht+rel+obj++=that
sailors ^nns++++=sailors
wear ^nn++++=wear.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
plain ^jj++++=plain
that ^tht+jcmp+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
deeply ^rb++++=deeply
conscious ^jj+pred+++=conscious
of ^in++++=of
the ^ati++++=the
sudden ^jj++++=sudden
turning ^jj+++xvbg+=turning
of ^in++++=of
so ^ql++++=so
much ^ap++++=much
strained ^jj+++xvbn+=strained
yet ^rb++++=yet
forceful ^jj+atrb+++=forceful
thought ^nn+++xvbn+=thought
upon ^in++++=upon
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
restless ^jj+pred+++=restless
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair
as ^ql++++=as
people ^nns++++=people
are ^vb+ber+vrb++=are
in ^in++++=in
a ^at++++=a
room ^nn++++=room
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
overheated ^vpsv++agls+xvbnx+=overheated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blinked ^vbd+++xvbnx+=blinked
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
round ^rb++++=round
the ^ati++++=the
company ^nn++++=company.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lips ^nns++++=lips
twitched ^vbd+++xvbn+=twitched
in ^in++++=in
a ^at++++=a
nervous ^jj+atrb+++=nervous
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
side ^nn++++=side
of ^in++++=of
him ^pp3o+pp3+++=him
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
endeavoring ^vbg+++xvbgx+=endeavoring
to ^to+vcmp+++=to
restrain ^vbi++++=restrain
another ^dt++++=another
side ^nn++++=side
of ^in++++=of
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
feverish ^jj+atrb+++=feverish
desire ^nn++++=desire
to ^to+ncmp+++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
room ^nn++++=room
that ^tht+rel+subj++=that
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
