At ^rb++++=At
the ^ati++++=the
close ^jj++++=close
( ^zz++++=(let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
say ^vb+vpub+++=say)
) ^zz++++=EXTRAWORD
of ^in++++=of
Queen ^npt++++=Queen
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
reign ^nn++++=reign,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy
at ^in++++=at
a ^at++++=a
private ^jj+atrb+++=private
and ^cc+phrs+++=and
preparatory ^jj+atrb+++=preparatory
school ^nn++++=school
for ^in++++=for
young ^jj+atrb+++=young
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
wiseacre ^nn+++??+=wiseacre
of ^in++++=of
a ^at++++=a
master ^nn++++=master
ordering ^vwbg+++xvbg+=ordering
us ^pp1o+pp1+++=us
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
to ^in++++=to
march ^nr++++=march
into ^in++++=into
a ^rb++++=a
little ^rb"++++=little
garden ^nn++++=garden
at ^rb++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thence ^rb++++=thence
to ^to++++=to
proceed ^vbi++++=proceed
one ^pn++++=one
by ^in++++=by
one ^pn++++=one
into ^in++++=into
a ^at++++=a
tool ^nn++++=tool
or ^cc++++=or
hen ^nn++++=hen
house ^nn++++=house
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
tender ^jj++++=tender
little ^ap++++=little
thing ^nn++++=thing
just ^rb+emph+++=just
put ^vbd+++xvbn+=put
into ^in++++=into
short ^jj+atrb+++=short
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
exactly ^rb++++=exactly
say ^vb+vpub+++=say
whether ^cs+who+++=whether
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
for ^in++++=for
tools ^nns++++=tools
or ^cc++++=or
hens ^nns++++=hens),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
house ^nn++++=house
to ^to++++=to
put ^vbi++++=put
our ^pp$+pp1+++=our
hands ^nns++++=hands
into ^in++++=into
a ^at++++=a
sack ^nn++++=sack
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
on ^in++++=on
a ^at++++=a
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
a ^at++++=a
candle ^nn++++=candle
burning ^vwbg+++xvbg+=burning
beside ^in+pl+++=beside
it ^pp3+it+++=it.
