Once ^rb+tm+++=Once
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
never ^rb++++=never
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do
what ^wdt+who+++=what
people ^nns++++=people
asked ^vbd+vsua++xvbn+=asked
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wo ^&fw++++=won't"
n't ^xnot++not++0=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ca ^np++++=can't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
run ^vb+++xvbn+=run
at ^rb++++=at
once ^rb"+tm+++=once
pleasantly ^rb+cnj+++=pleasantly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
obliging ^jj+atrb+++=obliging
children ^nns++++=children
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
her ^pp3o+pp3+++=her
mother ^npt++++=mother
gave ^vbd+++xvbn+=gave
her ^pp3o+pp3+++=her
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
new ^jj+atrb+++=new
shoes ^nns++++=shoes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
a ^at++++=a
fuss ^nn++++=fuss
about ^in++++=about
putting ^xvbg+++xvbg+=putting
them ^pp3o+pp3+++=them
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Kitty ^np++++=Kitty
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
kicking ^vbg+++xvbg+=kicking
on ^in++++=on
the ^ati++++=the
floor, ^nn+++??+=floor,-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
seven ^cd++++=seven-leagued
- ^zz++++=EXTRAWORD
leagued ^jj+atrb++xvbn+=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
like ^in++++=like
Jack ^np++++=Jack
the ^ati++++=the
Giant ^jjb+atrb+++=Giant
Killer ^nn++++=Killer's,
's, ^nn+++??+=EXTRAWORD
then ^rn+tm+++=then
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
run ^vbi++++=run
errands ^nns+++??+=errands
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
keep ^vbi++++=keep
trotting ^nvbg+++xvbg+=trotting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
new ^jj+atrb+++=new
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
stir ^vb++++=stir
a ^at++++=a
step ^nn++++=step."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^ql++++=as
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shoes ^nns++++=shoes
gave ^vbd+++xvbn+=gave
a ^at++++=a
skip ^vb++++=skip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
