Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
editor ^nn++++=editor
of ^in++++=of
a ^at++++=a
magazine ^nn++++=magazine
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
certain ^jj+atrb+++=certain
ideas ^nns++++=ideas
concerning ^in++++=concerning
short ^jj+atrb+++=short
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
wonderful ^jj++++=wonderful,
, ^zz++++=EXTRAWORD
for ^in++++=for
editors ^nns++++=editors
have ^vb+hv+vrb++=have
such ^abl++++=such
ideas ^nns++++=ideas;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
find ^vb+vprv+++=find
a ^at++++=a
short ^jj+atrb+++=short
story ^nn++++=story
which ^whp+rel+subj++=which
corresponds ^vbz++++=corresponds,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
accept ^vb+vprv+tht0++=accept
it ^pp3+it+++=it
with ^in++++=with
joy ^nn++++=joy
and ^cc++++=and
pay ^nn++++=pay
good ^jj+atrb+++=good
sums ^nns++++=sums
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
particular ^jj+atrb+++=particular
editor ^nn++++=editor
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
a ^at++++=a
short ^jj+atrb+++=short
story ^nn++++=story
should ^md+nec+++=should
be ^vb+be+vrb++=be
realistic ^jj+pred+++=realistic.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
have ^vb+hv+vrb++=have
things ^nns++++=things
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
cry ^vbi++++=cry
to ^in++++=to
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
printer ^nn++++=printer's
's ^$++++=EXTRAWORD
devil ^nn++++=devil,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
office ^nn++++=office
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
whichever ^nn+nom+++=whichever
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
handiest ^nn++++=handiest.
. ^zz++++=EXTRAWORD
" ^zz++++="Life
life ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
great ^np++++=great
enough ^qlp++++=enough
to ^to++++=to
say ^vbi+vpub+++=say
things ^nns++++=things
for ^in++++=for
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
without ^in++++=without
having ^xvbg+++xvbg+=having
to ^to++++=to
be ^vbi+vbi+aux++=be
helped ^vpsv++agls+xvbnx+=helped
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
mawkish ^jj+atrb+++=mawkish
sentimentality ^nn+nom+++=sentimentality
of ^in++++=of
an ^at++++=an
idiot ^nn++++=idiot!
! ^zz++++=EXTRAWORD
Permit ^vb++++=Permit
us ^pp1o+pp1+++=us
to ^to++++=to
see ^vbi+vprv+++=see
actual ^jj+atrb+++=actual
people ^nns++++=people,
, ^zz++++=EXTRAWORD
living ^jj+atrb++xvbg+=living
actual ^jj+atrb+++=actual
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
in ^in++++=in
actual ^jj+atrb+++=actual
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
should ^md+nec+++=should
hope ^vb++++=hope
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
common ^jj++++=common-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
enough ^dt++++=enough
to ^to++++=to
draw ^vbi++++=draw
our ^pp$+pp1+++=our
own ^ap++++=own
morals ^nns++++=morals!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
usually ^rb+down+++=usually
made ^vbd+++xvbn+=made
these ^dt+dem+++=these
chaotic ^jj+atrb+++=chaotic
exclamations ^nns+nom+++=exclamations
after ^in++++=after
reading ^nn++++=reading
through ^in++++=through
several ^ap++++=several
pages ^nns++++=pages
of ^in++++=of
very ^ql+amp+++=very
neat ^jj+atrb+++=neat
manuscript ^nn++++=manuscript
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
sentences ^nns+nom+++=sentences
were ^vbd+bed+vrb++=were
long ^rb++++=long
and ^cc++++=and
involved ^vbd+++xvbn+=involved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
polysyllabic ^jj+atrb+++=polysyllabic
adjectives ^nns++++=adjectives
of ^in++++=of
a ^at++++=a
poetic ^jj+atrb+++=poetic
connotation ^nn+nom+++=connotation.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
editor ^nn++++=editor
liked ^vbd+++xvbn+=liked
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
crisp ^jj+atrb+++=crisp
sentences ^nns+nom+++=sentences.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
his ^pp$+pp3+++=his
adjectives ^nns++++=adjectives
served ^vbd+++xvbn+=served
hot ^jj++++=hot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
despised ^vbd+++xvbnx+=despised
poetic ^jj+atrb+++=poetic
connotation ^nn+nom+++=connotation.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
only ^rb+down+++=only
an ^at++++=an
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Brown ^jj+pred+++=Brown.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
writer ^nn++++=writer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
three ^cd++++=three
names ^nns++++=names,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
successive ^jj+atrb+++=successive
