Before ^cs+sub+++=Before
we ^pp1a+pp1+++=we
plunge ^vb++++=plunge
headlong ^jjb++++=headlong
into ^in++++=into
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
at ^rb++++=at
once ^rb"+tm+++=once
confess ^nns+nom+++=confess
to ^in++++=to
a ^at++++=a
fondness ^nns+nom+++=fondness
for ^in++++=for
pantomimes ^nns+++??+=pantomimes--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
a ^at++++=a
gentle ^jj+atrb+++=gentle
sympathy ^nn++++=sympathy
with ^in++++=with
clowns ^nns++++=clowns
and ^cc++++=and
pantaloons ^nns++++=pantaloons--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
an ^at++++=an
unqualified ^jj+atrb+++=unqualified
admiration ^nn+nom+++=admiration
of ^in++++=of
harlequins ^nns+++??+=harlequins
and ^cc++++=and
columbines ^nns+++??+=columbines--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
a ^at++++=a
chaste ^jj+atrb+++=chaste
delight ^nn++++=delight
in ^in++++=in
every ^at++++=every
action ^nn++++=action
of ^in++++=of
their ^pp$+pp3+++=their
brief ^jj+atrb+++=brief
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
varied ^j+++xvbn+=varied
and ^cc++++=and
many ^ap++++=many-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
as ^ql++++=as
those ^dt+dem+++=those
actions ^nns+nom+++=actions
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inconsistent ^jj++++=inconsistent
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
occasionally ^rb++++=occasionally
be ^vb+be+vrb++=be
with ^in++++=with
those ^dt+dem+++=those
rigid ^jj+atrb+++=rigid
and ^cc+phrs+++=and
formal ^jj+atrb+++=formal
rules ^nns++++=rules
of ^in++++=of
propriety ^nn++++=propriety
which ^whp+rel+subj++=which
regulate ^nn+nom+++=regulate
the ^ati++++=the
proceedings ^nns++++=proceedings
of ^in++++=of
meaner ^jjr++++=meaner
and ^cc++++=and
less ^rbr++++=less
comprehensive ^jj+atrb+++=comprehensive
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
revel ^nn++++=revel
in ^in++++=in
pantomimes ^nns+++??+=pantomimes--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
dazzle ^vb++++=dazzle
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
eyes ^nns++++=eyes
with ^in++++=with
tinsel ^nn++++=tinsel
and ^cc++++=and
gold ^nn++++=gold
leaf ^nn++++=leaf;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
present ^vb++++=present
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
the ^ati++++=the
well ^rb++++=well-beloved
- ^zz++++=EXTRAWORD
beloved ^jj+atrb+++=EXTRAWORD
chalked ^jj+atrb++xvbn+=chalked
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
goggle ^vb++++=goggle
eyes ^nns++++=eyes
of ^in++++=of
our ^pp$+pp1+++=our
childhood ^nn+nom+++=childhood;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
like ^in++++=like
Christmas ^np++++=Christmas-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Twelfth ^od++++=Twelfth-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Shrove ^np+++??+=Shrove-Tuesday,
- ^zz++++=EXTRAWORD
tuesday ^nr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
come ^vb++++=come
to ^in++++=to
us ^pp1o+pp1+++=us
but ^cc++++=but
once ^rb+tm+++=once
a ^at++++=a
year; ^nn+++??+=year;--our
-- ^--+clp+++=EXTRAWORD
our ^pp$+pp1+++=EXTRAWORD
attachment ^nn+nom+++=attachment
is ^vbz+bez+aux++=is
founded ^vpsv++agls+xvbnx+=founded
on ^in++++=on
a ^at++++=a
graver ^jjr++++=graver
and ^cc++++=and
a ^at++++=a
very ^ql+amp+++=very
different ^jj+atrb+++=different
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
A ^at++++=A
pantomime ^nn++++=pantomime
is ^vbz+bez+vrb++=is
to ^to++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
a ^at++++=a
mirror ^nn++++=mirror
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^rb++++=so
to ^in++++=to
audiences ^nns+nom+++=audiences
generally ^rb+cnj+++=generally,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
aware ^jj++++=aware
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
this ^dt+dem+++=this
very ^ap+amp+++=very
circumstance ^nn+nom+++=circumstance
is ^vbz+bez+vrb++=is
the ^ati++++=the
secret ^nn++++=secret
cause ^nn++++=cause
of ^in++++=of
their ^pp$+pp3+++=their
amusement ^nn+nom+++=amusement
and ^cc++++=and
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
take ^vb++++=take
a ^at++++=a
slight ^jj+atrb+++=slight
example ^nn++++=example.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scene ^nn++++=scene
is ^vbz+bez+vrb++=is
a ^at++++=a
street ^nn++++=street:
: ^zz++++=EXTRAWORD
an ^at++++=an
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
large ^jj+atrb+++=large
face ^nn++++=face
and ^cc++++=and
strongly ^rb+amp+++=strongly
marked ^jj+atrb++xvbn+=marked
features ^nns++++=features,
, ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
countenance ^nn+nom+++=countenance
beams ^nns++++=beams
with ^in++++=with
a ^at++++=a
sunny ^jj+atrb+++=sunny
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
perpetual ^nn++++=perpetual
dimple ^vb++++=dimple
is ^vbz+bez+vrb++=is
on ^in++++=on
his ^pp$+pp3+++=his
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
evidently ^rb++++=evidently
an ^at++++=an
opulent ^jj+atrb+++=opulent
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
comfortable ^jj++++=comfortable
in ^in++++=in
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
well ^rb++++=well-to-do
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
do ^vb+do+vrb++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unmindful ^jj++++=unmindful
of ^in++++=of
the ^ati++++=the
adornment ^nn+nom+++=adornment
of ^in++++=of
his ^pp$+pp3+++=his
person ^nn++++=person,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
richly ^rb+cnj+++=richly,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
say ^vbi+vpub+++=say
gaudily ^rb+cnj+++=gaudily,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
indulges ^vbz++++=indulges
to ^in++++=to
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
extent ^nn++++=extent
in ^in++++=in
the ^ati++++=the
pleasures ^nns++++=pleasures
of ^in++++=of
the ^ati++++=the
table ^nn++++=table
may ^md+pos+++=may
be ^vb+be+aux++=be
inferred ^vpsv++agls+xvbnx+=inferred
from ^in++++=from
the ^ati++++=the
joyous ^jj+atrb+++=joyous
and ^cc+phrs+++=and
oily ^jj+atrb+++=oily
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
rubs ^nns+++??+=rubs
his ^pp$+pp3+++=his
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
informing ^vbg+++xvbg+=informing
the ^ati++++=the
audience ^nn+nom+++=audience
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
