It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
hot ^jj+atrb+++=hot
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
railway ^nn++++=railway
carriage ^nn+nom+++=carriage
was ^vbd+bedz+vrb++=was
correspondingly ^rb++++=correspondingly
sultry ^jj+pred+++=sultry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
stop ^vb++++=stop
was ^vbd+bedz+vrb++=was
at ^in++++=at
Templecombe ^np+++??+=Templecombe,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
an ^at++++=an
hour ^nn++++=hour
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
occupants ^nns+nom+++=occupants
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage
were ^vbd+bed+vrb++=were
a ^at++++=a
small ^jj+atrb+++=small
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
smaller ^jjr+atrb+++=smaller
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
An ^at++++=An
aunt ^nn++++=aunt
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
children ^nns++++=children
occupied ^vbd+++xvbn+=occupied
one ^cd1++++=one
corner ^nn++++=corner
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
further ^jjb+atrb+++=further
corner ^nn++++=corner
seat ^nn++++=seat
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
was ^vbd+bedz+aux++=was
occupied ^vpsv++by+xvbnx+=occupied
by ^in++++=by
a ^at++++=a
bachelor ^nn++++=bachelor
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
stranger ^nn+nom+++=stranger
to ^in++++=to
their ^pp$+pp3+++=their
party ^nn++++=party,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
small ^jj+atrb+++=small
girls ^nns++++=girls
and ^cc++++=and
the ^ati++++=the
small ^jj+atrb+++=small
boy ^nn++++=boy
emphatically ^rb++++=emphatically
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
compartment ^nn+nom+++=compartment.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
aunt ^nn++++=aunt
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
were ^vbd+bed+vrb++=were
conversational ^jj+pred+++=conversational
in ^in++++=in
a ^at++++=a
limited ^jj+atrb++xvbn+=limited,
, ^zz++++=EXTRAWORD
persistent ^jj+atrb+++=persistent
way ^nn++++=way,
, ^zz++++=EXTRAWORD
reminding ^vbg+++xvbg+=reminding
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
attentions ^nns+nom+++=attentions
of ^in++++=of
a ^at++++=a
housefly ^jj++++=housefly
that ^dt+pdem+++=that
refuses ^vbz++++=refuses
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
discouraged ^vpsv++agls+xvbnx+=discouraged.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
the ^ati++++=the
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
remarks ^vbz+vpub+++=remarks
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
begin ^vbi++++=begin
with ^in++++=with
" ^zz++++="Don't,"
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
nearly ^rb+down+++=nearly
all ^rb++++=all
of ^in++++=of
the ^ati++++=the
children ^nns++++=children's
's ^$++++=EXTRAWORD
remarks ^nns++++=remarks
began ^vbd+++xvbn+=began
with ^in++++=with
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bachelor ^nn++++=bachelor
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
out ^rp+pl+++=out
loud ^jj++++=loud.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't,
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
Cyril ^np++++=Cyril,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
aunt ^nn++++=aunt,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
small ^jj+atrb+++=small
boy ^nn++++=boy
began ^vbd+++xvbn+=began
smacking ^nvbg+++xvbg+=smacking
the ^ati++++=the
cushions ^nns++++=cushions
of ^in++++=of
the ^ati++++=the
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust
at ^rb++++=at
each ^dt++++=each
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
look ^vb++++=look
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
moved ^vbd+++xvbn+=moved
reluctantly ^rb++++=reluctantly
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
those ^dt+dem+++=those
sheep ^nns++++=sheep
being ^xvbg+++xvbg+=being
driven ^vprf+++xvbn+=driven
out ^rp+pl+++=out
of ^in++++=of
that ^dt+dem+++=that
field ^nn++++=field?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
expect ^vb+vprv+tht0++=expect
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
driven ^vprf+++xvbn+=driven
to ^to+vcmp+++=to
another ^dt++++=another
field ^nn++++=field
where ^wrb+who+++=where
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
more ^rbr++++=more
grass ^nn++++=grass,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
aunt ^nn++++=aunt
weakly ^rb++++=weakly.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
lots ^nns++++=lots
of ^in++++=of
grass ^nn++++=grass
in ^cs+sub+++=in
that ^cs"++++=that
field ^nn++++=field,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
the ^ati++++=the
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
else ^rb+cnj+++=else
but ^cc++++=but
grass ^nn++++=grass
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
lots ^nns++++=lots
of ^in++++=of
grass ^nn++++=grass
in ^cs+sub+++=in
that ^cs"++++=that
field ^nn++++=field."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
the ^ati++++=the
grass ^nn++++=grass
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
field ^nn++++=field
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
the ^ati++++=the
aunt ^nn++++=aunt
fatuously ^jj++++=fatuously.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
better ^jjr++++=better?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
the ^ati++++=the
swift ^jj+atrb+++=swift,
, ^zz++++=EXTRAWORD
inevitable ^jj+atrb+++=inevitable
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
those ^dt+dem+++=those
cows ^nns++++=cows!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
aunt ^nn++++=aunt.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
every ^at++++=every
field ^nn++++=field
along ^in++++=along
the ^ati++++=the
line ^nn++++=line
had ^vbd+hvd+aux++=had
contained ^vprf+++xvbnx+=contained
cows ^nns++++=cows
or ^cc++++=or
bullocks ^nns+++??+=bullocks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
drawing ^vbg+++xvbgx+=drawing
attention ^nn+nom+++=attention
to ^in++++=to
a ^at++++=a
rarity ^nn++++=rarity.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
grass ^nn++++=grass
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
field ^nn++++=field
better ^jjr++++=better?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
persisted ^vbd+++xvbn+=persisted
Cyril ^np++++=Cyril.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frown ^nn++++=frown
on ^in++++=on
the ^ati++++=the
bachelor ^nn++++=bachelor's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
deepening ^nn++++=deepening
to ^in++++=to
a ^at++++=a
scowl ^nn++++=scowl.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
hard ^jj+atrb+++=hard,
, ^zz++++=EXTRAWORD
unsympathetic ^jj+atrb+++=unsympathetic
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
aunt ^npt++++=aunt
decided ^vbd+vprv++xvbn+=decided
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
utterly ^rb+amp+++=utterly
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
come ^vbi++++=come
to ^in++++=to
any ^dti++++=any
satisfactory ^jj+atrb+++=satisfactory
decision ^nn++++=decision
about ^in++++=about
the ^ati++++=the
grass ^nn++++=grass
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
field ^nn++++=field.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smaller ^jjr+atrb+++=smaller
girl ^nn++++=girl
created ^vbd+++xvbn+=created
a ^at++++=a
diversion ^nn++++=diversion
by ^in++++=by
beginning ^xvbg+++xvbg+=beginning
to ^to++++=to
recite ^vbi++++=recite
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
Road ^nn++++=Road
to ^in++++=to
Mandalay ^np+++??+=Mandalay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
only ^rb+down+++=only
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
first ^od++++=first
line ^nn++++=line,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
limited ^vbd+++xvbn+=limited
knowledge ^vb++++=knowledge
to ^to+vcmp+++=to
the ^ati++++=the
fullest ^jjt+atrb+++=fullest
possible ^jj+atrb+++=possible
use ^nn++++=use.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
line ^nn++++=line
over ^in++++=over
and ^cc++++=and
over ^in++++=over
again ^rb+tm+++=again
in ^in++++=in
a ^at++++=a
dreamy ^jj++++=dreamy
but ^cc+phrs+++=but
resolute ^jj++++=resolute
and ^cc++++=and
very ^ql+amp+++=very
audible ^jj+atrb+++=audible
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
the ^ati++++=the
bachelor ^nn++++=bachelor
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
one ^cd1++++=one
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
bet ^nn+++xvbn+=bet
with ^in++++=with
her ^pp$+pp3+++=her
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
repeat ^vb++++=repeat
the ^ati++++=the
line ^nn++++=line
aloud ^rb++++=aloud
two ^cd++++=two
thousand ^cd++++=thousand
times ^nns++++=times
without ^in++++=without
stopping ^xvbg+++xvbg+=stopping.
. ^zz++++=EXTRAWORD
Whoever ^whp+who+++=Whoever
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
wager ^jjr++++=wager
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
lose ^vbi++++=lose
his ^pp$+pp3+++=his
bet ^nn+++xvbn+=bet.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
over ^in++++=over
here ^rn+pl+++=here
and ^cc++++=and
listen ^vb++++=listen
to ^in++++=to
a ^at++++=a
story ^nn++++=story,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
aunt ^nn++++=aunt,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
bachelor ^nn++++=bachelor
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
twice ^rb++++=twice
at ^rb++++=at
her ^pp3o+pp3+++=her
and ^cc++++=and
once ^rb+tm+++=once
at ^rb++++=at
the ^ati++++=the
communication ^nn+nom+++=communication
cord ^nn++++=cord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
moved ^vbd+++xvbn+=moved
listlessly ^jj++++=listlessly
towards ^in++++=towards
the ^ati++++=the
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
her ^pp$+pp3+++=her
reputation ^nn+nom+++=reputation
as ^in++++=as
a ^at++++=a
storyteller ^jjr++++=storyteller
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
rank ^nn++++=rank
high ^jj++++=high
in ^in++++=in
their ^pp$+pp3+++=their
estimation ^nn+nom+++=estimation.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
low ^jj+atrb+++=low,
, ^zz++++=EXTRAWORD
confidential ^jj+atrb+++=confidential
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
interrupted ^j+++xvbn+=interrupted
at ^rb++++=at
frequent ^jj+atrb+++=frequent
intervals ^nns+nom+++=intervals
by ^in++++=by
loud ^jj+atrb+++=loud,
, ^zz++++=EXTRAWORD
petulant ^jj+atrb+++=petulant
questionings ^nns+++??+=questionings
from ^in++++=from
her ^pp$+pp3+++=her
listeners ^nns+nom+++=listeners,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
an ^at++++=an
unenterprising ^jj+++xvbg+=unenterprising
and ^cc+phrs+++=and
deplorably ^jj+atrb+++=deplorably
uninteresting ^jj+atrb+++=uninteresting
story ^nn++++=story
about ^in++++=about
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^xvbn+++xvbn+=made
friends ^nns++++=friends
with ^in++++=with
every ^at++++=every
one ^pn++++=one
on ^in++++=on
account ^nn++++=account
of ^in++++=of
her ^pp$+pp3+++=her
goodness ^nns+nom+++=goodness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
finally ^rb++splt++=finally
saved ^vpsv++agls+xvbnx+=saved
from ^in++++=from
a ^at++++=a
mad ^jj+atrb+++=mad
bull ^nn++++=bull
by ^in++++=by
a ^at++++=a
number ^nn++++=number
of ^in++++=of
rescuers ^nns+nom+++=rescuers
who ^whp+rel+subj++=who
admired ^vbd+++xvbn+=admired
her ^pp$+pp3+++=her
moral ^jj+atrb+++=moral
