At ^rb++++=At
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
melancholy ^jj+atrb+++=melancholy
Catstean ^np+nom++??+=Catstean
Moor ^npl++++=Moor,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
north ^np+pl+++=north
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
with ^in++++=with
half ^abn++++=half-a-dozen
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dozen ^cd++++=EXTRAWORD
ancient ^jj+atrb+++=ancient
poplar ^nn+++??+=poplar-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
with ^in++++=with
rugged ^jj++++=rugged
and ^cc++++=and
hoary ^nn++++=hoary
stems ^nns++++=stems
around ^in+strn+++=around,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
smashed ^jj+++xvbn+=smashed
across ^in+pl+++=across
the ^ati++++=the
middle ^nn++++=middle
by ^in++++=by
a ^at++++=a
flash ^nn++++=flash
of ^in++++=of
lightning ^nn++++=lightning
thirty ^cd++++=thirty
summers ^nns+nom+++=summers
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
by ^in++++=by
their ^pp$+pp3+++=their
great ^jj+atrb+++=great
height ^nn++++=height
dwarfing ^vwbg+++xvbg+=dwarfing
the ^ati++++=the
abode ^nn++++=abode
near ^in+pl+++=near
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
stand ^vb++++=stand,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
squats ^nns+++??+=squats
a ^at++++=a
rude ^jj+atrb+++=rude
stone ^nn++++=stone
house ^npl++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
thick ^jj+atrb+++=thick
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
a ^at++++=a
kitchen ^nn++++=kitchen
and ^cc++++=and
bedroom ^nn++++=bedroom
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground-floor,
- ^zz++++=EXTRAWORD
floor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
loft ^nn++++=loft,
, ^zz++++=EXTRAWORD
accessible ^jj++++=accessible
by ^in++++=by
a ^at++++=a
ladder ^nn++++=ladder,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
shingle ^nn++++=shingle
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
into ^in++++=into
two ^cd++++=two
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
owner ^nn++++=owner
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
ill ^jj+atrb+++=ill
repute ^nn++++=repute.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Chuff ^np+++??+=Chuff
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
A ^at++++=A
shock ^nn++++=shock-headed,
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-shouldered,
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
powerful ^jj+atrb+++=powerful
man ^nn++++=man,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
somewhat ^rb+down+++=somewhat
short ^jj++++=short,
, ^zz++++=EXTRAWORD
with ^in++++=with
lowering ^xvbg+++xvbg+=lowering
brows ^nns++++=brows
and ^cc++++=and
a ^at++++=a
sullen ^jj+atrb+++=sullen
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
poacher ^jjr++++=poacher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardly ^rb+down+++=hardly
made ^vbd+++xvbn+=made
an ^at++++=an
ostensible ^jj+atrb+++=ostensible
pretence ^nn+nom+++=pretence
of ^in++++=of
earning ^xvbg+++xvbg+=earning
his ^pp$+pp3+++=his
bread ^nn++++=bread
by ^in++++=by
any ^dti++++=any
honest ^jj+atrb+++=honest
industry ^nn++++=industry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
drunkard ^nn++++=drunkard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
beat ^vbd+++xvbnx+=beat
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
