Adventures ^nns++++=Adventures,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
proverb ^nn++++=proverb,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
to ^in++++=to
the ^ati++++=the
adventurous ^nn++++=adventurous.
. ^zz++++=EXTRAWORD
Quite ^abl++++=Quite
as ^ql++++=as
often ^rb++++=often
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
to ^in++++=to
the ^ati++++=the
nonadventurous ^jj++++=nonadventurous,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
retiring ^nvbg+++xvbg+=retiring,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
constitutionally ^rb++++=constitutionally
timid ^jj++++=timid.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
Abbleway ^np+++??+=Abbleway
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
endowed ^vpsv++by+xvbnx+=endowed
by ^in++++=by
Nature ^nn++++=Nature
with ^in++++=with
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
disposition ^nn+nom+++=disposition
that ^tht+rel+subj++=that
instinctively ^rb++++=instinctively
avoids ^vbz++++=avoids
Carlist ^np+nom++??+=Carlist
intrigues ^nns++++=intrigues,
, ^zz++++=EXTRAWORD
slum ^nn++++=slum
crusades ^nns++++=crusades,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tracking ^nn++++=tracking
of ^in++++=of
wounded ^jj+atrb++xvbn+=wounded
wild ^jj+atrb+++=wild
beasts ^nns++++=beasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
moving ^nn++++=moving
of ^in++++=of
hostile ^jj+atrb+++=hostile
amendments ^nns+nom+++=amendments
at ^in++++=at
political ^jj+atrb+++=political
meetings ^nns++++=meetings.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
mad ^jj+atrb+++=mad
dog ^nn++++=dog
or ^cc++++=or
a ^at++++=a
Mad ^jj+atrb+++=Mad
Mullah ^np+++??+=Mullah
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
his ^pp$+pp3+++=his
way ^nn++++=way
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
surrendered ^vprf+++xvbnx+=surrendered
the ^ati++++=the
way ^nn++++=way
without ^in++++=without
hesitation ^nn+nom+++=hesitation.
. ^zz++++=EXTRAWORD
At ^rb++++=At
school ^nn++++=school
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
unwillingly ^rb++splt++=unwillingly
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
thorough ^jj+atrb+++=thorough
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
German ^jj+atrb+++=German
tongue ^nn++++=tongue
out ^rp+pl+++=out
of ^in++++=of
deference ^nn+nom+++=deference
to ^in++++=to
the ^ati++++=the
plainly ^rb++++=plainly-expressed
- ^zz++++=EXTRAWORD
expressed ^vbn+vpub++xvbn+=EXTRAWORD
wishes ^nns++++=wishes
of ^in++++=of
a ^at++++=a
foreign ^jj++++=foreign-languages
- ^zz++++=EXTRAWORD
languages ^nns+nom+++=EXTRAWORD
master ^nn++++=master,
