Roses ^nns++++=ROSES
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
cold ^jj+atrb+++=cold
November ^nr+nom+++=November
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
looked ^vbd+++xvbn+=looked
forlorn ^jj++++=forlorn.
. ^zz++++=EXTRAWORD
Eventhe ^np+++??+=Eventhe
pert ^jj+atrb+++=pert
sparrows ^nns++++=sparrows
were ^vbd+bed+vrb++=were
draggle ^nn+++??+=draggle-tailed
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
too ^ql++++=too
much ^ap++++=much
out ^rp+pl+++=out
of ^in++++=of
spirits ^nns++++=spirits
tofight ^nn+++??+=tofight
for ^in++++=for
crumbs ^nns++++=crumbs
with ^in++++=with
the ^ati++++=the
fat ^nn++++=fat
pigeons ^nns++++=pigeons
who ^whp+rel+subj++=who
tripped ^vbd+++xvbn+=tripped
through ^in++++=through
the ^ati++++=the
mudwith ^nn+++??+=mudwith
their ^pp$+pp3+++=their
little ^ap++++=little
red ^jj+atrb+++=red
boots ^nns++++=boots
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
haste ^nn++++=haste
to ^to++++=to
get ^vbi++++=get
back ^rb+phrv+++=back
to ^in++++=to
their ^pp$+pp3+++=their
cosyhome ^nn+++??+=cosyhome
in ^in++++=in
the ^ati++++=the
dove ^np++++=dove-cot.
- ^zz++++=EXTRAWORD
cot ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
most ^ql+emph+++=most
forlorn ^jj+atrb+++=forlorn
creature ^nn++++=creature
out ^rp+pl+++=out
that ^dt+dem+++=that
day ^nn++++=day
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
errand ^nn++++=errand
girl,with ^nn+++??+=girl,with
a ^at++++=a
bonnet ^nn++++=bonnet-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
on ^rp++++=on
each ^ppls++++=each
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
hands ^nns++++=hands
struggling ^vb+nom++xvbg+=struggling
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
abig ^jj+atrb++??+=abig
broken ^jj+atrb++xvbn+=broken
umbrella ^nn++++=umbrella.
. ^zz++++=EXTRAWORD
A ^at++++=A
pair ^nn++++=pair
of ^in++++=of
worn ^vbd+++xvbn+=worn-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
boots ^nns++++=boots
let ^vbd+++xvbn+=let
in ^rb+phrv+++=in
the ^ati++++=the
wet ^jj+atrb+++=wet
uponher ^jjr+atrb+++=uponher
tired ^jj+atrb++xvbn+=tired
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
a ^at++++=a
thin ^jj+atrb+++=thin
cotton ^np++++=cotton
dress ^nn++++=dress
and ^cc++++=and
an ^at++++=an
old ^jj+atrb+++=old
shawl ^nn++++=shawl
poorlyprotected ^vbd+++xvbn+=poorlyprotected
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
storm ^nn++++=storm;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
faded ^jj+atrb++xvbn+=faded
hood ^nn++++=hood
covered ^vbd+++xvbn+=covered
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
out ^rp+pl+++=out
from ^in++++=from
this ^dt+dem+++=this
hood ^nn++++=hood
was ^vbd+bedz+vrb++=was
too ^ql++++=too
pale ^nn++++=pale
and ^cc++++=and
anxious ^jj+atrb+++=anxious
forone ^nn+++??+=forone
so ^ql+emph+++=so
young ^jj++++=young;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
a ^at++++=a
sudden ^jj+atrb+++=sudden
gust ^nn++++=gust
turned ^vbd+++xvbn+=turned
the ^ati++++=the
old ^jj+atrb+++=old
umbrella ^nn++++=umbrella
insideout ^nn+++??+=insideout
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash,
, ^zz++++=EXTRAWORD
despair ^vb++++=despair
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
poor ^jj+atrb+++=poor
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
somiserable ^jj+pred+++=somiserable
she ^pp3a+pp3+++=she
could ^md+pos+++=could
have ^vb+hv+aux++=have
sat ^vprf+++xvbnx+=sat
down ^rb+phrv+++=down
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain
and ^cc++++=and
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
time ^nn++++=time
for ^in++++=for
tears ^nns++++=tears;
; ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
the ^ati++++=the
