1 ^zz++++=1
" ^zz++++="This,"
this ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
William ^np++++=William
Lum ^np+++??+=Lum
solemnly ^rb+cnj+++=solemnly,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
las ^np++++=las'
' ^zz++++=EXTRAWORD
bottle ^nn++++=bottle
of ^in++++=of
this ^dt+dem+++=this
stuff ^nn++++=stuff
in ^in++++=in
these ^dt+dem+++=these
United ^np++++=United
States ^nns++++=States!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv+tht0+xvbnx+=held
it ^pp3+it+++=it
aloft ^rb++++=aloft
with ^in++++=with
the ^ati++++=the
pride ^nn++++=pride
and ^cc++++=and
tender ^jj+atrb+++=tender
care ^nn++++=care
of ^in++++=of
a ^at++++=a
recent ^jj+atrb+++=recent
parent ^nn++++=parent
exhibiting ^vwbg+++xvbg+=exhibiting
a ^at++++=a
first ^od++++=first-born
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
Braddy ^np+++??+=Braddy
emitted ^vbd+++xvbn+=emitted
a ^at++++=a
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
whistle ^nn++++=whistle,
, ^zz++++=EXTRAWORD
expressive ^jj++++=expressive
of ^in++++=of
the ^ati++++=the
awe ^nn++++=awe
due ^jj++++=due
the ^ati++++=the
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
siree ^nn++++=siree!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
another ^dt++++=another
bottle ^nn++++=bottle
of ^in++++=of
this ^dt+dem+++=this
wonderful ^jj++++=wonderful
old ^jj++++=old
hooch ^vb+++??+=hooch
left ^vbd+++xvbn+=left
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
one ^pn++++=one
like ^in++++=like
it ^pp3+it+++=it
for ^in++++=for
love ^nn++++=love
nor ^cc++neg++=nor
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
for ^in++++=for
love ^nn++++=love
nor ^cc++neg++=nor
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
to ^to++++=to
regard ^vbi++++=regard
the ^ati++++=the
bottle ^nn++++=bottle
fondly ^rb++++=fondly.
. ^zz++++=EXTRAWORD
" ^zz++++="Nor
nor ^cc++neg++=EXTRAWORD
anything ^pn++++=anything
else ^rb+cnj+++=else,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy
beamed ^vbd+++xvbn+=beamed
fatly ^jj++++=fatly.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
moon ^nn++++=moon
face ^nn++++=face--like
-- ^--+clp+++=EXTRAWORD
like ^in++++=EXTRAWORD
a ^at++++=a
two ^cd++++=two-hundred-and-twenty-pound
- ^zz++++=EXTRAWORD
hundred ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pound ^nn++++=EXTRAWORD
Kewpie ^np+++??+=Kewpie's--wore
's--wore ^nn+++??+=EXTRAWORD
a ^at++++=a
look ^nn++++=look
of ^in++++=of
pride ^nn++++=pride
and ^cc++++=and
responsibility ^nn+nom+++=responsibility.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
siree ^nn++++=siree.
. ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
be ^vb+be+vrb++=be
all ^abn++++=all
of ^in++++=of
thirty ^cd++++=thirty
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Mebbe ^rb++++=Mebbe
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
Mebbe ^rb++++=Mebbe
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
stuff ^nn++++=stuff
is ^vbz+bez+vrb++=is
worth ^in++++=worth
a ^at++++=a
dollar ^nn++++=dollar
a ^at++++=a
sniff ^nn+++??+=sniff,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^in++++=worth
a ^at++++=a
jit ^nn+++??+=jit.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
not ^xnot++not++=not
a ^at++++=a
drinking ^jj+atrb++xvbg+=drinking
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Wadda ^np+++??+=Wadda
pity ^nn++++=pity!
! ^zz++++=EXTRAWORD
Wadda ^np+++??+=Wadda
pity ^nn++++=pity!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
shade ^nn++++=shade
of ^in++++=of
envy ^nn++++=envy
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum's
's ^$++++=EXTRAWORD
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
for ^in++++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
a ^at++++=a
drinking ^jj+atrb++xvbg+=drinking
man ^nn++++=man;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
Fate ^nn++++=Fate,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
perverse ^jj++++=perverse,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
decreed ^vprf+++xvbnx+=decreed
that ^dt+dem+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
teetotaler ^jjr++++=teetotaler,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
find ^vb+vprv+++=find
the ^ati++++=the
ancient ^jj+atrb+++=ancient
bottle ^nn++++=bottle
while ^cs+sub+++=while
poking ^jj+++xvbg+=poking
about ^in++++=about
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar
of ^in++++=of
his ^pp$+pp3+++=his
very ^ql+amp+++=very
modest ^jj+atrb+++=modest
new ^jj+atrb+++=new
house ^nn++++=house--rented--in
-- ^--+clp+++=EXTRAWORD
rented ^j+++xvbn+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
in ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
Long ^rb++++=Long
Island ^nn++++=Island
City ^nn++++=City
where ^wrb+who+++=where
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
wooden ^jj+atrb+++=wooden
cottages ^nns+nom+++=cottages
break ^vb++++=break
out ^rp+pl+++=out
in ^in++++=in
clusters ^nns+nom+++=clusters,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
species ^nn++++=species
of ^in++++=of
municipal ^jj+atrb+++=municipal
measles ^nns++++=measles.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
on ^in++++=on
finding ^xvbg+++xvbg+=finding
the ^ati++++=the
treasure ^nn++++=treasure,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
immediately ^rb+tm+splt++=immediately
summoned ^vprf+++xvbnx+=summoned
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum
from ^in++++=from
his ^pp$+pp3+++=his
larger ^jjr++++=larger
and ^cc++++=and
more ^rbr++++=more
pretentious ^jj+atrb+++=pretentious
house ^npl++++=house
near ^in+pl+++=near
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
who ^whp+rel+subj++=who
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
appraise ^vb++++=appraise
the ^ati++++=the
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
and ^cc++++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum
now ^rn+tm+++=now
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
very ^ap+amp+++=very
spot ^nn++++=spot
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
old ^jj+atrb+++=old
window ^nn++++=window
blinds ^nns++++=blinds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
venerable ^jj+atrb+++=venerable
liquor ^nn++++=liquor
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
very ^ql+amp+++=very
highly ^rb+amp+++=highly
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum's
's ^$++++=EXTRAWORD
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
great ^jj+atrb+++=great
man ^nn++++=man
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good-naturedly
- ^zz++++=EXTRAWORD
naturedly ^jj++++=EXTRAWORD
tolerant ^jj++++=tolerant
of ^in++++=of
