At ^rb++++=At
the ^ati++++=the
very ^ql+amp+++=very
top ^jjb++++=top
of ^in++++=of
the ^ati++++=the
hay ^nn++++=hay-mow
- ^zz++++=EXTRAWORD
mow ^nn+++??+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Speckled ^np+++??+=Speckled
Hen ^nn++++=Hen
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^ppls++++=each
day ^np++++=day
for ^in++++=for
twelve ^cd++++=twelve
days ^nns++++=days
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
pretty ^rb++++=pretty
white ^jj+atrb+++=white
egg ^nn++++=egg.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Speckled ^np+++??+=Speckled
Hen ^nn++++=Hen
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
nest ^nn++++=nest
in ^in++++=in
this ^dt+dem+++=this
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
place ^nn++++=place
so ^ql++++=so
that ^cs+sub+++=that
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
come ^vb++++=come
to ^to++++=to
disturb ^vbi++++=disturb
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
sit ^vbi++++=sit
upon ^in++++=upon
the ^ati++++=the
eggs ^nns++++=eggs
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
hatched ^vpsv++agls+xvbnx+=hatched
into ^in++++=into
chickens ^nns++++=chickens.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
day ^np++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
laid ^vbd+++xvbnx+=laid
her ^pp$+pp3+++=her
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
cackle ^vb++++=cackle
to ^in++++=to
herself ^ppl+pp3+++=herself;
; ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
in ^in++++=in
time ^nn++++=time
be ^vb+be+vrb++=be
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
chick ^nn++++=chick,
, ^zz++++=EXTRAWORD
with ^in++++=with
soft ^jj++++=soft,
, ^zz++++=EXTRAWORD
fluffy ^jj++++=fluffy
down ^rp++++=down
all ^abn++++=all
over ^in++++=over
its ^pp$+it+++=its
body ^nn++++=body
and ^cc++++=and
bright ^jj+atrb+++=bright
little ^jj+atrb+++=little
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
will ^md+prd+++=will
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
world ^nn++++=world
in ^in++++=in
amazement ^nn+nom+++=amazement.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
love ^vb++++=love
it ^pp3+it+++=it
dearly ^rb++++=dearly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
named ^vbd+++xvbnx+=named
each ^dt++++=each
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
laid ^vbd+++xvbnx+=laid
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
she ^pp3a+pp3+++=she
should ^md+nec+++=should
call ^vb++++=call
it ^pp3+it+++=it
when ^wrb+who+++=when
a ^at++++=a
chick ^nn++++=chick,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
one ^cd1++++=one
being ^vbg+beg++xvbg+=being
" ^zz++++="Cluckety-Cluck,"
cluckety ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cluck ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
next ^ap++++=next
" ^zz++++="Cadaw-Cut,"
cadaw ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
twelfth ^np++++=twelfth
egg ^nn++++=egg
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
it ^pp3+it+++=it
" ^zz++++="Humpty
humpty ^nn+++??+=EXTRAWORD
Dumpty ^np+++??+=Dumpty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
twelfth ^od++++=twelfth
egg ^nn++++=egg
was ^vbd+bedz+vrb++=was
remarkably ^rb++++=remarkably
big ^jj+pred+++=big
and ^cc+phrs+++=and
white ^jj++++=white
and ^cc++++=and
