Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
had ^vb+hv+vrb++=had
a ^at++++=a
dark ^jj+atrb+++=dark
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
grey ^np++++=grey
eyes ^nns++++=eyes
and ^cc++++=and
thick ^jj+atrb+++=thick
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
strong ^jj++++=strong.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
black ^jj+atrb+++=black
thoughts ^nns++++=thoughts
visited ^vbd+++xvbn+=visited
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
angry ^jj++++=angry
and ^cc+phrs+++=and
wished ^jj+++xvbn+=wished
she ^pp3a+pp3+++=she
were ^vbd+bed+vrb++=were
a ^at++++=a
man ^nn++++=man
and ^cc++++=and
could ^md+pos+++=could
fight ^vb++++=fight
someone ^pn++++=someone
with ^in++++=with
her ^pp$+pp3+++=her
fists ^nns++++=fists.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
worked ^vbd+++xvbnx+=worked
in ^in++++=in
the ^ati++++=the
millinery ^nn+nom+++=millinery
shop ^nn++++=shop
kept ^vwbn+++xvbn+=kept
by ^in++++=by
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nate ^np++++=Nate
Mchugh ^np+++??+=McHugh
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
day ^nn++++=day
sat ^vbd+++xvbn+=sat
trimming ^nn++++=trimming
hats ^nns++++=hats
by ^in++++=by
a ^at++++=a
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
Henry ^np++++=Henry
Carpenter ^nn+nom+++=Carpenter,
, ^zz++++=EXTRAWORD
bookkeeper ^jjr++++=bookkeeper
in ^in++++=in
the ^ati++++=the
First ^rb++++=First
National ^jj+atrb+++=National
Bank ^nn++++=Bank
of ^in++++=of
Winesburg ^np+++??+=Winesburg,
, ^zz++++=EXTRAWORD
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vpsv++agls+xvbn+=lived
with ^in+ppvb+++=with
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
gloomy ^jj+atrb+++=gloomy
old ^jj+atrb+++=old
house ^nn++++=house
far ^rb+pl+++=far
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
Buckeye ^np+++??+=Buckeye
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+aux++=was
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
pine ^nn++++=pine
trees ^nns++++=trees
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
grass ^nn++++=grass
beneath ^in+pl+++=beneath
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
A ^at++++=A
rusty ^np++++=rusty
tin ^nn++++=tin
eaves ^nns++++=eaves-trough
- ^zz++++=EXTRAWORD
trough ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
slipped ^vprf+++xvbnx+=slipped
from ^in++++=from
its ^pp$+it+++=its
fastenings ^nns++++=fastenings
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
it ^pp3+it+++=it
beat ^vbd+++xvbn+=beat
against ^in++++=against
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
a ^at++++=a
small ^jj++++=small
shed ^jj+++xvbn+=shed,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
a ^at++++=a
dismal ^nn++++=dismal
drumming ^vwbg+++xvbg+=drumming
noise ^nn++++=noise
that ^tht+rel+subj++=that
sometimes ^rb++++=sometimes
persisted ^vbd+++xvbn+=persisted
all ^abn++++=all
through ^in++++=through
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
Henry ^np++++=Henry
Carpenter ^nn+nom+++=Carpenter
made ^vbd+++xvbn+=made
life ^nn++++=life
almost ^rb+hdg+++=almost
unbearable ^jj++++=unbearable
for ^in++++=for
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
she ^pp3a+pp3+++=she
emerged ^vbd+++xvbnx+=emerged
from ^in++++=from
girlhood ^nn+nom+++=girlhood
into ^in++++=into
womanhood ^nn+nom+++=womanhood
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
power ^nn++++=power
over ^in++++=over
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bookkeeper ^jjr+atrb+++=bookkeeper's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up
of ^in++++=of
innumerable ^jj+atrb+++=innumerable
little ^jj+atrb+++=little
pettinesses ^nns+nom+++=pettinesses.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
stepped ^vbd+++xvbnx+=stepped
into ^in++++=into
a ^at++++=a
closet ^nn++++=closet
and ^cc++++=and
put ^vpsv++agls+xvbn+=put
on ^rb+phrv+++=on
a ^at++++=a
black ^jj+atrb+++=black
alpaca ^nn+++??+=alpaca
coat ^nn++++=coat
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
shabby ^jj++++=shabby
