This ^dt+pdem+++=This
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
homing ^jj+atrb++xvbg+=homing
pigeon ^nn++++=pigeon
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
I ^pp1a+pp1+++=I
send ^vb++++=send
it ^pp3+it+++=it
ever ^rb++++=ever
so ^rb++++=so
far ^rb+pl+++=far--though
-- ^--+clp+++=EXTRAWORD
though ^cs+sub+++=EXTRAWORD
its ^pp$+it+++=its
destination ^nn+nom+++=destination
be ^vb+be+vrb++=be
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
a ^at++++=a
home ^nr++++=home-and-fireside
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fireside ^nn++++=EXTRAWORD
magazine ^nn++++=magazine
or ^cc++++=or
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind
with ^in++++=with
a ^at++++=a
French ^jj+atrb+++=French
story ^nn++++=story
in ^in++++=in
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
return ^vb++++=return
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
each ^dt++++=each
flight ^nn++++=flight
its ^pp$+it+++=its
feathers ^nns+nom+++=feathers
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^rb++++=a
little ^rb"++++=little
more ^ql++++=more
rumpled ^jj+++xvbn+=rumpled,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
wings ^nns++++=wings
more ^rbr++++=more
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
course ^rb++++=course
more ^rbr++++=more
wavering ^jj++++=wavering,
, ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
battered ^j+++xvbn+=battered,
, ^zz++++=EXTRAWORD
spent ^j+++xvbn+=spent,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
flutter ^vb++++=flutter
to ^in++++=to
rest ^nn++++=rest
in ^in++++=in
the ^ati++++=the
waste ^nn++++=waste
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
its ^pp$+it+++=its
message ^nn+nom+++=message
may ^md+pos+++=may
never ^rb++++=never
be ^vb+be+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
sent ^vpsv++agls+xvbnx+=sent,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because---You
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
the ^ati++++=the
car ^nn++++=car
turns ^vbz++++=turns
at ^rb++++=at
Eighteenth ^od++++=Eighteenth?
? ^zz++++=EXTRAWORD
There ^rn+pl+++=There
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
a ^at++++=a
glaringly ^jj+atrb+++=glaringly
attractive ^jj+atrb+++=attractive
billboard ^nn+++??+=billboard
poster ^nn++++=poster.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
depicts ^vbz++++=depicts
groups ^nns++++=groups
of ^in++++=of
smiling ^xvbg+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
white ^jj++++=white-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
men ^nns++++=men
standing ^vwbg+++xvbg+=standing
on ^in++++=on
tropical ^jj+atrb+++=tropical
shores ^nns++++=shores,
, ^zz++++=EXTRAWORD
with ^in++++=with
waving ^xvbg+++xvbg+=waving
palms ^nns++++=palms
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
blue ^jj+atrb+++=blue
sea ^nn++++=sea
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wording ^nn++++=wording
beneath ^in+pl+++=beneath
the ^ati++++=the
picture ^nn++++=picture
runs ^vbz++++=runs
something ^pn++++=something
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
" ^zz++++="Young
young ^jj+atrb+++=EXTRAWORD
men ^nns++++=men
wanted ^vbd+++xvbn+=wanted.
. ^zz++++=EXTRAWORD
An ^at++++=An
unusual ^jj+atrb+++=unusual
opportunity ^nn+nom+++=opportunity
for ^in++++=for
travel ^nn++++=travel,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
advancement ^nn+nom+++=advancement.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
No ^at++++=No
expenses ^nns++++=expenses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
car ^nn++++=car
turns ^vbz++++=turns
at ^rb++++=at
Eighteenth ^rb+cnj+++=Eighteenth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
Eddie ^np++++=Eddie
Houghton ^np+++??+=Houghton
back ^jjb+atrb+++=back
home ^nr++++=home.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
Eddie ^np++++=Eddie
Houghton ^np+++??+=Houghton
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
red ^jj++++=red.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
after ^cs+sub+++=after
Eddie ^np++++=Eddie
Houghton ^np+++??+=Houghton
finished ^vbd+++xvbn+=finished
high ^np++++=high
school ^nn++++=school
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
work ^nn++++=work.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
town ^nn++++=town
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
a ^at++++=a
job ^nn++++=job.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
accept ^vb+vprv+++=accept
a ^at++++=a
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
paper ^nn++++=paper
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
that ^cs+sub+++=that
" ^zz++++="Edwin
edwin ^np++++=EXTRAWORD
Houghton ^np+++??+=Houghton
had ^vbd+hvd+aux++=had
accepted ^vprf+++xvbnx+=accepted
a ^at++++=a
position ^nn+nom+++=position
as ^ql++++=as
clerk ^np++++=clerk
and ^cc++++=and
assistant ^nn+nom+++=assistant
chemist ^nn+nom+++=chemist
at ^in++++=at
the ^ati++++=the
Kunz ^np++++=Kunz
drugstore ^nn++++=drugstore,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
would ^md+prd+++=would
take ^vb++++=take
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
duties ^nns++++=duties
Monday ^nr++++=Monday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
new ^jj+atrb+++=new
duties ^nns++++=duties
