Chapter ^nn++++=CHAPTER
I ^pp1a+pp1+++=I
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
stationed ^vpsv++agls+xvbnx+=stationed
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
town ^nn++++=town
of ^in++++=of
N ^zz++++=N--.
-- ^--+clp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
life ^nn++++=life
of ^in++++=of
an ^at++++=an
officer ^nn++++=officer
in ^in++++=in
the ^ati++++=the
army ^nn++++=army
is ^vbz+bez+aux++=is
well ^rb++++=well
known ^vbd+vprv++xvbn+=known.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
drill ^nn++++=drill
and ^cc++++=and
the ^ati++++=the
riding ^jj+++xvbg+=riding-school;
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
dinner ^nn++++=dinner
with ^in++++=with
the ^ati++++=the
Colonel ^nn++++=Colonel
or ^cc++++=or
at ^in++++=at
a ^at++++=a
Jewish ^jj+atrb+++=Jewish
restaurant ^nn+nom+++=restaurant;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
punch ^nn++++=punch
and ^cc++++=and
cards ^nns++++=cards.
. ^zz++++=EXTRAWORD
In ^in++++=In
N ^zz++++=N--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^cd1++++=one
open ^jj+atrb+++=open
house ^npl++++=house,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
marriageable ^jj+atrb+++=marriageable
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^md"++pmd"++=used
to ^to++++=to
meet ^vb++++=meet
in ^in++++=in
each ^ppls++++=each
other's ^ppls++++=other's
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
except ^in++++=except
our ^pp$+pp1+++=our
uniforms ^nns++++=uniforms,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
saw ^vbd+vprv+tht0+xvbn+=saw
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
civilian ^jj++++=civilian
only ^rb+down+++=only
was ^vbd+bedz+aux++=was
admitted ^vpsv++agls+xvbnx+=admitted
into ^in++++=into
our ^pp$+pp1+++=our
society ^nn++++=society.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
about ^in++++=about
thirtyfive ^jj+atrb+++=thirtyfive
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
we ^pp1a+pp1+++=we
looked ^vbd+++xvbn+=looked
upon ^in++++=upon
him ^pp3o+pp3+++=him
as ^in++++=as
an ^at++++=an
old ^jj++++=old
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
experience ^nn+nom+++=experience
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
great ^jj+atrb+++=great
advantage ^nn+nom+++=advantage
over ^rp++++=over
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
habitual ^jj+atrb+++=habitual
taciturnity ^nn+nom+++=taciturnity,
, ^zz++++=EXTRAWORD
stern ^jj+atrb+++=stern
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
caustic ^jj+atrb+++=caustic
tongue ^nn++++=tongue
produced ^vbd+++xvbn+=produced
a ^at++++=a
deep ^jj+atrb+++=deep
impression ^nn++++=impression
upon ^in++++=upon
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
mystery ^nn+nom+++=mystery
surrounded ^vbd+++xvbn+=surrounded
his ^pp$+pp3+++=his
existence ^nn+nom+++=existence;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
a ^at++++=a
Russian ^jj++++=Russian,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
a ^at++++=a
foreign ^jj+atrb+++=foreign
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
served ^vprf+++xvbnx+=served
in ^in++++=in
the ^ati++++=the
Hussars ^np+++??+=Hussars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
cause ^nn++++=cause
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
induced ^vprf+++xvbnx+=induced
him ^pp3o+pp3+++=him
to ^to++++=to
retire ^vbi++++=retire
from ^in++++=from
the ^ati++++=the
service ^nn++++=service
and ^cc++++=and
settle ^vb++++=settle
in ^in++++=in
a ^at++++=a
wretched ^jj+atrb+++=wretched
little ^jj+atrb+++=little
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
poorly ^rb++++=poorly
and ^cc++++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
extravagantly ^jj++++=extravagantly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
went ^vbd+++xvbn+=went
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
constantly ^rb++++=constantly
wore ^vbd+++xvbn+=wore
a ^at++++=a
shabby ^jj+atrb+++=shabby
black ^jj+atrb+++=black
overcoat ^nn++++=overcoat,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
officers ^nns+nom+++=officers
of ^in++++=of
our ^pp$+pp1+++=our
regiment ^nn+nom+++=regiment
were ^vbd+bed+vrb++=were
ever ^rb++++=ever
welcome ^jj+pred+++=welcome
at ^rb++++=at
his ^pp$+pp3+++=his
table ^nn++++=table.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
never ^rb++++=never
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
dishes ^nns++++=dishes,
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
by ^in++++=by
a ^at++++=a
retired ^jj+atrb++xvbn+=retired
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
