What ^wdt+who+++=What
grand ^jj+atrb+++=grand
irregular ^nn++++=irregular
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
on ^in++++=on
my ^pp$+pp1+++=my
hearth ^nn++++=hearth-stone
- ^zz++++=EXTRAWORD
stone ^nn++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
Acroceraunian ^np+++??+=Acroceraunian
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
scattered ^jj+atrb++xvbn+=scattered
bolts ^nns++++=bolts
boomed ^vbd+++xvbn+=boomed
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crashed ^vbd+++xvbn+=crashed
down ^rp++++=down
among ^in++++=among
the ^ati++++=the
valleys ^nns++++=valleys,
, ^zz++++=EXTRAWORD
every ^at++++=every
bolt ^nn++++=bolt
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
zigzag ^nn+++??+=zigzag
irradiations ^nns+nom+++=irradiations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swift ^jj+atrb+++=swift
slants ^nn++++=slants
of ^in++++=of
sharp ^jj+atrb+++=sharp
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
audibly ^rb++++=audibly
rang ^vbd+++xvbn+=rang,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
charge ^nn++++=charge
of ^in++++=of
spear ^nn++++=spear-points,
- ^zz++++=EXTRAWORD
points ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
low ^jj+atrb+++=low
shingled ^jj+atrb++xvbn+=shingled
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
mountains ^nns++++=mountains
hereabouts ^rb+pl+++=hereabouts
break ^nn++++=break
and ^cc++++=and
churn ^vbd+++xvbn+=churn
up ^rp++++=up
the ^ati++++=the
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
far ^rb+pl+++=far
more ^rbr++++=more
glorious ^jj++++=glorious
here ^rn+pl+++=here
than ^in++++=than
on ^in++++=on
the ^ati++++=the
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
Hark!some ^np+++??+=Hark!some
one ^pn++++=one
at ^in++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
that ^dt+pdem+++=that
chooses ^vbz++++=chooses
a ^at++++=a
time ^nn++++=time
of ^in++++=of
thunder ^nn++++=thunder
for ^in++++=for
making ^nn++++=making
calls ^vbz++++=calls?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+whq++=why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
man ^nn++++=man-fashion,
- ^zz++++=EXTRAWORD
fashion ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
use ^nn++++=use
the ^ati++++=the
knocker ^jjr++++=knocker,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
making ^xvbg+++xvbg+=making
that ^dt+dem+++=that
doleful ^jj+atrb+++=doleful
undertaker ^nn+nom+++=undertaker's
's ^$++++=EXTRAWORD
clatter ^nn++++=clatter
with ^in++++=with
his ^pp$+pp3+++=his
fist ^nn++++=fist
