Lark ^nn++++=Lark
Street ^nn++++=Street
An ^at++++=An
impossible ^jj+atrb+++=impossible
hand ^nn++++=hand
punched ^vbd+++xvbn+=punched
my ^pp$+pp1+++=my
earlobe ^nn+++??+=earlobe.
. ^zz++++=EXTRAWORD
An ^at++++=An
unborn ^jj+atrb+++=unborn
fetus ^nns+++??+=fetus,
, ^zz++++=EXTRAWORD
aborted ^j+++xvbn+=aborted
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
at ^rb++++=at
my ^pp$+pp1+++=my
bedside ^nn++++=bedside.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner.
. ^zz++++=EXTRAWORD
" ^zz++++="So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
balls ^nns++++=balls?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
a ^at++++=a
stern ^nn++++=stern
squeak ^vb++++=squeak.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyelids ^nns++++=eyelids
rolled ^vbd+++xvbn+=rolled
open ^jj++++=open.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tiny ^jj+atrb+++=tiny
silhouette ^nn+nom+++=silhouette
on ^in++++=on
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
my ^pp$+pp1+++=my
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
Smaller ^jjr++++=Smaller
than ^in++++=than
a ^at++++=a
field ^nn++++=field
mouse ^nn++++=mouse.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
something ^pn++++=something,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad."
