Somewhere ^rb++++=Somewhere
in ^in++++=in
your ^pp$+pp2+++=your
story ^nn++++=story
you ^pp2+pp2+++=you
must ^md+nec+++=must
pause ^vb++++=pause
to ^to++++=to
describe ^vbi++++=describe
your ^pp$+pp2+++=your
heroine ^nn++++=heroine's
's ^$++++=EXTRAWORD
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
ticklish ^jj+atrb+++=ticklish
task ^nn++++=task.
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
reader ^nn++++=reader
likes ^vbz++++=likes
his ^pp$+pp3+++=his
heroine ^nn++++=heroine
well ^rb++++=well
dressed ^vbd+++xvbn+=dressed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
satisfied ^jj+++xvbn+=satisfied
with ^in++++=with
knowing ^vb+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
fair ^jj+atrb+++=fair
lily ^np++++=lily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wants ^vbz++++=wants
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
gown ^nn++++=gown
was ^vbd+bedz+vrb++=was
of ^in++++=of
green ^jj+atrb+++=green
crepe ^nn++++=crepe,
, ^zz++++=EXTRAWORD
with ^in++++=with
lace ^nn++++=lace
ruffles ^nns+++??+=ruffles
that ^tht+rel+++=that
swirled ^jj+++xvbn+=swirled
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Writers ^nns+nom+++=Writers
used ^md"++pmd"++=used
to ^to++++=to
go ^vb++++=go
so ^ql++++=so
far ^rb+pl+++=far
as ^in++++=as
to ^in++++=to
name ^nn++++=name
the ^ati++++=the
dressmaker ^jjr++++=dressmaker;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
poor ^jj++++=poor
kind ^rb++++=kind
of ^rb"++++=of
a ^at++++=a
heroine ^nn++++=heroine
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
wear ^vb++++=wear
a ^at++++=a
red ^jj+atrb+++=red
velvet ^nn++++=velvet
by ^in++++=by
Worth ^nn++++=Worth.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
largely ^rb++splt++=largely
abandoned ^vpsv++agls+xvbn+=abandoned
in ^in++++=in
these ^dt+dem+++=these
days ^nns++++=days
of ^in++++=of
commissions ^nns++++=commissions.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
heroine ^nn++++=heroine
goes ^vbz++++=goes
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
terrace ^nn++++=terrace
to ^in++++=to
spoon ^nn++++=spoon
after ^in++++=after
dinner ^nn++++=dinner
( ^zz++++=(a
a ^at++++=EXTRAWORD
quaint ^jj+atrb+++=quaint
old ^jj+atrb+++=old
English ^jj+atrb+++=English
custom ^nn++++=custom
for ^in++++=for
the ^ati++++=the
origin ^nn++++=origin
of ^in++++=of
which ^whp+rel+pied++=which
see ^vb+vprv+++=see
any ^dti++++=any
novel ^nn++++=novel
by ^in++++=by
the ^ati++++=the
" ^zz++++="Duchess,"
duchess ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
page ^nn++++=page
179 ^cd++++=179)
) ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
reader ^nn++++=reader
wants ^vbz++++=wants
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
sort ^nn++++=sort
of ^in++++=of
a ^at++++=a
filmy ^jj+atrb+++=filmy
wrap ^nn++++=wrap
she ^pp3a+pp3+++=she
snatches ^nns++++=snatches
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
demands ^nns++++=demands
a ^at++++=a
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
with ^in++++=with
as ^in++++=as
