To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
God ^nn++++=God
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
thing ^nn++++=thing
shall ^md+prd+++=shall
tide ^vb++++=tide,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Earth ^nn++++=Earth
is ^vbz+bez+aux++=is
racked ^vpsv++agls+xvbnx+=racked
and ^cc++++=and
faint ^jj++++=faint--Expectant,
-- ^--+clp+++=EXTRAWORD
expectant ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sleepless ^jj++++=sleepless,
, ^zz++++=EXTRAWORD
open ^jj++++=open-eyed;And
- ^zz++++=EXTRAWORD
eyed;and ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
from ^in++++=from
the ^ati++++=the
Earth ^nn++++=Earth
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
Thrill ^nn++++=Thrill
with ^in++++=with
our ^pp$+pp1+++=our
Mother ^np++++=Mother's
's ^$++++=EXTRAWORD
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
In ^in++++=In
Durance ^np+nom++??+=Durance.
. ^zz++++=EXTRAWORD
No ^at++++=No
man ^nn++++=man
will ^md+prd+++=will
ever ^rb++splt++=ever
know ^vb+vprv+++=know
the ^ati++++=the
exact ^jj+atrb+++=exact
truth ^nn++++=truth
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
women ^nns++++=women
may ^md+pos+++=may
sometimes ^rb++splt++=sometimes
whisper ^vb+vpub+++=whisper
it ^pp3+it+++=it
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another
after ^in++++=after
a ^at++++=a
dance ^nn++++=dance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
putting ^vbg+++xvbgx+=putting
up ^rb+phrv+++=up
their ^pp$+pp3+++=their
hair ^nn++++=hair
for ^in++++=for
the ^ati++++=the
night ^nn++++=night
and ^cc++++=and
comparing ^vbg+++xvbg+=comparing
lists ^nns++++=lists
of ^in++++=of
victims ^nns++++=victims.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man,
