To ^in++++=TO
The ^ati++++=THE
Editor ^nn++++=EDITOR
Of ^in++++=OF
The ^ati++++=THE
Knickerbocker ^np+nom++??+=KNICKERBOCKER.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
with ^in++++=with
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
performing ^vbg+++xvbgx+=performing
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
a ^at++++=a
pious ^jj+atrb+++=pious
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
imposed ^j+++xvbn+=imposed
upon ^in++++=upon
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
adopted ^vprf+++xvbnx+=adopted
as ^ql++++=as
your ^pp$+pp2+++=your
titular ^jj+atrb+++=titular
standard ^nn++++=standard,
, ^zz++++=EXTRAWORD
in ^in++++=in
following ^xvbg+++xvbg+=following
in ^in++++=in
the ^ati++++=the
footsteps ^nns++++=footsteps
of ^in++++=of
the ^ati++++=the
venerable ^jj+atrb+++=venerable
Knickerbocker ^np+nom++??+=KNICKERBOCKER,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gleaning ^nvbg+++xvbg+=gleaning
every ^at++++=every
fact ^nn++++=fact
concerning ^in++++=concerning
the ^ati++++=the
early ^jj+atrb+++=early
times ^nns++++=times
of ^in++++=of
the ^ati++++=the
Manhattoes ^np+++??+=Manhattoes
which ^whp+rel+subj++=which
may ^md+pos+++=may
have ^vb+hv+aux++=have
escaped ^vprf+++xvbnx+=escaped
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
particulars ^nns++++=particulars,
, ^zz++++=EXTRAWORD
legendary ^jj++++=legendary
and ^cc+phrs+++=and
statistical ^jj++++=statistical,
, ^zz++++=EXTRAWORD
concerning ^in++++=concerning
a ^at++++=a
place ^nn++++=place
which ^whp+rel+obj++=which
figures ^nns++++=figures
conspicuously ^rb++++=conspicuously
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
pages ^nns++++=pages
of ^in++++=of
his ^pp$+pp3+++=his
history ^nn++++=history,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
unacceptable ^jj+pred+++=unacceptable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allude ^nn+++??+=allude,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
ancient ^jj+atrb+++=ancient
and ^cc+phrs+++=and
renowned ^jj+atrb+++=renowned
village ^nn+nom+++=village
of ^in++++=of
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
veracious ^jj+atrb+++=veracious
Diedrich ^np+++??+=Diedrich,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
equally ^rb++++=equally
veracious ^jj+atrb+++=veracious
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
spot ^nn++++=spot
where ^wrb+who+++=where
our ^pp$+pp1+++=our
ever ^rb++++=ever-to-be-lamented
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
be ^vb+be+aux++=EXTRAWORD
- ^zz++++=EXTRAWORD
lamented ^vbd+++xvbn+=EXTRAWORD
Dutch ^jj+atrb+++=Dutch
progenitors ^nns++++=progenitors
planted ^vwbn+++xvbn+=planted
their ^pp$+pp3+++=their
standard ^nn++++=standard
and ^cc++++=and
cast ^nn+++xvbn+=cast
the ^ati++++=the
seeds ^nns++++=seeds
of ^in++++=of
empire ^nn++++=empire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
whence ^wrb+who+++=whence
subsequently ^rb+tm+++=subsequently
sailed ^vbd+++xvbn+=sailed
the ^ati++++=the
memorable ^jj+atrb+++=memorable
expedition ^nn+nom+++=expedition
under ^in++++=under
Oloffe ^np+++??+=Oloffe
the ^ati++++=the
Dreamer ^nn++++=Dreamer,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
landed ^jj+++xvbn+=landed
on ^in++++=on
the ^ati++++=the
opposite ^rb++++=opposite
island ^npl++++=island
of ^in++++=of
Manhatta ^np+++??+=Manhatta,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
founded ^vbd+++xvbn+=founded
the ^ati++++=the
present ^jj+atrb+++=present
city ^nn++++=city
of ^in++++=of
New ^jj++++=New-York,
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
dreams ^nps++++=dreams
and ^cc++++=and
speculations ^nns+nom+++=speculations.
. ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
truly ^rb++++=truly
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
parent ^nn++++=parent
of ^in++++=of
New ^jj++++=New-York;
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
astonishing ^jj+atrb+++=astonishing
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
though ^cs+sub+++=though
immediately ^rb+tm+++=immediately
opposite ^jj++++=opposite
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
produced ^vprf+++xvbnx+=produced,
, ^zz++++=EXTRAWORD
from ^in++++=from
whence ^wrb+who+++=whence
its ^pp$+it+++=its
red ^jj+atrb+++=red
roofs ^nns++++=roofs
and ^cc++++=and
tin ^nn++++=tin
weather ^nn++++=weather-cocks
- ^zz++++=EXTRAWORD
cocks ^nns++++=EXTRAWORD
can ^md+pos+++=can
actually ^rb+amp+++=actually
be ^vb+be+aux++=be
descried ^vpsv++agls+xvbnx+=descried
peering ^vbg+++xvbg+=peering
above ^jjb++++=above
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
apple ^nn++++=apple
orchards ^nns++++=orchards,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
almost ^rb+hdg+++=almost
as ^cs+sub+++=as
rarely ^rb++++=rarely
visited ^vbd+++xvbn+=visited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
little ^ap++++=little
known ^vpsv++by+xvbn+=known
by ^in++++=by
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
the ^ati++++=the
metropolis ^nn++++=metropolis,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
locked ^vpsv++agls+xvbnx+=locked
up ^rp++++=up
among ^in++++=among
the ^ati++++=the
Rocky ^jj+atrb+++=Rocky
Mountains ^nns++++=Mountains.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
