A ^at++++=A
happy ^jj++++=happy-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
child ^nn++++=child
was ^vbd+bedz+vrb++=was
Madeline ^np+++??+=Madeline
Henry ^np++++=Henry,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
glad ^jj+atrb+++=glad
sunshine ^nn++++=sunshine
ever ^rb++++=ever
lay ^jjb+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
threshold ^nn++++=threshold
of ^in++++=of
her ^pp$+pp3+++=her
early ^jj+atrb+++=early
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
a ^at++++=a
cheerful ^jj+atrb+++=cheerful,
, ^zz++++=EXTRAWORD
unselfish ^jj+atrb+++=unselfish
man ^nn++++=man,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
its ^pp$+it+++=its
business ^nns+nom+++=business
cares ^vbz++++=cares
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
his ^pp$+pp3+++=his
hand ^nn++++=hand
upon ^in++++=upon
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
entrance ^nn+nom+++=entrance
to ^in++++=to
his ^pp$+pp3+++=his
household ^nn++++=household
treasures ^nns++++=treasures.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
other ^ap++++=other
men ^nns++++=men,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
anxieties ^nns++++=anxieties,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hopes ^nns++++=hopes
and ^cc++++=and
losses ^nns++++=losses,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
disappointments ^nns+nom+++=disappointments
and ^cc++++=and
troubles ^nns++++=troubles;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
wisely ^rb++++=wisely
and ^cc+phrs+++=and
humanely ^rb++++=humanely
strove ^vbd+++xvbn+=strove
to ^to++++=to
banish ^vbi++++=banish
these ^dt+dem+++=these
from ^in++++=from
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
