If ^cs+cnd+++=IF
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
more ^rbr++++=more
than ^cs+sub+++=than
another ^ppls++++=another
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
of ^in++++=of
waking ^xvbg+++xvbg+=waking
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
on ^in++++=on
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
way ^nn++++=way
of ^in++++=of
establishing ^xvbg+++xvbg+=establishing
her ^pp3o+pp3+++=her
grievance ^nn+nom+++=grievance
for ^in++++=for
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
let ^vb+++xvbn+=let
her ^pp3o+pp3+++=her
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
successful ^jj++++=successful
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
to ^to++++=to
wake ^vbi++++=wake
a ^at++++=a
sensitive ^jj+atrb+++=sensitive
person ^nn++++=person
like ^in++++=like
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
positively ^rb++++=positively
dangerous ^jj+pred+++=dangerous!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
hours ^nns++++=hours
to ^to++++=to
get ^vbi++++=get
over ^in+ppvb+++=over
it ^pp3+it+++=it
simply ^rb++++=simply
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room
buttoned ^vbd+++xvbn+=buttoned
up ^rp++++=up
in ^in++++=in
an ^at++++=an
overall ^jjb++++=overall,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
handkerchief ^nn++++=handkerchief
over ^rp++++=over
her ^pp3o+pp3+++=her
head ^jjb++++=head
thereby ^rb++++=thereby
proving ^vbg+++xvbg+=proving
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
up ^rp++++=up
herself ^ppl+pp3+++=herself
and ^cc++++=and
slaving ^jj+++xvbg+=slaving
since ^cs+sub+++=since
dawn ^nn++++=dawn
and ^cc++++=and
called ^vpsv++agls+xvbn+=called
in ^rb+phrv+++=in
a ^at++++=a
low ^jj++++=low,
, ^zz++++=EXTRAWORD
warning ^nn++++=warning
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Reginald!"
reginald ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eh!
eh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
time ^nn++++=time
to ^to++++=to
get ^vbi++++=get
up ^rp++++=up;
