July ^nr++++=JULY
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
1833 ^cd+date+++=1833.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
memorable ^jj+atrb+++=memorable
anniversary ^nn+nom+++=anniversary
for ^in++++=for
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
on ^in++++=on
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
complete ^vb++++=complete
my ^pp$+pp1+++=my
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-third
- ^zz++++=EXTRAWORD
third ^od++++=EXTRAWORD
year ^nn++++=year!
! ^zz++++=EXTRAWORD
The ^ati++++=The
Wandering ^jj+++xvbg+=Wandering
Jew? ^np+++??+=Jew?--certainly
-- ^--+clp+++=EXTRAWORD
certainly ^rb++++=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
than ^in++++=than
eighteen ^cd++++=eighteen
centuries ^nns++++=centuries
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
over ^rb+phrv+++=over
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
In ^in++++=In
comparison ^in"++++=comparison
with ^in"++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
very ^ql+amp+++=very
young ^jj++++=young
Immortal ^jj++++=Immortal.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
immortal ^jj++++=immortal?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
question ^nn+nom+++=question
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
asked ^vprf+++xvbnx+=asked
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
by ^in++++=by
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
for ^in++++=for
now ^rn+tm+++=now
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
three ^cd++++=three
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
cannot ^md+pos+not++=cannot
answer ^vb++++=answer
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
detected ^vbd+++xvbnx+=detected
a ^at++++=a
gray ^np++++=gray
hair ^nn++++=hair
amidst ^in++++=amidst
my ^pp$+pp1+++=my
brown ^jj+atrb+++=brown
locks ^npl++++=locks
this ^dt+dem+++=this
very ^ql+amp+++=very
day ^nn++++=day-that
- ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
surely ^rb++++=surely
signifies ^vbz++++=signifies
decay ^nn++++=decay.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
concealed ^vbd+++xvbn+=concealed
there ^rn+pl+++=there
for ^in++++=for
three ^cd++++=three
hundred ^cd++++=hundred
years ^nns++++=years--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
some ^dti++++=some
persons ^nns++++=persons
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
entirely ^rb+amp+++=entirely
white ^jj++++=white
headed ^jj+++xvbn+=headed
before ^in++++=before
twenty ^cd++++=twenty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
my ^pp$+pp1+++=my
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
reader ^nn++++=reader
shall ^md+prd+++=shall
judge ^vb++++=judge
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
my ^pp$+pp1+++=my
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
contrive ^vb++++=contrive
to ^to++++=to
pass ^vbi++++=pass
some ^dti++++=some
few ^ap++++=few
hours ^nns++++=hours
of ^in++++=of
a ^at++++=a
long ^jj+atrb+++=long
eternity ^nn+nom+++=eternity,
, ^zz++++=EXTRAWORD
become ^vb++++=become
so ^ql+emph+++=so
wearisome ^jj++++=wearisome
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
For ^rb++++=For
ever ^rb"++++=ever!
! ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
it ^pp3+it+++=it
be ^vb+be+vrb++=be?
? ^zz++++=EXTRAWORD
to ^to++++=to
live ^vbi++++=live
for ^in+ppvb+++=for
ever ^rb"++++=ever!
! ^zz++++=EXTRAWORD
