It ^pp3+it+++=IT
Was ^vbd+bedz+vrb++=WAS
Joe ^np++++=Joe
Dillon ^np++++=Dillon
who ^whp+rel+subj++=who
introduced ^vbd+++xvbn+=introduced
the ^ati++++=the
Wild ^jj+atrb+++=Wild
West ^np+pl+++=West
to ^in++++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
library ^npl+nom+++=library
made ^vbd+++xvbn+=made
up ^rp++++=up
of ^in++++=of
old ^jj+atrb+++=old
numbers ^nns+nom+++=numbers
of ^in++++=of
The ^ati++++=The
Union ^nn++++=Union
Jack ^np++++=Jack
, ^zz++++=,
Pluck ^np+++??+=Pluck
and ^cc++++=and
The ^ati++++=The
Halfpenny ^nn++++=Halfpenny
Marvel ^vb++++=Marvel
. ^zz++++=.
Every ^at++++=Every
evening ^nn++++=evening
after ^cs+sub+++=after
school ^nn++++=school
we ^pp1a+pp1+++=we
met ^vbd+++xvbn+=met
in ^in++++=in
his ^pp$+pp3+++=his
back ^jjb+atrb+++=back
garden ^nn++++=garden
and ^cc++++=and
arranged ^vbn+vsua++xvbn+=arranged
Indian ^jj+atrb+++=Indian
battles ^nns++++=battles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
his ^pp$+pp3+++=his
fat ^nn++++=fat
young ^jj+atrb+++=young
brother ^nn++++=brother
Leo ^np++++=Leo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idler ^jjr++++=idler,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
the ^ati++++=the
loft ^nn++++=loft
of ^in++++=of
the ^ati++++=the
stable ^nn++++=stable
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
carry ^vbi++++=carry
it ^pp3+it+++=it
by ^in++++=by
storm ^nn++++=storm;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
we ^pp1a+pp1+++=we
fought ^vbd+++xvbn+=fought
a ^at++++=a
pitched ^jj+atrb++xvbn+=pitched
battle ^nn++++=battle
on ^in++++=on
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
well ^rb++++=well
we ^pp1a+pp1+++=we
fought ^vbd+++xvbn+=fought,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
won ^vbd+++xvbn+=won
siege ^nn++++=siege
or ^cc++++=or
battle ^nn++++=battle
and ^cc++++=and
all ^rb++++=all
our ^pp$+pp1+++=our
bouts ^nns++++=bouts
ended ^vbd+++xvbn+=ended
with ^in++++=with
Joe ^np++++=Joe
Dillon ^np++++=Dillon's
's ^$++++=EXTRAWORD
war ^nn++++=war
dance ^nn++++=dance
of ^in++++=of
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
parents ^nns++++=parents
went ^vbd+++xvbn+=went
to ^in++++=to
eighto ^nn+++??+=eighto'clock
'clock ^nn+++??+=EXTRAWORD
mass ^nn++++=mass
every ^at++++=every
morning ^nn++++=morning
in ^in++++=in
Gardiner ^np+nom++??+=Gardiner
Street ^nn++++=Street
and ^cc++++=and
the ^ati++++=the
peaceful ^jj+atrb+++=peaceful
odour ^nn++++=odour
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dillon ^np++++=Dillon
was ^vbd+bedz+vrb++=was
prevalent ^jj+pred+++=prevalent
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
played ^vbd+++xvbnx+=played
too ^ql++++=too
fiercely ^rb++++=fiercely
for ^in++++=for
us ^pp1o+pp1+++=us
who ^whp+who+++=who
were ^vbd+bed+vrb++=were
younger ^jjr+pred+++=younger
and ^cc++++=and
more ^rbr++++=more
timid ^jj++++=timid.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
like ^in++++=like
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
an ^at++++=an
Indian ^jj++++=Indian
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
capered ^vbd+++xvbnx+=capered
round ^rb++++=round
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
tea ^nn++++=tea-cosy
- ^zz++++=EXTRAWORD
cosy ^jj++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
beating ^nvbg+++xvbg+=beating
a ^at++++=a
tin ^nn++++=tin
with ^in++++=with
his ^pp$+pp3+++=his
fist ^nn++++=fist
and ^cc++++=and
yelling ^vbg+nom++xvbg+=yelling:
: ^zz++++=EXTRAWORD
" ^zz++++="Ya!
ya ^pp2+pp2+++=EXTRAWORD
! ^zz++++=EXTRAWORD
yaka ^nn+++??+=yaka,
, ^zz++++=EXTRAWORD
yaka ^nn+++??+=yaka,
, ^zz++++=EXTRAWORD
yaka ^nn+++??+=yaka!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
was ^vbd+bedz+vrb++=was
incredulous ^jj+pred+++=incredulous
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
vocation ^nn+nom+++=vocation
for ^in++++=for
the ^ati++++=the
priesthood ^nn+nom+++=priesthood.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
A ^at++++=A
spirit ^nn++++=spirit
of ^in++++=of
unruliness ^nns+nom+++=unruliness
diffused ^vbd+++xvbn+=diffused
itself ^ppl++++=itself
among ^in++++=among
us ^pp1o+pp1+++=us
and ^cc++++=and,
, ^zz++++=EXTRAWORD
under ^in++++=under
its ^pp$+it+++=its
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
differences ^nns+nom+++=differences
of ^in++++=of
culture ^nn++++=culture
and ^cc++++=and
constitution ^nn+nom+++=constitution
were ^vbd+bed+aux++=were
waived ^vpsv++agls+xvbnx+=waived.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
banded ^vprf+++xvbn+=banded
ourselves ^ppls+pp1+++=ourselves
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
some ^dti++++=some
boldly ^rb+cnj+++=boldly,
, ^zz++++=EXTRAWORD
some ^dti++++=some
in ^in++++=in
jest ^nn++++=jest
and ^cc++++=and
some ^dti++++=some
almost ^rb+hdg+++=almost
in ^in++++=in
fear ^nn++++=fear:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
these ^dt+dem+++=these
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reluctant ^jj+atrb+++=reluctant
Indians ^nn++++=Indians
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
seem ^vbi+seem+++=seem
studious ^jj++++=studious
or ^cc+phrs+++=or
lacking ^jj+++xvbg+=lacking
in ^in++++=in
robustness ^nns+nom+++=robustness,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adventures ^nns++++=adventures
related ^vbd+++xvbn+=related
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
of ^in++++=of
the ^ati++++=the
Wild ^jj+atrb+++=Wild
West ^np+pl+++=West
were ^vbd+bed+vrb++=were
remote ^jj+pred+++=remote
from ^in++++=from
my ^pp$+pp1+++=my
nature ^nn++++=nature
but ^cc++++=but,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
opened ^vbd+++xvbnx+=opened
doors ^nns++++=doors
of ^in++++=of
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked
better ^jjr++++=better
some ^dti++++=some
American ^jj+atrb+++=American
detective ^nn++++=detective
stories ^nns++++=stories
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
traversed ^vpsv++agls+xvbnx+=traversed
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
by ^in++++=by
unkempt ^jj+++xvbn+=unkempt
fierce ^jj+atrb+++=fierce
and ^cc+phrs+++=and
beautiful ^jj+atrb+++=beautiful
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
wrong ^jj++++=wrong
in ^in++++=in
these ^dt+dem+++=these
stories ^nns++++=stories
and ^cc++++=and
though ^cs+sub+++=though
their ^pp$+pp3+++=their
intention ^nn+nom+++=intention
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
literary ^jj+pred+++=literary
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
circulated ^vpsv++agls+xvbnx+=circulated
secretly ^rb++++=secretly
at ^rb++++=at
school ^nn++++=school.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
when ^wrb+who+++=when
Father ^nn++++=Father
Butler ^np++++=Butler
was ^vbd+bedz+aux++=was
hearing ^vbg+vprv++xvbgx+=hearing
the ^ati++++=the
four ^cd++++=four
pages ^nns++++=pages
of ^in++++=of
Roman ^jj+atrb+++=Roman
History ^nn++++=History
clumsy ^jj+atrb+++=clumsy
Leo ^np++++=Leo
Dillon ^np++++=Dillon
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
with ^in++++=with
a ^at++++=a
copy ^nn++++=copy
of ^in++++=of
The ^ati++++=The
Halfpenny ^nn++++=Halfpenny
Marvel ^vb++++=Marvel
. ^zz++++=.
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
page ^nn++++=page
or ^cc++++=or
this ^dt+dem+++=this
page ^nn++++=page?
? ^zz++++=EXTRAWORD
This ^dt+dem+++=This
page ^nn++++=page
Now ^rn+tm+++=Now,
, ^zz++++=EXTRAWORD
Dillon ^np++++=Dillon,
, ^zz++++=EXTRAWORD
up ^rp++++=up!
! ^zz++++=EXTRAWORD
' ^zz++++='Hardly
hardly ^rb+down+++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
day ^nn++++=day'
' ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
on ^in+strn+++=on!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
day ^nn++++=day?
? ^zz++++=EXTRAWORD
' ^zz++++='Hardly
hardly ^rb+down+++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
day ^nn++++=day
dawned ^vbd+++xvbn+=dawned'
' ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
studied ^vbd+++xvbn+=studied
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
there ^rn+pl+++=there
in ^in++++=in
your ^pp$+pp2+++=your
pocket ^nn++++=pocket?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Everyone ^np++++=Everyone's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
palpitated ^vbd+++xvbn+=palpitated
as ^ql++++=as
Leo ^np++++=Leo
Dillon ^np++++=Dillon
handed ^vbd+++xvbn+=handed
up ^rp++++=up
the ^ati++++=the
paper ^nn++++=paper
and ^cc++++=and
everyone ^pn++++=everyone
assumed ^vbd+vprv++xvbn+=assumed
an ^at++++=an
innocent ^jj+atrb+++=innocent
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Butler ^np++++=Butler
turned ^vbd+++xvbn+=turned
over ^in++++=over
the ^ati++++=the
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
frowning ^vbg+++xvbg+=frowning.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
rubbish ^nn++++=rubbish?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
