From ^in++++=FROM
eight ^cd++++=eight
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
until ^cs+sub+++=until
about ^in++++=about
half ^abn++++=half
past ^jjb++++=past
eleven ^cd++++=eleven
Monica ^np++++=Monica
Tyrell ^np+++??+=Tyrell
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
her ^pp$+pp3+++=her
nerves ^nns++++=nerves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suffered ^vbd+++xvbn+=suffered
so ^ql++++=so
terribly ^rb++++=terribly
that ^cs+sub+++=that
these ^dt+dem+++=these
hours ^nns++++=hours
were ^vbd+bed+vrb++=were
agonizing ^jj+pred+++=agonizing,
, ^zz++++=EXTRAWORD
simply ^rb++++=simply.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
could ^md+pos+++=could
control ^vb++++=control
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
ten ^cd++++=ten
years ^nns++++=years
younger ^jjr++++=younger
. ^zz++++=..
. ^zz++++=EXTRAWORD
. ^zz++++=."
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
For ^in++++=For
now ^rn+tm+++=now
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
queer ^jj+atrb+++=queer
little ^jj+atrb+++=little
way ^nn++++=way
of ^in++++=of
referring ^nn++++=referring
to ^in++++=to
her ^pp$+pp3+++=her
age ^nn++++=age
on ^in++++=on
all ^abn++++=all
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
of ^in++++=of
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
her ^pp3o+pp3+++=her
friends ^nns++++=friends
with ^in++++=with
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
childish ^jj+atrb+++=childish
eyes ^nns++++=eyes
and ^cc++++=and
saying ^nvbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
how ^wrb+who+++=how
twenty ^cd++++=twenty
years ^nns++++=years
ago ^rb++++=ago
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
" ^zz++++="
or ^cc++++=or
of ^in++++=of
drawing ^xvbg+++xvbg+=drawing
Ralph ^np++++=Ralph's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
girls ^nns++++=girls
real ^jj+atrb+++=real
girls ^nns++++=girls
with ^in++++=with
lovely ^jj+atrb+++=lovely
youthful ^jj+atrb+++=youthful
arms ^nns++++=arms
and ^cc++++=and
throats ^nns++++=throats
and ^cc++++=and
swift ^jj+atrb+++=swift
hesitating ^jj+atrb++xvbg+=hesitating
movements ^nns+nom+++=movements
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
near ^rb++++=near
them ^pp3o+pp3+++=them
in ^in++++=in
restaurants ^nns+nom+++=restaurants.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
ten ^cd++++=ten
years ^nns++++=years
younger ^jjr++++=younger
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
Marie ^np++++=Marie
to ^to++++=to
sit ^vbi++++=sit
outside ^jjb++++=outside
your ^pp$+pp2+++=your
door ^nn++++=door
and ^cc++++=and
absolutely ^rb+amp+++=absolutely
forbid ^vb+vsua+++=forbid
anybody ^pn++++=anybody
to ^to++++=to
come ^vbi++++=come
near ^in+pl+++=near
your ^pp$+pp2+++=your
room ^nn++++=room
until ^cs+sub+++=until
you ^pp2+pp2+++=you
ring ^vb++++=ring
your ^pp$+pp2+++=your
bell ^nn++++=bell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
as ^ql++++=as
simple ^jj++++=simple
as ^in++++=as
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
threw ^vbd+++xvbnx+=threw
her ^pp$+pp3+++=her
little ^ap++++=little
gloves ^nns++++=gloves
down ^in++++=down
and ^cc++++=and
pressed ^jj+++xvbn+=pressed
her ^pp3o+pp3+++=her
eyelids ^nns++++=eyelids
with ^in++++=with
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
so ^ql++++=so
well ^rb++++=well.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
conscious ^jj++++=conscious
of ^in++++=of
Marie ^np++++=Marie
sitting ^vwbg+++xvbg+=sitting
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
shaking ^vwbg+++xvbg+=shaking
her ^pp3o+pp3+++=her
finger ^nn++++=finger
at ^rb++++=at
Rudd ^np++++=Rudd
and ^cc++++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Moon ^np++++=Moon,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
as ^in++++=as
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
cross ^jj++++=cross
between ^in++++=between
a ^at++++=a
wardress ^nns+nom+++=wardress
and ^cc++++=and
a ^at++++=a
nurse ^nn++++=nurse
for ^in++++=for
mental ^jj+atrb+++=mental
cases ^nns++++=cases!
