Of ^in++++=Of
such ^abl++++=such
great ^jj+atrb+++=great
powers ^nns++++=powers
or ^cc++++=or
beings ^nns++++=beings
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
conceivably ^rb++++=conceivably
a ^at++++=a
survival ^nn+nom+++=survival
a ^at++++=a
survival ^nn+nom+++=survival
of ^in++++=of
a ^at++++=a
hugely ^jj+atrb+++=hugely
remote ^jj+atrb+++=remote
period ^nn++++=period
when ^wrb+who+++=when
consciousness ^nns+nom+++=consciousness
was ^vbd+bedz+aux++=was
manifested ^vpsv++agls+xvbnx+=manifested,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
in ^in++++=in
shapes ^nns++++=shapes
and ^cc++++=and
forms ^nns++++=forms
long ^rb++++=long
since ^in++++=since
withdrawn ^nn++++=withdrawn
before ^in++++=before
the ^ati++++=the
tide ^nn++++=tide
of ^in++++=of
advancing ^xvbg+++xvbg+=advancing
humanity ^nn+nom+++=humanity
forms ^nns++++=forms
of ^in++++=of
which ^whp+rel+pied++=which
poetry ^nn++++=poetry
and ^cc++++=and
legend ^nn++++=legend
alone ^rb++++=alone
have ^vb+hv+aux++=have
caught ^vprf+++xvbnx+=caught
a ^at++++=a
flying ^jj+atrb++xvbg+=flying
memory ^nn++++=memory
and ^cc++++=and
called ^vwbn+++xvbn+=called
them ^pp3o+pp3+++=them
gods ^nns++++=gods,
, ^zz++++=EXTRAWORD
monsters ^nns+nom+++=monsters,
, ^zz++++=EXTRAWORD
mythical ^jj+atrb+++=mythical
beings ^nns++++=beings
of ^in++++=of
all ^abn++++=all
sorts ^nns++++=sorts
and ^cc++++=and
kinds ^nns++++=kinds
The ^ati++++=The
most ^ql+emph+++=most
merciful ^jj+atrb+++=merciful
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
inability ^nn+nom+++=inability
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
mind ^nn++++=mind
to ^to++++=to
correlate ^nn+nom+++=correlate
all ^abn++++=all
its ^pp$+it+++=its
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
live ^vb++++=live
on ^in++++=on
a ^at++++=a
placid ^jj+atrb+++=placid
island ^nn++++=island
of ^in++++=of
ignorance ^nn+nom+++=ignorance
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
black ^jj+atrb+++=black
seas ^nns++++=seas
of ^in++++=of
infinity ^nn+nom+++=infinity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
meant ^vprf+++xvbn+=meant
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
voyage ^vb++++=voyage
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
each ^dt++++=each
straining ^jj+++xvbg+=straining
in ^in++++=in
its ^pp$+it+++=its
own ^ap++++=own
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
hitherto ^rb++splt++=hitherto
harmed ^vprf+++xvbnx+=harmed
us ^pp1o+pp1+++=us
little ^jj++++=little;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
day ^nn++++=day
the ^ati++++=the
piecing ^jj+++xvbg+=piecing
together ^nn+nom+++=together
of ^in++++=of
dissociated ^vbd+++xvbn+=dissociated
knowledge ^nn++++=knowledge
will ^md+prd+++=will
open ^vb++++=open
up ^rp++++=up
such ^abl++++=such
terrifying ^jj+atrb+++=terrifying
vistas ^nns++++=vistas
of ^in++++=of
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
our ^pp$+pp1+++=our
frightful ^jj+atrb+++=frightful
position ^nn+nom+++=position
therein ^rb+cnj+++=therein,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
