From ^in++++=From
The ^ati++++=The
House ^nn++++=House
of ^in++++=of
Cobwebs ^nns++++=Cobwebs
and ^cc++++=and
Other ^ap++++=Other
Stories ^nns++++=Stories
( ^zz++++=(1906).
1906 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
score ^nn++++=score
of ^in++++=of
years ^nns++++=years
the ^ati++++=the
Rocketts ^np+++??+=Rocketts
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
the ^ati++++=the
lodge ^nn++++=lodge
of ^in++++=of
Brent ^np+++??+=Brent
Hall ^nn++++=Hall.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
Rockett ^np+++??+=Rockett
was ^vbd+bedz+vrb++=was
head ^jjb+atrb+++=head
gardener ^nn+nom+++=gardener;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
a ^at++++=a
shopkeeper ^nn+nom+++=shopkeeper,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
known ^vprf+++xvbnx+=known
domestic ^jj+atrb+++=domestic
service ^nn++++=service,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
performed ^vbd+++xvbn+=performed
her ^pp$+pp3+++=her
duties ^nns++++=duties
at ^in++++=at
the ^ati++++=the
Hall ^nn++++=Hall
gates ^nns++++=gates
with ^in++++=with
a ^at++++=a
certain ^jj+atrb+++=certain
modest ^jj+atrb+++=modest
dignity ^nn+nom+++=dignity
not ^xnot++not++=not
displeasing ^nvbg+++xvbg+=displeasing
to ^in++++=to
the ^ati++++=the
stately ^jj+atrb+++=stately
persons ^nns++++=persons
upon ^in++++=upon
whom ^whp+rel+pied++=whom
she ^pp3a+pp3+++=she
depended ^vbd+++xvbnx+=depended.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
lifetime ^nn++++=lifetime
of ^in++++=of
Sir ^npt++++=Sir
Henry ^np++++=Henry
the ^ati++++=the
best ^jjt++++=best
possible ^jj++++=possible
understanding ^xvbg+++xvbg+=understanding
existed ^vprf+++xvbn+=existed
between ^in++++=between
Hall ^nn++++=Hall
and ^cc++++=and
lodge ^nn++++=lodge.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
Rockett ^np++++=Rockett's
's ^$++++=EXTRAWORD
health ^nn++++=health
broke ^vbd+++xvbn+=broke
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
he ^pp3a+pp3+++=he
could ^md+pos+++=could
work ^vb++++=work
hardly ^rb+down+++=hardly
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
pleasant ^jj+atrb+++=pleasant
home ^nr++++=home
was ^vbd+bedz+aux++=was
assured ^vpsv++agls+xvbnx+=assured
to ^in++++=to
the ^ati++++=the
family ^nn++++=family;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
Sir ^npt++++=Sir
Henry ^np++++=Henry's
's ^$++++=EXTRAWORD
death ^nn++++=death
the ^ati++++=the
nephew ^nn++++=nephew
who ^whp+rel+subj++=who
succeeded ^vbd+++xvbn+=succeeded
