Sparrow ^np+++??+=SPARROW
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small
and ^cc+phrs+++=and
slight ^jj++++=slight
and ^cc++++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
dark ^jj+atrb+++=dark
beads ^nns++++=beads
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
a ^at++++=a
beaklike ^jj+atrb+++=beaklike
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
head ^jjb++++=head
down ^rp++++=down,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sometimes ^rb++++=sometimes
joked ^jj+++xvbn+=joked,
, ^zz++++=EXTRAWORD
scanning ^vbg+++xvbg+=scanning
for ^in++++=for
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
way ^nn++++=way
of ^in++++=of
seeming ^vb++++=seeming
to ^to+vcmp+++=to
dart ^vb++++=dart
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
way ^nn++++=way,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
of ^in++++=of
saying ^xvbg+++xvbg+=saying
the ^ati++++=the
most ^ql+emph+++=most
predictable ^jj+atrb+++=predictable
things ^nns++++=things.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
truck ^nn++++=truck
went ^vbd+++xvbn+=went
off ^in+pl+++=off
the ^ati++++=the
road ^nn++++=road
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
little ^ap++++=little
store ^nn++++=store
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
worked ^vbd+++xvbnx+=worked,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
no ^at++++=no
one ^cd1++++=one
was ^vbd+bedz+aux++=was
hurt ^vpsv++agls+xvbnx+=hurt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
started ^vbd+++xvbn+=started
to ^in++++=to
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
drizzling ^vbg+nom++xvbg+=drizzling
or ^cc+phrs+++=or
pouring ^vbg+++xvbg+=pouring,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
raining ^vbg+++xvbgx+=raining
cats ^nns++++=cats
and ^cc++++=and
dogs ^nns++++=dogs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
someone ^pn++++=someone
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sandwich ^nn++++=sandwich
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
eating ^vbg+++xvbgx+=eating
looked ^vprf+++xvbn+=looked
good ^jj++++=good,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
sandwich ^nn++++=sandwich."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
someone ^pn++++=someone
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
sandwich ^nn++++=sandwich
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
