A ^at++++=A
note ^nn++++=note
of ^in++++=of
admiration ^nn+nom+++=admiration
Unless ^cs+cnd+++=Unless
one ^cd1++++=one
is ^vbz+bez+vrb++=is
wealthy ^jj+pred+++=wealthy
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
use ^nn++++=use
in ^in++++=in
being ^xvbg+++xvbg+=being
a ^at++++=a
charming ^jj+++xvbg+=charming
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
Romance ^nn+nom+++=Romance
is ^vbz+bez+vrb++=is
the ^ati++++=the
privilege ^nn++++=privilege
of ^in++++=of
the ^ati++++=the
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
profession ^nn++++=profession
of ^in++++=of
the ^ati++++=the
unemployed ^nn++++=unemployed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^nn++++=poor
should ^md+nec+++=should
be ^vb+be+vrb++=be
practical ^jj+pred+++=practical
and ^cc+phrs+++=and
prosaic ^jj++++=prosaic.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better
to ^to+jcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
permanent ^jj+atrb+++=permanent
income ^nn++++=income
than ^in++++=than
to ^to++++=to
be ^vbi++vrb++=be
fascinating ^jj+pred+++=fascinating.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
the ^ati++++=the
great ^jj+atrb+++=great
truths ^nns++++=truths
of ^in++++=of
modern ^jj+atrb+++=modern
life ^nn++++=life
which ^whp+rel+obj++=which
Hughie ^np+++??+=Hughie
Erskine ^np+++??+=Erskine
never ^rb++++=never
realised ^vbd+vprv++xvbn+=realised.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Hughie ^np+++??+=Hughie!
! ^zz++++=EXTRAWORD
Intellectually ^rb+cnj+++=Intellectually,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
admit ^vb+vpub+++=admit,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
of ^in++++=of
much ^ap++++=much
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
a ^at++++=a
brilliant ^jj++++=brilliant
or ^cc++++=or
even ^rb++++=even
an ^at++++=an
ill ^jj++++=ill-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
thing ^nn++++=thing
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wonderfully ^rb++++=wonderfully
good ^jj+pred+++=good-looking,
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
crisp ^jj+atrb+++=crisp
brown ^jj+atrb+++=brown
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
clear ^jj++++=clear-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
profile ^nn++++=profile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
grey ^jj+atrb+++=grey
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
as ^ql++++=as
popular ^jj++++=popular
with ^in++++=with
men ^nns++++=men
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
every ^at++++=every
accomplishment ^nn+nom+++=accomplishment
except ^cs+sub+++=except
that ^cs"++++=that
of ^in++++=of
making ^xvbg+++xvbg+=making
money ^nn++++=money.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
had ^vbd+hvd+aux++=had
bequeathed ^vprf+++xvbnx+=bequeathed
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
cavalry ^nn++++=cavalry
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
History ^nn++++=History
of ^in++++=of
the ^ati++++=the
Peninsular ^np+++??+=Peninsular
War ^nn++++=War
in ^in++++=in
fifteen ^cd++++=fifteen
volumes ^nns++++=volumes.
. ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
hung ^vbd+++xvbn+=hung
the ^ati++++=the
first ^od++++=first
over ^rp++++=over
his ^pp$+pp3+++=his
looking ^vbg+++xvbg+=looking-glass,
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
the ^ati++++=the
second ^od++++=second
on ^in++++=on
a ^at++++=a
shelf ^nn++++=shelf
between ^in++++=between
Ruff ^np++++=Ruff's
's ^$++++=EXTRAWORD
Guide ^vb++++=Guide
and ^cc++++=and
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
Magazine ^nn++++=Magazine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vpsv++agls+xvbn+=lived
on ^in++++=on
two ^cd++++=two
hundred ^cd++++=hundred
a ^at++++=a
year ^nn++++=year
that ^tht+rel+obj++=that
an ^at++++=an
old ^jj+atrb+++=old
aunt ^npt++++=aunt
allowed ^vwbn+++xvbn+=allowed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in++++=on
the ^ati++++=the
Stock ^nn++++=Stock
Exchange ^nn++++=Exchange
for ^in++++=for
six ^cd++++=six
months ^nns++++=months;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
a ^at++++=a
butterfly ^nn++++=butterfly
to ^to++++=to
do ^vbi++++=do
among ^in++++=among
bulls ^nns++++=bulls
and ^cc++++=and
bears ^vbz++++=bears?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
tea ^nn++++=tea-merchant
- ^zz++++=EXTRAWORD
merchant ^nn+nom+++=EXTRAWORD
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
soon ^rb+tm+splt++=soon
tired ^vprf+++xvbnx+=tired
of ^in++++=of
pekoe ^nn+++??+=pekoe
and ^cc++++=and
souchong ^nn+++??+=souchong.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
selling ^nvbg+++xvbg+=selling
dry ^jj+atrb+++=dry
sherry ^nn++++=sherry.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
answer ^nn++++=answer;
