Sir ^npt++++=SIR
Edward ^np++++=EDWARD
Grey ^np++++=GREY:
: ^zz++++=EXTRAWORD
Fly ^vb++++=Fly-Fishing.
- ^zz++++=EXTRAWORD
fishing ^nvbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Every ^at++++=Every
moment ^nn++++=moment
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
of ^in++++=of
a ^at++++=a
turning ^jj+++xvbg+=turning-point.
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Opportunities ^nns+nom+++=Opportunities
are ^vb+ber+vrb++=are
swarming ^jj+pred+++=swarming
around ^rp++++=around
us ^pp1o+pp1+++=us
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
thicker ^jjr++++=thicker
than ^in++++=than
gnats ^nns+++??+=gnats
at ^rb++++=at
sundown ^nn++++=sundown.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
walk ^nn++++=walk
through ^rp++++=through
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
chances ^nns+nom+++=chances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
always ^rb++++=always
conscious ^jj+pred+++=conscious
of ^in++++=of
them ^pp3o+pp3+++=them
they ^pp3a+pp3+++=they
would ^md+prd+++=would
worry ^vb++++=worry
us ^pp1o+pp1+++=us
almost ^rb+hdg+++=almost
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
happily ^rb++++=happily
our ^pp$+pp1+++=our
sense ^nn++++=sense
of ^in++++=of
