Everybody ^pn++++=Everybody
in ^in++++=in
the ^ati++++=the
Marshall ^np++++=Marshall
household ^nn++++=household
was ^vbd+bedz+aux++=was
excited ^vpsv++agls+xvbnx+=excited
on ^in++++=on
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
the ^ati++++=the
concert ^nn++++=concert
at ^in++++=at
the ^ati++++=the
Harbour ^nn++++=Harbour
Light ^jj+atrb+++=Light
Hotel ^npl++++=Hotel
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
even ^rb++++=even
to ^in++++=to
Little ^ap++++=Little
Joyce ^np++++=Joyce,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
concert ^nn++++=concert
because ^cs+cos+++=because
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
anybody ^pn++++=anybody
else ^rb+cnj+++=else
to ^to++++=to
stay ^vbi++++=stay
with ^in++++=with
Denise ^np+++??+=Denise.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
Denise ^np+++??+=Denise
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
excited ^jj+++xvbn+=excited
of ^in++++=of
them ^pp3o+pp3+++=them
all ^rb++++=all
Denise ^np+++??+=Denise,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
slowly ^rb++splt++=slowly
dying ^vbg+++xvbgx+=dying
of ^in++++=of
consumption ^nn+nom+++=consumption
in ^in++++=in
the ^ati++++=the
Marshall ^np++++=Marshall
kitchen ^nn++++=kitchen
chamber ^nn++++=chamber
because ^cs+cos+++=because
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
die ^vbi++++=die
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
anybody ^pn++++=anybody
to ^in++++=to
trouble ^nn++++=trouble
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Roderick ^np++++=Roderick
Marshall ^np++++=Marshall
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
very ^ql+amp+++=very
good ^jj++++=good
of ^in++++=of
herself ^ppl+pp3+++=herself
to ^to++++=to
do ^vbi++++=do
so ^ql++++=so
much ^ap++++=much
for ^in++++=for
Denise ^np+++??+=Denise.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
Denise ^np+++??+=Denise
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
bother ^nn++++=bother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce
did ^vbd+dod+vrb++=did
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
waiting ^nn++++=waiting
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
tea ^nn++++=tea
table ^nn++++=table
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
talked ^vpsv++agls+xvbnx+=talked
of ^in++++=of
but ^cc++++=but
the ^ati++++=the
concert ^nn++++=concert;
; ^zz++++=EXTRAWORD
for ^in++++=for
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
French ^jj+atrb+++=French
Canadian ^nn++++=Canadian
prima ^&fw++++=prima
donna ^nn+++??+=donna,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
sing ^vb++++=sing?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
of ^in++++=of
a ^at++++=a
lifetime ^nn++++=lifetime
the ^ati++++=the
Marshalls ^np+++??+=Marshalls
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
missed ^vprf+++xvbnx+=missed
it ^pp3+it+++=it
for ^in++++=for
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Stately ^jj++++=Stately,
, ^zz++++=EXTRAWORD
handsome ^jj+atrb+++=handsome
old ^jj+atrb+++=old
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Uncle ^nn++++=Uncle
Roderick ^np++++=Roderick
and ^cc++++=and
Aunt ^nn++++=Aunt
Isabella ^np+++??+=Isabella,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in+emph+++=of
course ^nn+emph"+++=course
Chrissie ^np+++??+=Chrissie,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
taken ^vpsv++agls+xvbnx+=taken
everywhere ^rb++++=everywhere
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
pretty ^rb++++=pretty
and ^cc++++=and
graceful ^jj++++=graceful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
that ^dt+dem+++=that
Little ^ap++++=Little
Joyce ^np++++=Joyce
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
would ^md+prd+++=would
have ^vb+hv+aux++=have
liked ^vprf+++xvbnx+=liked
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
concert ^nn++++=concert,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
music ^nn++++=music;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
tell ^vb++++=tell
Denise ^np+++??+=Denise
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
shy ^jj+pred+++=shy
and ^cc+phrs+++=and
homely ^jj++++=homely
and ^cc+phrs+++=and
thin ^jj++++=thin
and ^cc+phrs+++=and
awkward ^jj++++=awkward,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
never ^rb++++=never
takes ^vbz++++=takes
you ^pp2+pp2+++=you
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
such ^abl++++=such
was ^vbd+bedz+vrb++=was
Little ^ap++++=Little
Joyce ^np++++=Joyce's
's ^$++++=EXTRAWORD
belief ^nn++++=belief.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
knew ^vbd+vprv++xvbn+=knew
quite ^abl++++=quite
well ^rb++++=well
that ^cs+sub+++=that
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql++++=so
plain ^nn++++=plain
and ^cc++++=and
awkward ^jj++++=awkward
and ^cc++++=and
in ^in++++=in
part ^nn++++=part
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
cared ^vbd+++xvbn+=cared
very ^ql+amp+++=very
little ^ap++++=little
for ^in++++=for
granddaughters ^nns+nom+++=granddaughters
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do
her ^pp$+pp3+++=her
credit ^nn++++=credit.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
her ^pp$+pp3+++=her
family ^nn++++=family's
's ^$++++=EXTRAWORD
disapproval ^nn+nom+++=disapproval,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
both ^abx++++=both
she ^pp3a+pp3+++=she
and ^cc++++=and
her ^pp$+pp3+++=her
husband ^nn++++=husband
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
inconsiderate ^jj++++=inconsiderate
enough ^qlp++++=enough
to ^to++++=to
die ^vbi++++=die
and ^cc+phrs+++=and
leave ^vb++++=leave
a ^at++++=a
small ^jj+atrb+++=small
orphan ^nn++++=orphan
without ^in++++=without
a ^at++++=a
penny ^nn++++=penny
to ^to++++=to
support ^vbi++++=support
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
fed ^vbd+++xvbn+=fed
and ^cc+phrs+++=and
clothed ^vbd+++xvbn+=clothed
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
who ^whp+who+whq++=who
could ^md+pos+++=could
make ^vb++++=make
anything ^pn++++=anything
of ^in++++=of
such ^abl++++=such
a ^at++++=a
shy ^jj+atrb+++=shy
creature ^nn++++=creature
with ^in++++=with
no ^at++++=no
gifts ^nns++++=gifts
or ^cc++++=or
graces ^nns++++=graces
whatever ^nn+nom+++=whatever?
? ^zz++++=EXTRAWORD
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
had ^vb+hv+vrb++=had
no ^at++++=no
intention ^nn+nom+++=intention
of ^in++++=of
trying ^nn++++=trying.
. ^zz++++=EXTRAWORD
Chrissie ^np+++??+=Chrissie,
, ^zz++++=EXTRAWORD
the ^ati++++=the
golden ^jj++++=golden-haired
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
pink ^jj++++=pink-cheeked,
- ^zz++++=EXTRAWORD
cheeked ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall's
's ^$++++=EXTRAWORD
pet ^nn++++=pet.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
knew ^vbd+vprv+tht0+xvbn+=knew
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
envy ^vb++++=envy
Chrissie ^np+++??+=Chrissie
but ^cc++++=but,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
would ^md+prd+++=would
love ^vb++++=love
her ^pp3o+pp3+++=her
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
too ^ql++++=too!
! ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
loved ^vbd+++xvbn+=loved
her ^pp$+pp3+++=her
but ^cc++++=but
Denise ^np+++??+=Denise
and ^cc++++=and
the ^ati++++=the
little ^ap++++=little
black ^jj+atrb+++=black
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
Denise ^np+++??+=Denise
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
chamber ^nn++++=chamber
very ^ql+amp+++=very
much ^ap++++=much
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^ap++++=little
black ^jj+atrb+++=black
doll ^nn++++=doll
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
you ^pp2+pp2+++=you
although ^cs+con+++=although
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
had ^vb+hv+vrb++=had
no ^at++++=no
doubt ^nn++++=doubt
at ^rb++++=at
all ^abn++++=all
on ^in++++=on
this ^dt+dem+++=this
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
sighed ^vbd+++xvbn+=sighed
so ^rb++++=so
deeply ^rb++++=deeply
over ^in++++=over
this ^dt+dem+++=this
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
Uncle ^nn++++=Uncle
Roderick ^np++++=Roderick
smiled ^vbd+++xvbn+=smiled
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Roderick ^np++++=Roderick
did ^vbd+dod+vrb++=did
smile ^nn++++=smile
at ^rb++++=at
her ^pp3o+pp3+++=her
sometimes ^rb++++=sometimes.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
about ^in++++=about
my ^pp$+pp1+++=my
black ^jj+atrb+++=black
doll ^nn++++=doll,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
